piliocolobus_tephrosceles ENSPTEG00000028865
theropithecus_gelada ENSTGEG00000000994
pan_troglodytes ENSPTRG00000049097
pan_paniscus ENSPPAG00000005637
homo_sapiens ENSG00000283205
gorilla_gorilla ENSGGOG00000043447
prolemur_simus ENSPSMG00000008334
peromyscus_maniculatus ENSPEMG00000025972
cricetulus_griseus ENSCGRG00015000279
mus_spicilegus ENSMSIG00000008514
mus_musculus ENSMUSG00000114559
castor_canadensis ENSCCNG00000001906
urocitellus_parryii ENSUPAG00010001384
bos_mutus ENSBMUG00000002462
bison_bison ENSBBBG00000009056
neovison_vison ENSNVIG00000004593
