cebus_capucinus ENSCCAG00000024817
callithrix_jacchus ENSCJAG00000059829
saimiri_boliviensis ENSSBOG00000026089
aotus_nancymaae ENSANAG00000033696
papio_anubis ENSPANG00000032636
theropithecus_gelada ENSTGEG00000020168
microcebus_murinus ENSMICG00000042739
canis_lupus ENSCAFG00000045033
canis_lupus ENSCAFG00020014317
canis_lupus ENSCAFG00020015400
canis_lupus ENSCAFG00000049092
vulpes_vulpes ENSVVUG00000027028
neovison_vison ENSNVIG00000009242
ursus_americanus ENSUAMG00000004817
felis_catus ENSFCAG00000050042
bos_taurus ENSBTAG00000053100
