crocodylus_porosus ENSCPRG00005001036
sphenodon_punctatus ENSSPUG00000015349
chelonoidis_abingdonii ENSCABG00000019325
gopherus_agassizii ENSGAGG00000003086
chrysemys_picta ENSCPBG00000006627
pelodiscus_sinensis ENSPSIG00000015407
anolis_carolinensis ENSACAG00000013391
pogona_vitticeps ENSPVIG00000015621
salvator_merianae ENSSMRG00000018652
notechis_scutatus ENSNSUG00000010884
anas_platyrhynchos ENSAPLG00000015338
anser_brachyrhynchus ENSABRG00000014373
gallus_gallus ENSGALG00000044387
coturnix_japonica ENSCJPG00005012347
meleagris_gallopavo ENSMGAG00000001068
numida_meleagris ENSNMEG00000009741
calidris_pygmaea ENSCPGG00000014473
calidris_pugnax ENSCPUG00000011261
melopsittacus_undulatus ENSMUNG00000010464
taeniopygia_guttata ENSTGUG00000001638
lonchura_striata ENSLSDG00000013836
ficedula_albicollis ENSFALG00000009337
junco_hyemalis ENSJHYG00000006134
zonotrichia_albicollis ENSZALG00000016608
serinus_canaria ENSSCAG00000009029
parus_major ENSPMJG00000000108
cyanistes_caeruleus ENSCCEG00000014572
lepidothrix_coronata ENSLCOG00000012643
manacus_vitellinus ENSMVIG00005018662
apteryx_owenii ENSAOWG00000009857
apteryx_haastii ENSAHAG00000011459
apteryx_rowi ENSARWG00000013070
dromaius_novaehollandiae ENSDNVG00000006710
nothoprocta_perdicaria ENSNPEG00000003650
pan_troglodytes ENSPTRG00000017312
pan_paniscus ENSPPAG00000005338
gorilla_gorilla ENSGGOG00000000287
homo_sapiens ENSG00000113073
pongo_abelii ENSPPYG00000015853
nomascus_leucogenys ENSNLEG00000009225
macaca_mulatta ENSMMUG00000003723
macaca_fascicularis ENSMFAG00000033873
macaca_nemestrina ENSMNEG00000044652
cercocebus_atys ENSCATG00000022107
mandrillus_leucophaeus ENSMLEG00000000295
theropithecus_gelada ENSTGEG00000024946
papio_anubis ENSPANG00000002472
chlorocebus_sabaeus ENSCSAG00000012893
colobus_angolensis ENSCANG00000033185
piliocolobus_tephrosceles ENSPTEG00000029911
rhinopithecus_bieti ENSRBIG00000028276
rhinopithecus_roxellana ENSRROG00000034854
saimiri_boliviensis ENSSBOG00000030693
callithrix_jacchus ENSCJAG00000016762
cebus_capucinus ENSCCAG00000030814
aotus_nancymaae ENSANAG00000035536
carlito_syrichta ENSTSYG00000001886
propithecus_coquereli ENSPCOG00000027757
prolemur_simus ENSPSMG00000019289
microcebus_murinus ENSMICG00000000352
otolemur_garnettii ENSOGAG00000003589
tupaia_belangeri ENSTBEG00000002352
heterocephalus_glaber ENSHGLG00000014520
heterocephalus_glaber ENSHGLG00100002945
fukomys_damarensis ENSFDAG00000002386
chinchilla_lanigera ENSCLAG00000003623
octodon_degus ENSODEG00000002886
cavia_porcellus ENSCPOG00000010350
cavia_aperea ENSCAPG00000008542
spermophilus_dauricus ENSSDAG00000015647
urocitellus_parryii ENSUPAG00010007028
marmota_marmota ENSMMMG00000010288
ictidomys_tridecemlineatus ENSSTOG00000001919
castor_canadensis ENSCCNG00000014997
dipodomys_ordii ENSDORG00000012541
mus_spretus MGP_SPRETEiJ_G0023038
mus_spicilegus ENSMSIG00000029951
mus_musculus ENSMUSG00000024485
mus_caroli MGP_CAROLIEiJ_G0022126
mus_pahari MGP_PahariEiJ_G0018860
rattus_norvegicus ENSRNOG00000018525
meriones_unguiculatus ENSMUGG00000023741
cricetulus_griseus ENSCGRG00015003160
cricetulus_griseus ENSCGRG00001020810
cricetulus_griseus ENSCGRG00000011297
mesocricetus_auratus ENSMAUG00000018095
peromyscus_maniculatus ENSPEMG00000010356
microtus_ochrogaster ENSMOCG00000001504
nannospalax_galili ENSNGAG00000008987
jaculus_jaculus ENSJJAG00000001802
oryctolagus_cuniculus ENSOCUG00000015920
ochotona_princeps ENSOPRG00000006654
pteropus_vampyrus ENSPVAG00000009695
myotis_lucifugus ENSMLUG00000003111
ursus_americanus ENSUAMG00000023831
ursus_maritimus ENSUMAG00000015246
ailuropoda_melanoleuca ENSAMEG00000011090
neovison_vison ENSNVIG00000013887
mustela_putorius ENSMPUG00000008604
canis_lupus ENSCAFG00000005751
canis_lupus ENSCAFG00020002964
vulpes_vulpes ENSVVUG00000010143
panthera_tigris ENSPTIG00000020507
panthera_pardus ENSPPRG00000006476
felis_catus ENSFCAG00000001274
vicugna_pacos ENSVPAG00000002448
sus_scrofa ENSSSCG00000014363
bos_indicus ENSBIXG00000026275
bos_indicus ENSBIXG00005001917
bos_taurus ENSBTAG00000021775
bos_mutus ENSBMUG00000015014
bison_bison ENSBBBG00000002354
ovis_aries ENSOARG00000017624
capra_hircus ENSCHIG00000015915
tursiops_truncatus ENSTTRG00000005572
equus_caballus ENSECAG00000008363
equus_asinus ENSEASG00005016424
erinaceus_europaeus ENSEEUG00000002350
sorex_araneus ENSSARG00000004016
choloepus_hoffmanni ENSCHOG00000007483
dasypus_novemcinctus ENSDNOG00000014958
loxodonta_africana ENSLAFG00000001329
procavia_capensis ENSPCAG00000007548
echinops_telfairi ENSETEG00000013714
phascolarctos_cinereus ENSPCIG00000016088
vombatus_ursinus ENSVURG00010009637
notamacropus_eugenii ENSMEUG00000006325
sarcophilus_harrisii ENSSHAG00000015856
xenopus_tropicalis ENSXETG00000010719
erpetoichthys_calabaricus ENSECRG00000009194
