bos_mutus ENSBMUG00000009434
bison_bison_bison ENSBBBG00000024782
gorilla_gorilla ENSGGOG00000038063
homo_sapiens ENSG00000170290
pan_troglodytes ENSPTRG00000048017
pongo_abelii ENSPPYG00000003837
nomascus_leucogenys ENSNLEG00000034578
chlorocebus_sabaeus ENSCSAG00000000601
papio_anubis ENSPANG00000034548
macaca_fascicularis ENSMFAG00000029996
macaca_nemestrina ENSMNEG00000026545
mandrillus_leucophaeus ENSMLEG00000023787
cercocebus_atys ENSCATG00000013494
theropithecus_gelada ENSTGEG00000015903
rhinopithecus_bieti ENSRBIG00000027162
rhinopithecus_roxellana ENSRROG00000005684
piliocolobus_tephrosceles ENSPTEG00000029748
colobus_angolensis_palliatus ENSCANG00000021283
callithrix_jacchus ENSCJAG00000041439
neovison_vison ENSNVIG00000024368
prolemur_simus ENSPSMG00000011144
dasypus_novemcinctus ENSDNOG00000002378
phascolarctos_cinereus ENSPCIG00000031787
anser_brachyrhynchus ENSABRG00000015225
apteryx_haastii ENSAHAG00000012918
junco_hyemalis ENSJHYG00000002160
