zonotrichia_albicollis ENSZALG00000003926
manacus_vitellinus ENSMVIG00005019122
melopsittacus_undulatus ENSMUNG00000009126
lonchura_striata_domestica ENSLSDG00000018052
lepidothrix_coronata ENSLCOG00000007803
dromaius_novaehollandiae ENSDNVG00000000413
chrysemys_picta_bellii ENSCPBG00000013478
nothoprocta_perdicaria ENSNPEG00000004172
macaca_mulatta ENSMMUG00000002153
papio_anubis ENSPANG00000034668
propithecus_coquereli ENSPCOG00000021950
urocitellus_parryii ENSUPAG00010004682
neovison_vison ENSNVIG00000014535
ursus_maritimus ENSUMAG00000006758
panthera_tigris_altaica ENSPTIG00000005537
panthera_pardus ENSPPRG00000004205
sus_scrofa ENSSSCG00000039106
