mus_musculus ENSMUSG00000063157
mus_spicilegus ENSMSIG00000005669
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028356
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027359
mus_pahari MGP_PahariEiJ_G0017141
rattus_norvegicus ENSRNOG00000039326
meriones_unguiculatus ENSMUGG00000026166
cricetulus_griseus_chok1gshd ENSCGRG00001022086
cricetulus_griseus_crigri ENSCGRG00000001018
cricetulus_griseus_crigri-picr ENSCGRG00015020156
mesocricetus_auratus ENSMAUG00000004913
microtus_ochrogaster ENSMOCG00000010917
peromyscus_maniculatus_bairdii ENSPEMG00000010030
nannospalax_galili ENSNGAG00000001397
jaculus_jaculus ENSJJAG00000010511
castor_canadensis ENSCCNG00000013984
marmota_marmota_marmota ENSMMMG00000024660
spermophilus_dauricus ENSSDAG00000024518
marmota_marmota_marmota ENSMMMG00000024659
ochotona_princeps ENSOPRG00000013114
oryctolagus_cuniculus ENSOCUG00000009494
carlito_syrichta ENSTSYG00000004718
otolemur_garnettii ENSOGAG00000025337
microcebus_murinus ENSMICG00000015179
prolemur_simus ENSPSMG00000015133
propithecus_coquereli ENSPCOG00000025132
pan_troglodytes ENSPTRG00000016120
pan_paniscus ENSPPAG00000000069
homo_sapiens ENSG00000135222
gorilla_gorilla ENSGGOG00000024047
nomascus_leucogenys ENSNLEG00000007663
pongo_abelii ENSPPYG00000014793
macaca_fascicularis ENSMFAG00000040612
macaca_nemestrina ENSMNEG00000029544
macaca_mulatta ENSMMUG00000004849
theropithecus_gelada ENSTGEG00000017133
cercocebus_atys ENSCATG00000033009
mandrillus_leucophaeus ENSMLEG00000038110
papio_anubis ENSPANG00000008487
chlorocebus_sabaeus ENSCSAG00000004921
piliocolobus_tephrosceles ENSPTEG00000008314
colobus_angolensis_palliatus ENSCANG00000028346
rhinopithecus_bieti ENSRBIG00000032692
rhinopithecus_roxellana ENSRROG00000039742
cebus_capucinus ENSCCAG00000024624
saimiri_boliviensis_boliviensis ENSSBOG00000028895
callithrix_jacchus ENSCJAG00000014255
aotus_nancymaae ENSANAG00000029185
bos_taurus ENSBTAG00000002632
bison_bison_bison ENSBBBG00000024541
bos_mutus ENSBMUG00000018646
capra_hircus ENSCHIG00000021841
ovis_aries ENSOARG00000010477
tursiops_truncatus ENSTTRG00000013121
sus_scrofa ENSSSCG00000009261
vicugna_pacos ENSVPAG00000004350
sorex_araneus ENSSARG00000005303
erinaceus_europaeus ENSEEUG00000005164
ursus_americanus ENSUAMG00000025148
ursus_maritimus ENSUMAG00000008004
ailuropoda_melanoleuca ENSAMEG00000005745
mustela_putorius_furo ENSMPUG00000009784
canis_lupus_dingo ENSCAFG00020027081
vulpes_vulpes ENSVVUG00000004361
canis_lupus_familiaris ENSCAFG00000002881
panthera_tigris_altaica ENSPTIG00000012300
panthera_pardus ENSPPRG00000015333
felis_catus ENSFCAG00000000640
myotis_lucifugus ENSMLUG00000010355
myotis_lucifugus ENSMLUG00000001795
myotis_lucifugus ENSMLUG00000014279
pteropus_vampyrus ENSPVAG00000012922
equus_asinus_asinus ENSEASG00005016726
equus_asinus_asinus ENSEASG00005016724
equus_caballus ENSECAG00000009837
choloepus_hoffmanni ENSCHOG00000012217
dasypus_novemcinctus ENSDNOG00000024884
loxodonta_africana ENSLAFG00000014755
procavia_capensis ENSPCAG00000004275
monodelphis_domestica ENSMODG00000012350
