mus_musculus ENSMUSG00000046942
mus_spicilegus ENSMSIG00000009135
mus_spicilegus ENSMSIG00000001474
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033210
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034646
mus_pahari MGP_PahariEiJ_G0031753
rattus_norvegicus ENSRNOG00000029408
meriones_unguiculatus ENSMUGG00000003553
meriones_unguiculatus ENSMUGG00000026797
meriones_unguiculatus ENSMUGG00000009218
peromyscus_maniculatus_bairdii ENSPEMG00000023768
microtus_ochrogaster ENSMOCG00000002574
cricetulus_griseus_crigri ENSCGRG00000000768
cricetulus_griseus_crigri-picr ENSCGRG00015010736
cricetulus_griseus_chok1gshd ENSCGRG00001005887
mesocricetus_auratus ENSMAUG00000019256
nannospalax_galili ENSNGAG00000022007
jaculus_jaculus ENSJJAG00000017601
spermophilus_dauricus ENSSDAG00000001119
spermophilus_dauricus ENSSDAG00000001131
marmota_marmota_marmota ENSMMMG00000009711
urocitellus_parryii ENSUPAG00010017404
ictidomys_tridecemlineatus ENSSTOG00000008844
oryctolagus_cuniculus ENSOCUG00000023125
tupaia_belangeri ENSTBEG00000002495
otolemur_garnettii ENSOGAG00000025392
otolemur_garnettii ENSOGAG00000025292
otolemur_garnettii ENSOGAG00000032983
otolemur_garnettii ENSOGAG00000025964
otolemur_garnettii ENSOGAG00000006826
otolemur_garnettii ENSOGAG00000030143
prolemur_simus ENSPSMG00000013501
prolemur_simus ENSPSMG00000013355
prolemur_simus ENSPSMG00000007114
prolemur_simus ENSPSMG00000002192
pan_troglodytes ENSPTRG00000021781
pan_paniscus ENSPPAG00000036358
homo_sapiens ENSG00000189023
gorilla_gorilla ENSGGOG00000003549
pongo_abelii ENSPPYG00000020226
nomascus_leucogenys ENSNLEG00000000359
saimiri_boliviensis_boliviensis ENSSBOG00000023526
callithrix_jacchus ENSCJAG00000019704
cebus_capucinus ENSCCAG00000032865
erinaceus_europaeus ENSEEUG00000009084
mustela_putorius_furo ENSMPUG00000000933
sus_scrofa ENSSSCG00000037401
sus_scrofa ENSSSCG00000012218
sus_scrofa ENSSSCG00000037714
sus_scrofa ENSSSCG00000039571
sus_scrofa ENSSSCG00000034690
ovis_aries ENSOARG00000018735
capra_hircus ENSCHIG00000021648
bos_mutus ENSBMUG00000020974
myotis_lucifugus ENSMLUG00000010224
myotis_lucifugus ENSMLUG00000007083
myotis_lucifugus ENSMLUG00000024743
pteropus_vampyrus ENSPVAG00000012268
ursus_maritimus ENSUMAG00000017321
ursus_americanus ENSUAMG00000025410
ailuropoda_melanoleuca ENSAMEG00000019152
neovison_vison ENSNVIG00000019101
neovison_vison ENSNVIG00000019112
vulpes_vulpes ENSVVUG00000006806
panthera_pardus ENSPPRG00000008121
panthera_tigris_altaica ENSPTIG00000014399
felis_catus ENSFCAG00000045190
equus_caballus ENSECAG00000028130
equus_caballus ENSECAG00000029895
equus_asinus_asinus ENSEASG00005013360
sorex_araneus ENSSARG00000004658
capra_hircus ENSCHIG00000003744
ovis_aries ENSOARG00000018740
bos_mutus ENSBMUG00000021021
bos_taurus ENSBTAG00000038595
bison_bison_bison ENSBBBG00000022847
capra_hircus ENSCHIG00000003176
ovis_aries ENSOARG00000018835
bos_mutus ENSBMUG00000021037
marmota_marmota_marmota ENSMMMG00000019425
loxodonta_africana ENSLAFG00000000136
echinops_telfairi ENSETEG00000012930
