ictalurus_punctatus ENSIPUG00000015166
danio_rerio ENSDARG00000016855
pygocentrus_nattereri ENSPNAG00000004942
esox_lucius ENSELUG00000014290
xenopus_tropicalis ENSXETG00000021409
phascolarctos_cinereus ENSPCIG00000011344
phascolarctos_cinereus ENSPCIG00000025007
notamacropus_eugenii ENSMEUG00000005440
notamacropus_eugenii ENSMEUG00000005445
sarcophilus_harrisii ENSSHAG00000015670
monodelphis_domestica ENSMODG00000023291
jaculus_jaculus ENSJJAG00000001857
ochotona_princeps ENSOPRG00000015107
pteropus_vampyrus ENSPVAG00000002820
myotis_lucifugus ENSMLUG00000025546
sorex_araneus ENSSARG00000007820
equus_caballus ENSECAG00000005457
equus_asinus_asinus ENSEASG00005009522
myotis_lucifugus ENSMLUG00000028504
myotis_lucifugus ENSMLUG00000010802
tupaia_belangeri ENSTBEG00000003072
echinops_telfairi ENSETEG00000004047
ictidomys_tridecemlineatus ENSSTOG00000003347
marmota_marmota_marmota ENSMMMG00000001182
urocitellus_parryii ENSUPAG00010019505
heterocephalus_glaber_male ENSHGLG00100020370
heterocephalus_glaber_female ENSHGLG00000021406
fukomys_damarensis ENSFDAG00000003664
castor_canadensis ENSCCNG00000028279
oryctolagus_cuniculus ENSOCUG00000008752
prolemur_simus ENSPSMG00000004770
propithecus_coquereli ENSPCOG00000013754
microcebus_murinus ENSMICG00000014922
otolemur_garnettii ENSOGAG00000012152
cebus_capucinus ENSCCAG00000006528
callithrix_jacchus ENSCJAG00000046566
saimiri_boliviensis_boliviensis ENSSBOG00000006122
aotus_nancymaae ENSANAG00000019999
colobus_angolensis_palliatus ENSCANG00000002639
piliocolobus_tephrosceles ENSPTEG00000027946
rhinopithecus_bieti ENSRBIG00000006301
rhinopithecus_roxellana ENSRROG00000037067
mandrillus_leucophaeus ENSMLEG00000007622
cercocebus_atys ENSCATG00000010192
macaca_mulatta ENSMMUG00000047691
macaca_fascicularis ENSMFAG00000029753
macaca_nemestrina ENSMNEG00000028236
theropithecus_gelada ENSTGEG00000018632
papio_anubis ENSPANG00000034242
chlorocebus_sabaeus ENSCSAG00000000187
gorilla_gorilla ENSGGOG00000001537
homo_sapiens ENSG00000169976
pan_troglodytes ENSPTRG00000018676
pan_paniscus ENSPPAG00000012940
pongo_abelii ENSPPYG00000017068
nomascus_leucogenys ENSNLEG00000019307
canis_lupus_dingo ENSCAFG00020000873
canis_lupus_familiaris ENSCAFG00000032495
vulpes_vulpes ENSVVUG00000004703
neovison_vison ENSNVIG00000021443
mustela_putorius_furo ENSMPUG00000018379
ursus_americanus ENSUAMG00000027296
ursus_maritimus ENSUMAG00000005448
panthera_pardus ENSPPRG00000021262
panthera_tigris_altaica ENSPTIG00000001952
felis_catus ENSFCAG00000000936
ovis_aries ENSOARG00000002617
ovis_aries ENSOARG00000019486
capra_hircus ENSCHIG00000007987
bos_taurus ENSBTAG00000009795
bos_mutus ENSBMUG00000007131
bison_bison_bison ENSBBBG00000021905
tursiops_truncatus ENSTTRG00000008817
sus_scrofa ENSSSCG00000035578
vicugna_pacos ENSVPAG00000003826
procavia_capensis ENSPCAG00000009332
loxodonta_africana ENSLAFG00000032489
octodon_degus ENSODEG00000019507
cavia_porcellus ENSCPOG00000012435
chinchilla_lanigera ENSCLAG00000017802
dipodomys_ordii ENSDORG00000005838
carlito_syrichta ENSTSYG00000012236
dasypus_novemcinctus ENSDNOG00000048829
cricetulus_griseus_chok1gshd ENSCGRG00001007249
cricetulus_griseus_crigri ENSCGRG00000019185
cricetulus_griseus_crigri-picr ENSCGRG00015021990
mesocricetus_auratus ENSMAUG00000008283
microtus_ochrogaster ENSMOCG00000001713
peromyscus_maniculatus_bairdii ENSPEMG00000012931
mus_spicilegus ENSMSIG00000015532
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015928
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015120
mus_musculus ENSMUSG00000078348
mus_pahari MGP_PahariEiJ_G0023739
rattus_norvegicus ENSRNOG00000014908
meriones_unguiculatus ENSMUGG00000023727
nannospalax_galili ENSNGAG00000010732
ornithorhynchus_anatinus ENSOANG00000015301
calidris_pugnax ENSCPUG00000013829
calidris_pygmaea ENSCPGG00000014854
gallus_gallus ENSGALG00000030824
meleagris_gallopavo ENSMGAG00000015849
coturnix_japonica ENSCJPG00005005441
numida_meleagris ENSNMEG00000021171
anser_brachyrhynchus ENSABRG00000017329
parus_major ENSPMJG00000007762
serinus_canaria ENSSCAG00000002853
taeniopygia_guttata ENSTGUG00000010810
lonchura_striata_domestica ENSLSDG00000002739
ficedula_albicollis ENSFALG00000015012
cyanistes_caeruleus ENSCCEG00000015021
junco_hyemalis ENSJHYG00000015043
zonotrichia_albicollis ENSZALG00000010653
lepidothrix_coronata ENSLCOG00000007281
manacus_vitellinus ENSMVIG00005005495
melopsittacus_undulatus ENSMUNG00000010310
nothoprocta_perdicaria ENSNPEG00000006870
crocodylus_porosus ENSCPRG00005000904
gopherus_agassizii ENSGAGG00000011434
gopherus_agassizii ENSGAGG00000000646
chelonoidis_abingdonii ENSCABG00000019695
chrysemys_picta_bellii ENSCPBG00000017148
pelodiscus_sinensis ENSPSIG00000001262
apteryx_rowi ENSARWG00000008330
apteryx_owenii ENSAOWG00000007306
apteryx_haastii ENSAHAG00000018079
dromaius_novaehollandiae ENSDNVG00000004270
anolis_carolinensis ENSACAG00000007948
pogona_vitticeps ENSPVIG00000012882
notechis_scutatus ENSNSUG00000010396
salvator_merianae ENSSMRG00000023043
latimeria_chalumnae ENSLACG00000000946
lepisosteus_oculatus ENSLOCG00000017352
paramormyrops_kingsleyae ENSPKIG00000006057
scophthalmus_maximus ENSSMAG00000018852
cynoglossus_semilaevis ENSCSEG00000003216
amphiprion_ocellaris ENSAOCG00000023367
amphiprion_percula ENSAPEG00000004605
acanthochromis_polyacanthus ENSAPOG00000001721
stegastes_partitus ENSSPAG00000009244
stegastes_partitus ENSSPAG00000017371
poecilia_formosa ENSPFOG00000019994
poecilia_latipinna ENSPLAG00000008412
poecilia_mexicana ENSPMEG00000020050
poecilia_reticulata ENSPREG00000009242
gambusia_affinis ENSGAFG00000000271
xiphophorus_maculatus ENSXMAG00000019971
cyprinodon_variegatus ENSCVAG00000005040
kryptolebias_marmoratus ENSKMAG00000002249
oryzias_latipes ENSORLG00000004925
oryzias_latipes_asm223469v1 ENSORLG00015017061
oryzias_latipes ENSORLG00020011625
oryzias_melastigma ENSOMEG00000010620
maylandia_zebra ENSMZEG00005027408
maylandia_zebra ENSMZEG00005028115
astatotilapia_calliptera ENSACLG00000022410
maylandia_zebra ENSMZEG00005027407
pundamilia_nyererei ENSPNYG00000002075
haplochromis_burtoni ENSHBUG00000008925
neolamprologus_brichardi ENSNBRG00000014383
oreochromis_niloticus ENSONIG00000020725
amphilophus_citrinellus ENSACIG00000008106
mola_mola ENSMMOG00000007956
takifugu_rubripes ENSTRUG00000005577
mastacembelus_armatus ENSMAMG00000021639
monopterus_albus ENSMALG00000020357
seriola_lalandi_dorsalis ENSSLDG00000014547
seriola_dumerili ENSSDUG00000018161
labrus_bergylta ENSLBEG00000019847
tetraodon_nigroviridis ENSTNIG00000001265
gasterosteus_aculeatus ENSGACG00000010363
anabas_testudineus ENSATEG00000009720
fundulus_heteroclitus ENSFHEG00000020301
