anolis_carolinensis ENSACAG00000011786
pogona_vitticeps ENSPVIG00000003101
notechis_scutatus ENSNSUG00000019768
salvator_merianae ENSSMRG00000000331
sphenodon_punctatus ENSSPUG00000009515
gopherus_agassizii ENSGAGG00000009494
chelonoidis_abingdonii ENSCABG00000005896
chrysemys_picta_bellii ENSCPBG00000011658
pelodiscus_sinensis ENSPSIG00000014758
apteryx_haastii ENSAHAG00000019314
apteryx_rowi ENSARWG00000005415
apteryx_owenii ENSAOWG00000007610
dromaius_novaehollandiae ENSDNVG00000013693
nothoprocta_perdicaria ENSNPEG00000010285
gallus_gallus ENSGALG00000054212
meleagris_gallopavo ENSMGAG00000001821
coturnix_japonica ENSCJPG00005012958
numida_meleagris ENSNMEG00000003201
anser_brachyrhynchus ENSABRG00000019984
taeniopygia_guttata ENSTGUG00000004852
lonchura_striata_domestica ENSLSDG00000011056
serinus_canaria ENSSCAG00000004105
ficedula_albicollis ENSFALG00000013045
parus_major ENSPMJG00000015374
junco_hyemalis ENSJHYG00000014189
lepidothrix_coronata ENSLCOG00000011946
calidris_pugnax ENSCPUG00000002202
calidris_pygmaea ENSCPGG00000006857
cyanistes_caeruleus ENSCCEG00000003710
anas_platyrhynchos_platyrhynchos ENSAPLG00000014511
pan_troglodytes ENSPTRG00000003095
pan_paniscus ENSPPAG00000031960
homo_sapiens ENSG00000148832
gorilla_gorilla ENSGGOG00000004725
pongo_abelii ENSPPYG00000002793
nomascus_leucogenys ENSNLEG00000026994
macaca_fascicularis ENSMFAG00000043355
macaca_mulatta ENSMMUG00000006326
papio_anubis ENSPANG00000020082
cercocebus_atys ENSCATG00000029440
mandrillus_leucophaeus ENSMLEG00000040533
theropithecus_gelada ENSTGEG00000029124
macaca_nemestrina ENSMNEG00000045571
chlorocebus_sabaeus ENSCSAG00000006627
piliocolobus_tephrosceles ENSPTEG00000024802
colobus_angolensis_palliatus ENSCANG00000036577
rhinopithecus_roxellana ENSRROG00000012275
rhinopithecus_bieti ENSRBIG00000038523
