equus_asinus_asinus ENSEASG00005013204
equus_caballus ENSECAG00000033752
myotis_lucifugus ENSMLUG00000028406
bos_mutus ENSBMUG00000021252
bos_taurus ENSBTAG00000005749
bison_bison_bison ENSBBBG00000000551
ovis_aries ENSOARG00000018888
prolemur_simus ENSPSMG00000014375
dasypus_novemcinctus ENSDNOG00000031435
dasypus_novemcinctus ENSDNOG00000034813
loxodonta_africana ENSLAFG00000030864
loxodonta_africana ENSLAFG00000003949
ursus_maritimus ENSUMAG00000017300
ursus_americanus ENSUAMG00000003424
ailuropoda_melanoleuca ENSAMEG00000019165
neovison_vison ENSNVIG00000019045
canis_lupus_familiaris ENSCAFG00000013842
canis_lupus_dingo ENSCAFG00020008220
vulpes_vulpes ENSVVUG00000006822
sus_scrofa ENSSSCG00000008473
equus_caballus ENSECAG00000009036
prolemur_simus ENSPSMG00000005934
otolemur_garnettii ENSOGAG00000024364
loxodonta_africana ENSLAFG00000029111
loxodonta_africana ENSLAFG00000026650
loxodonta_africana ENSLAFG00000027702
dasypus_novemcinctus ENSDNOG00000039666
