sphenodon_punctatus ENSSPUG00000018109
notechis_scutatus ENSNSUG00000006686
calidris_pugnax ENSCPUG00000016668
ficedula_albicollis ENSFALG00000001946
apteryx_owenii ENSAOWG00000001290
apteryx_haastii ENSAHAG00000000681
chelonoidis_abingdonii ENSCABG00000020426
phascolarctos_cinereus ENSPCIG00000034668
monodelphis_domestica ENSMODG00000018303
pan_paniscus ENSPPAG00000029101
pan_troglodytes ENSPTRG00000004550
homo_sapiens ENSG00000078237
gorilla_gorilla ENSGGOG00000028468
pongo_abelii ENSPPYG00000004165
nomascus_leucogenys ENSNLEG00000032254
macaca_nemestrina ENSMNEG00000028202
macaca_fascicularis ENSMFAG00000033605
macaca_mulatta ENSMMUG00000008548
chlorocebus_sabaeus ENSCSAG00000011127
papio_anubis ENSPANG00000000364
theropithecus_gelada ENSTGEG00000011720
cercocebus_atys ENSCATG00000033179
mandrillus_leucophaeus ENSMLEG00000040844
rhinopithecus_roxellana ENSRROG00000040908
rhinopithecus_bieti ENSRBIG00000027860
colobus_angolensis_palliatus ENSCANG00000036593
piliocolobus_tephrosceles ENSPTEG00000038956
cebus_capucinus ENSCCAG00000022810
saimiri_boliviensis_boliviensis ENSSBOG00000035082
callithrix_jacchus ENSCJAG00000040111
aotus_nancymaae ENSANAG00000023129
carlito_syrichta ENSTSYG00000006206
microcebus_murinus ENSMICG00000004871
prolemur_simus ENSPSMG00000013636
propithecus_coquereli ENSPCOG00000009576
otolemur_garnettii ENSOGAG00000005209
otolemur_garnettii ENSOGAG00000001936
marmota_marmota_marmota ENSMMMG00000018453
marmota_marmota_marmota ENSMMMG00000004172
ictidomys_tridecemlineatus ENSSTOG00000020084
spermophilus_dauricus ENSSDAG00000017491
urocitellus_parryii ENSUPAG00010012554
myotis_lucifugus ENSMLUG00000004920
pteropus_vampyrus ENSPVAG00000002080
neovison_vison ENSNVIG00000004577
mustela_putorius_furo ENSMPUG00000009322
ursus_americanus ENSUAMG00000006018
ursus_maritimus ENSUMAG00000014841
ailuropoda_melanoleuca ENSAMEG00000015725
canis_lupus_familiaris ENSCAFG00000029387
canis_lupus_dingo ENSCAFG00020014867
vulpes_vulpes ENSVVUG00000018064
panthera_pardus ENSPPRG00000008469
panthera_tigris_altaica ENSPTIG00000011654
felis_catus ENSFCAG00000045960
equus_asinus_asinus ENSEASG00005017076
equus_caballus ENSECAG00000019133
bos_taurus ENSBTAG00000016650
bos_mutus ENSBMUG00000025963
bison_bison_bison ENSBBBG00000002287
capra_hircus ENSCHIG00000009582
ovis_aries ENSOARG00000010271
tursiops_truncatus ENSTTRG00000016535
sus_scrofa ENSSSCG00000024219
vicugna_pacos ENSVPAG00000001769
erinaceus_europaeus ENSEEUG00000009476
sorex_araneus ENSSARG00000000040
mus_musculus ENSMUSG00000038028
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029939
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028895
mus_spicilegus ENSMSIG00000024906
mus_pahari MGP_PahariEiJ_G0022656
rattus_norvegicus ENSRNOG00000051816
meriones_unguiculatus ENSMUGG00000013459
cricetulus_griseus_crigri-picr ENSCGRG00015004685
cricetulus_griseus_crigri ENSCGRG00000015579
cricetulus_griseus_chok1gshd ENSCGRG00001020919
mesocricetus_auratus ENSMAUG00000011832
peromyscus_maniculatus_bairdii ENSPEMG00000024358
microtus_ochrogaster ENSMOCG00000009323
nannospalax_galili ENSNGAG00000022268
castor_canadensis ENSCCNG00000003144
jaculus_jaculus ENSJJAG00000012297
dipodomys_ordii ENSDORG00000026181
cavia_porcellus ENSCPOG00000009667
cavia_aperea ENSCAPG00000007086
chinchilla_lanigera ENSCLAG00000013103
octodon_degus ENSODEG00000002673
heterocephalus_glaber_female ENSHGLG00000004878
heterocephalus_glaber_male ENSHGLG00100015014
fukomys_damarensis ENSFDAG00000004406
tupaia_belangeri ENSTBEG00000008259
oryctolagus_cuniculus ENSOCUG00000001952
ochotona_princeps ENSOPRG00000007109
loxodonta_africana ENSLAFG00000016921
procavia_capensis ENSPCAG00000008333
echinops_telfairi ENSETEG00000001606
choloepus_hoffmanni ENSCHOG00000013237
choloepus_hoffmanni ENSCHOG00000010029
dasypus_novemcinctus ENSDNOG00000032896
ornithorhynchus_anatinus ENSOANG00000014697
latimeria_chalumnae ENSLACG00000017982
