poecilia_formosa ENSPFOG00000022967
poecilia_mexicana ENSPMEG00000023697
poecilia_latipinna ENSPLAG00000010675
poecilia_reticulata ENSPREG00000002619
xiphophorus_maculatus ENSXMAG00000027878
xiphophorus_couchianus ENSXCOG00000010963
gambusia_affinis ENSGAFG00000004840
fundulus_heteroclitus ENSFHEG00000012989
cyprinodon_variegatus ENSCVAG00000020743
xiphophorus_couchianus ENSXCOG00000010964
xiphophorus_maculatus ENSXMAG00000027693
poecilia_reticulata ENSPREG00000002612
poecilia_mexicana ENSPMEG00000023700
gambusia_affinis ENSGAFG00000004833
cyprinodon_variegatus ENSCVAG00000020737
cyprinodon_variegatus ENSCVAG00000009666
fundulus_heteroclitus ENSFHEG00000013013
oryzias_latipes ENSORLG00020016979
oryzias_latipes ENSORLG00000024744
oryzias_latipes_asm223469v1 ENSORLG00015007463
