astatotilapia_calliptera ENSACLG00000017415
maylandia_zebra ENSMZEG00005028336
haplochromis_burtoni ENSHBUG00000017593
pundamilia_nyererei ENSPNYG00000014785
neolamprologus_brichardi ENSNBRG00000003420
oreochromis_niloticus ENSONIG00000005235
amphilophus_citrinellus ENSACIG00000018255
amphiprion_ocellaris ENSAOCG00000015196
amphiprion_percula ENSAPEG00000005899
acanthochromis_polyacanthus ENSAPOG00000002743
takifugu_rubripes ENSTRUG00000020632
hippocampus_comes ENSHCOG00000017242
anabas_testudineus ENSATEG00000024997
