haplochromis_burtoni ENSHBUG00000004542
maylandia_zebra ENSMZEG00005008273
pundamilia_nyererei ENSPNYG00000000552
astatotilapia_calliptera ENSACLG00000023779
neolamprologus_brichardi ENSNBRG00000023520
amphilophus_citrinellus ENSACIG00000012280
amphiprion_ocellaris ENSAOCG00000006940
amphiprion_percula ENSAPEG00000004551
acanthochromis_polyacanthus ENSAPOG00000016250
stegastes_partitus ENSSPAG00000001736
mastacembelus_armatus ENSMAMG00000006961
esox_lucius ENSELUG00000008959
scleropages_formosus ENSSFOG00015002491
