gambusia_affinis ENSGAFG00000015014
poecilia_reticulata ENSPREG00000015041
labrus_bergylta ENSLBEG00000014587
macaca_fascicularis ENSMFAG00000043683
macaca_nemestrina ENSMNEG00000045233
cercocebus_atys ENSCATG00000038493
macaca_mulatta ENSMMUG00000041137
theropithecus_gelada ENSTGEG00000015531
mandrillus_leucophaeus ENSMLEG00000034662
rhinopithecus_bieti ENSRBIG00000036389
pan_paniscus ENSPPAG00000043815
pan_troglodytes ENSPTRG00000048974
cebus_capucinus ENSCCAG00000017770
vulpes_vulpes ENSVVUG00000024007
numida_meleagris ENSNMEG00000011799
