gorilla_gorilla ENSGGOG00000040466
homo_sapiens ENSG00000236383
pan_paniscus ENSPPAG00000038733
pan_troglodytes ENSPTRG00000051425
nomascus_leucogenys ENSNLEG00000034842
papio_anubis ENSPANG00000034313
theropithecus_gelada ENSTGEG00000012610
macaca_fascicularis ENSMFAG00000045582
macaca_nemestrina ENSMNEG00000033834
cercocebus_atys ENSCATG00000037079
mandrillus_leucophaeus ENSMLEG00000044375
rhinopithecus_bieti ENSRBIG00000027833
rhinopithecus_roxellana ENSRROG00000025944
piliocolobus_tephrosceles ENSPTEG00000020962
colobus_angolensis_palliatus ENSCANG00000028708
cebus_capucinus ENSCCAG00000030429
callithrix_jacchus ENSCJAG00000044957
saimiri_boliviensis_boliviensis ENSSBOG00000027762
aotus_nancymaae ENSANAG00000029012
carlito_syrichta ENSTSYG00000030336
propithecus_coquereli ENSPCOG00000022550
microcebus_murinus ENSMICG00000045384
prolemur_simus ENSPSMG00000005328
felis_catus ENSFCAG00000042684
