pelodiscus_sinensis ENSPSIG00000004324
chrysemys_picta ENSCPBG00000025888
crocodylus_porosus ENSCPRG00005009617
anolis_carolinensis ENSACAG00000008384
notechis_scutatus ENSNSUG00000008819
salvator_merianae ENSSMRG00000012748
sphenodon_punctatus ENSSPUG00000016299
chelonoidis_abingdonii ENSCABG00000015889
gopherus_agassizii ENSGAGG00000017971
parus_major ENSPMJG00000015346
dromaius_novaehollandiae ENSDNVG00000015652
pogona_vitticeps ENSPVIG00000022364
lonchura_striata ENSLSDG00000018192
taeniopygia_guttata ENSTGUG00000004585
zonotrichia_albicollis ENSZALG00000013001
junco_hyemalis ENSJHYG00000013867
serinus_canaria ENSSCAG00000016095
ficedula_albicollis ENSFALG00000012614
cyanistes_caeruleus ENSCCEG00000018909
lepidothrix_coronata ENSLCOG00000011319
manacus_vitellinus ENSMVIG00005007178
melopsittacus_undulatus ENSMUNG00000011612
calidris_pygmaea ENSCPGG00000013145
calidris_pugnax ENSCPUG00000014917
anas_platyrhynchos ENSAPLG00000002003
anser_brachyrhynchus ENSABRG00000021922
gallus_gallus ENSGALG00000030964
coturnix_japonica ENSCJPG00005009678
meleagris_gallopavo ENSMGAG00000005310
numida_meleagris ENSNMEG00000017079
apteryx_rowi ENSARWG00000008985
apteryx_haastii ENSAHAG00000001618
apteryx_owenii ENSAOWG00000010476
nothoprocta_perdicaria ENSNPEG00000010734
phascolarctos_cinereus ENSPCIG00000015284
vombatus_ursinus ENSVURG00010014173
notamacropus_eugenii ENSMEUG00000004324
sarcophilus_harrisii ENSSHAG00000009270
monodelphis_domestica ENSMODG00000012169
tursiops_truncatus ENSTTRG00000006670
sus_scrofa ENSSSCG00000010267
bos_mutus ENSBMUG00000016738
bos_taurus ENSBTAG00000005666
bison_bison ENSBBBG00000021778
capra_hircus ENSCHIG00000009889
bos_indicus ENSBIXG00000010891
bos_indicus ENSBIXG00005016961
ovis_aries ENSOARG00000006043
vicugna_pacos ENSVPAG00000002633
equus_caballus ENSECAG00000015466
equus_asinus ENSEASG00005016051
myotis_lucifugus ENSMLUG00000029603
myotis_lucifugus ENSMLUG00000015290
myotis_lucifugus ENSMLUG00000028522
pteropus_vampyrus ENSPVAG00000000102
erinaceus_europaeus ENSEEUG00000002138
ursus_americanus ENSUAMG00000003754
ursus_maritimus ENSUMAG00000007964
ailuropoda_melanoleuca ENSAMEG00000017850
neovison_vison ENSNVIG00000010945
mustela_putorius ENSMPUG00000004310
canis_lupus ENSCAFG00020025878
canis_lupus ENSCAFG00000014045
vulpes_vulpes ENSVVUG00000021615
panthera_tigris ENSPTIG00000014791
panthera_pardus ENSPPRG00000021202
oryctolagus_cuniculus ENSOCUG00000016021
ochotona_princeps ENSOPRG00000015814
tupaia_belangeri ENSTBEG00000003566
castor_canadensis ENSCCNG00000030862
dipodomys_ordii ENSDORG00000015982
chinchilla_lanigera ENSCLAG00000013887
octodon_degus ENSODEG00000014868
cavia_aperea ENSCAPG00000017034
cavia_porcellus ENSCPOG00000034939
heterocephalus_glaber ENSHGLG00000011623
heterocephalus_glaber ENSHGLG00100006832
fukomys_damarensis ENSFDAG00000016468
cricetulus_griseus ENSCGRG00001016697
cricetulus_griseus ENSCGRG00000014708
mesocricetus_auratus ENSMAUG00000011702
microtus_ochrogaster ENSMOCG00000015935
mus_musculus ENSMUSG00000037151
mus_spicilegus ENSMSIG00000013576
mus_spretus MGP_SPRETEiJ_G0016180
mus_caroli MGP_CAROLIEiJ_G0015369
mus_pahari MGP_PahariEiJ_G0030785
rattus_norvegicus ENSRNOG00000000560
meriones_unguiculatus ENSMUGG00000004261
peromyscus_maniculatus ENSPEMG00000027048
nannospalax_galili ENSNGAG00000021580
jaculus_jaculus ENSJJAG00000021553
urocitellus_parryii ENSUPAG00010004461
spermophilus_dauricus ENSSDAG00000013650
ictidomys_tridecemlineatus ENSSTOG00000025273
marmota_marmota ENSMMMG00000007191
prolemur_simus ENSPSMG00000007422
propithecus_coquereli ENSPCOG00000022500
microcebus_murinus ENSMICG00000015067
otolemur_garnettii ENSOGAG00000010085
pan_paniscus ENSPPAG00000040023
pan_troglodytes ENSPTRG00000002588
homo_sapiens ENSG00000172731
gorilla_gorilla ENSGGOG00000014113
pongo_abelii ENSPPYG00000002372
nomascus_leucogenys ENSNLEG00000031664
macaca_nemestrina ENSMNEG00000028501
macaca_fascicularis ENSMFAG00000041994
macaca_mulatta ENSMMUG00000014846
papio_anubis ENSPANG00000022262
cercocebus_atys ENSCATG00000013053
theropithecus_gelada ENSTGEG00000028901
mandrillus_leucophaeus ENSMLEG00000031698
chlorocebus_sabaeus ENSCSAG00000008285
rhinopithecus_bieti ENSRBIG00000037874
rhinopithecus_roxellana ENSRROG00000033880
piliocolobus_tephrosceles ENSPTEG00000032537
colobus_angolensis ENSCANG00000038287
saimiri_boliviensis ENSSBOG00000004099
callithrix_jacchus ENSCJAG00000016341
cebus_capucinus ENSCCAG00000023860
aotus_nancymaae ENSANAG00000027549
carlito_syrichta ENSTSYG00000008661
loxodonta_africana ENSLAFG00000004053
procavia_capensis ENSPCAG00000002747
dasypus_novemcinctus ENSDNOG00000041213
sorex_araneus ENSSARG00000008842
echinops_telfairi ENSETEG00000017175
ornithorhynchus_anatinus ENSOANG00000000425
xenopus_tropicalis ENSXETG00000019202
latimeria_chalumnae ENSLACG00000016214
cottoperca_gobio ENSCGOG00000021316
gasterosteus_aculeatus ENSGACG00000002340
labrus_bergylta ENSLBEG00000017005
lates_calcarifer ENSLCAG00010020209
mastacembelus_armatus ENSMAMG00000019002
poecilia_formosa ENSPFOG00000005314
poecilia_latipinna ENSPLAG00000001010
poecilia_mexicana ENSPMEG00000001706
poecilia_reticulata ENSPREG00000002056
xiphophorus_maculatus ENSXMAG00000015106
xiphophorus_couchianus ENSXCOG00000006145
gambusia_affinis ENSGAFG00000004901
cyprinodon_variegatus ENSCVAG00000006545
fundulus_heteroclitus ENSFHEG00000012406
kryptolebias_marmoratus ENSKMAG00000014921
oryzias_latipes ENSORLG00020007062
oryzias_latipes ENSORLG00000027196
oryzias_latipes ENSORLG00015006273
oryzias_melastigma ENSOMEG00000012501
amphiprion_ocellaris ENSAOCG00000009373
amphiprion_percula ENSAPEG00000019657
acanthochromis_polyacanthus ENSAPOG00000017796
stegastes_partitus ENSSPAG00000015774
gouania_willdenowi ENSGWIG00000024882
takifugu_rubripes ENSTRUG00000022539
tetraodon_nigroviridis ENSTNIG00000001372
mola_mola ENSMMOG00000013805
larimichthys_crocea ENSLCRG00005005461
pundamilia_nyererei ENSPNYG00000021325
maylandia_zebra ENSMZEG00005000956
astatotilapia_calliptera ENSACLG00000005044
haplochromis_burtoni ENSHBUG00000018335
neolamprologus_brichardi ENSNBRG00000014049
oreochromis_niloticus ENSONIG00000016112
amphilophus_citrinellus ENSACIG00000024511
parambassis_ranga ENSPRNG00000023580
seriola_lalandi ENSSLDG00000024173
seriola_dumerili ENSSDUG00000019669
scophthalmus_maximus ENSSMAG00000002126
anabas_testudineus ENSATEG00000023357
betta_splendens ENSBSLG00000022458
monopterus_albus ENSMALG00000001658
cynoglossus_semilaevis ENSCSEG00000016951
hippocampus_comes ENSHCOG00000001166
periophthalmus_magnuspinnatus ENSPMGG00000021528
gadus_morhua ENSGMOG00000000338
esox_lucius ENSELUG00000013681
denticeps_clupeoides ENSDCDG00000016262
clupea_harengus ENSCHAG00000024636
astyanax_mexicanus ENSAMXG00000019014
astyanax_mexicanus ENSAMXG00005011074
pygocentrus_nattereri ENSPNAG00000029715
electrophorus_electricus ENSEEEG00000024403
ictalurus_punctatus ENSIPUG00000001031
danio_rerio ENSDARG00000105018
paramormyrops_kingsleyae ENSPKIG00000007660
scleropages_formosus ENSSFOG00015014051
lepisosteus_oculatus ENSLOCG00000005145
erpetoichthys_calabaricus ENSECRG00000017209
callorhinchus_milii ENSCMIG00000009660
eptatretus_burgeri ENSEBUG00000016074
drosophila_melanogaster FBgn0030357
caenorhabditis_elegans WBGene00010675
