piliocolobus_tephrosceles ENSPTEG00000026621
colobus_angolensis_palliatus ENSCANG00000032993
macaca_fascicularis ENSMFAG00000038468
macaca_mulatta ENSMMUG00000016526
macaca_nemestrina ENSMNEG00000031428
mandrillus_leucophaeus ENSMLEG00000033366
cercocebus_atys ENSCATG00000035228
papio_anubis ENSPANG00000031692
theropithecus_gelada ENSTGEG00000019451
chlorocebus_sabaeus ENSCSAG00000009616
pan_troglodytes ENSPTRG00000010365
pan_paniscus ENSPPAG00000037155
homo_sapiens ENSG00000181240
gorilla_gorilla ENSGGOG00000007048
cebus_capucinus ENSCCAG00000026520
callithrix_jacchus ENSCJAG00000016615
saimiri_boliviensis_boliviensis ENSSBOG00000020009
aotus_nancymaae ENSANAG00000021884
carlito_syrichta ENSTSYG00000034857
prolemur_simus ENSPSMG00000010572
propithecus_coquereli ENSPCOG00000003363
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022712
mus_spicilegus ENSMSIG00000021849
mus_musculus ENSMUSG00000011486
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021801
mus_pahari MGP_PahariEiJ_G0020790
rattus_norvegicus ENSRNOG00000048853
meriones_unguiculatus ENSMUGG00000006480
cricetulus_griseus_crigri ENSCGRG00000011125
cricetulus_griseus_chok1gshd ENSCGRG00001000917
cricetulus_griseus_crigri-picr ENSCGRG00015001651
mesocricetus_auratus ENSMAUG00000014724
microtus_ochrogaster ENSMOCG00000013299
peromyscus_maniculatus_bairdii ENSPEMG00000020675
nannospalax_galili ENSNGAG00000019185
jaculus_jaculus ENSJJAG00000009731
spermophilus_dauricus ENSSDAG00000010000
urocitellus_parryii ENSUPAG00010023658
ictidomys_tridecemlineatus ENSSTOG00000023022
marmota_marmota_marmota ENSMMMG00000019493
castor_canadensis ENSCCNG00000027176
dipodomys_ordii ENSDORG00000002448
otolemur_garnettii ENSOGAG00000034049
tupaia_belangeri ENSTBEG00000015743
canis_lupus_dingo ENSCAFG00020019291
canis_lupus_familiaris ENSCAFG00000018657
vulpes_vulpes ENSVVUG00000026725
ailuropoda_melanoleuca ENSAMEG00000007032
panthera_tigris_altaica ENSPTIG00000020410
panthera_pardus ENSPPRG00000008078
felis_catus ENSFCAG00000025463
bos_mutus ENSBMUG00000026037
bison_bison_bison ENSBBBG00000020681
capra_hircus ENSCHIG00000017363
tursiops_truncatus ENSTTRG00000010398
neovison_vison ENSNVIG00000015722
mustela_putorius_furo ENSMPUG00000006890
ursus_americanus ENSUAMG00000023101
ursus_maritimus ENSUMAG00000011173
ovis_aries ENSOARG00000005801
bos_taurus ENSBTAG00000020017
myotis_lucifugus ENSMLUG00000015564
equus_asinus_asinus ENSEASG00005023116
equus_caballus ENSECAG00000018003
pteropus_vampyrus ENSPVAG00000007252
sus_scrofa ENSSSCG00000032785
rhinopithecus_roxellana ENSRROG00000044292
octodon_degus ENSODEG00000015990
chinchilla_lanigera ENSCLAG00000006414
cavia_porcellus ENSCPOG00000029988
cavia_aperea ENSCAPG00000009724
dasypus_novemcinctus ENSDNOG00000041952
choloepus_hoffmanni ENSCHOG00000007494
procavia_capensis ENSPCAG00000000269
echinops_telfairi ENSETEG00000004799
loxodonta_africana ENSLAFG00000028633
erinaceus_europaeus ENSEEUG00000010249
erinaceus_europaeus ENSEEUG00000000603
erinaceus_europaeus ENSEEUG00000000595
notamacropus_eugenii ENSMEUG00000006529
phascolarctos_cinereus ENSPCIG00000016624
sarcophilus_harrisii ENSSHAG00000011643
monodelphis_domestica ENSMODG00000001959
