ictalurus_punctatus ENSIPUG00000023919
pygocentrus_nattereri ENSPNAG00000022242
esox_lucius ENSELUG00000004729
notechis_scutatus ENSNSUG00000018666
pogona_vitticeps ENSPVIG00000018035
cebus_capucinus ENSCCAG00000037040
aotus_nancymaae ENSANAG00000025981
rhinopithecus_bieti ENSRBIG00000042392
rhinopithecus_roxellana ENSRROG00000034704
rhinopithecus_roxellana ENSRROG00000039672
rhinopithecus_roxellana ENSRROG00000035937
rhinopithecus_bieti ENSRBIG00000032094
piliocolobus_tephrosceles ENSPTEG00000003686
mandrillus_leucophaeus ENSMLEG00000034888
carlito_syrichta ENSTSYG00000026404
carlito_syrichta ENSTSYG00000029081
microcebus_murinus ENSMICG00000000260
