anabas_testudineus ENSATEG00000014331
tetraodon_nigroviridis ENSTNIG00000016800
cynoglossus_semilaevis ENSCSEG00000005853
gouania_willdenowi ENSGWIG00000006873
monopterus_albus ENSMALG00000012259
betta_splendens ENSBSLG00000022328
poecilia_formosa ENSPFOG00000009761
poecilia_mexicana ENSPMEG00000003637
poecilia_latipinna ENSPLAG00000023878
poecilia_reticulata ENSPREG00000015469
xiphophorus_maculatus ENSXMAG00000022972
xiphophorus_couchianus ENSXCOG00000001640
gambusia_affinis ENSGAFG00000016779
fundulus_heteroclitus ENSFHEG00000002495
cyprinodon_variegatus ENSCVAG00000006242
kryptolebias_marmoratus ENSKMAG00000004296
oryzias_latipes ENSORLG00000022969
oryzias_latipes ENSORLG00015017211
oryzias_latipes ENSORLG00020018926
oryzias_melastigma ENSOMEG00000018821
amphiprion_percula ENSAPEG00000009958
amphiprion_ocellaris ENSAOCG00000001161
acanthochromis_polyacanthus ENSAPOG00000013024
stegastes_partitus ENSSPAG00000007671
parambassis_ranga ENSPRNG00000011830
seriola_dumerili ENSSDUG00000016976
seriola_lalandi ENSSLDG00000015832
lates_calcarifer ENSLCAG00010020395
scophthalmus_maximus ENSSMAG00000017799
mastacembelus_armatus ENSMAMG00000021629
pundamilia_nyererei ENSPNYG00000014886
maylandia_zebra ENSMZEG00005004613
astatotilapia_calliptera ENSACLG00000016826
haplochromis_burtoni ENSHBUG00000012691
oreochromis_niloticus ENSONIG00000005326
amphilophus_citrinellus ENSACIG00000022373
cottoperca_gobio ENSCGOG00000013818
gasterosteus_aculeatus ENSGACG00000016922
larimichthys_crocea ENSLCRG00005020220
mola_mola ENSMMOG00000002912
takifugu_rubripes ENSTRUG00000024356
labrus_bergylta ENSLBEG00000005536
hippocampus_comes ENSHCOG00000007104
periophthalmus_magnuspinnatus ENSPMGG00000018196
gadus_morhua ENSGMOG00000008671
esox_lucius ENSELUG00000007504
clupea_harengus ENSCHAG00000013552
ictalurus_punctatus ENSIPUG00000002580
electrophorus_electricus ENSEEEG00000013428
astyanax_mexicanus ENSAMXG00000010525
astyanax_mexicanus ENSAMXG00005018689
pygocentrus_nattereri ENSPNAG00000008604
danio_rerio ENSDARG00000029609
denticeps_clupeoides ENSDCDG00000026338
scleropages_formosus ENSSFOG00015005972
paramormyrops_kingsleyae ENSPKIG00000008514
lepisosteus_oculatus ENSLOCG00000001373
erpetoichthys_calabaricus ENSECRG00000010304
anolis_carolinensis ENSACAG00000012554
pogona_vitticeps ENSPVIG00000005925
salvator_merianae ENSSMRG00000010221
sphenodon_punctatus ENSSPUG00000006177
chelonoidis_abingdonii ENSCABG00000000690
gopherus_agassizii ENSGAGG00000021044
chrysemys_picta ENSCPBG00000023496
pelodiscus_sinensis ENSPSIG00000009225
sus_scrofa ENSSSCG00000013043
