dipodomys_ordii ENSDORG00000013519
castor_canadensis ENSCCNG00000004997
mus_musculus ENSMUSG00000009350
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017784
mus_spicilegus ENSMSIG00000026179
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016937
mus_pahari MGP_PahariEiJ_G0018066
rattus_norvegicus ENSRNOG00000008310
meriones_unguiculatus ENSMUGG00000025507
cricetulus_griseus_chok1gshd ENSCGRG00001019596
cricetulus_griseus_crigri ENSCGRG00000016558
cricetulus_griseus_crigri-picr ENSCGRG00015006316
cricetulus_griseus_crigri ENSCGRG00000013409
cricetulus_griseus_chok1gshd ENSCGRG00001018027
cricetulus_griseus_crigri-picr ENSCGRG00015006243
mesocricetus_auratus ENSMAUG00000000644
microtus_ochrogaster ENSMOCG00000022201
peromyscus_maniculatus_bairdii ENSPEMG00000014344
peromyscus_maniculatus_bairdii ENSPEMG00000015337
nannospalax_galili ENSNGAG00000016937
jaculus_jaculus ENSJJAG00000020363
urocitellus_parryii ENSUPAG00010014120
ictidomys_tridecemlineatus ENSSTOG00000010013
spermophilus_dauricus ENSSDAG00000020679
marmota_marmota_marmota ENSMMMG00000020576
cavia_porcellus ENSCPOG00000027142
cavia_aperea ENSCAPG00000002863
octodon_degus ENSODEG00000011112
chinchilla_lanigera ENSCLAG00000015465
heterocephalus_glaber_male ENSHGLG00100006360
heterocephalus_glaber_female ENSHGLG00000019104
fukomys_damarensis ENSFDAG00000017786
oryctolagus_cuniculus ENSOCUG00000006526
tupaia_belangeri ENSTBEG00000013354
carlito_syrichta ENSTSYG00000037492
ochotona_princeps ENSOPRG00000007441
ochotona_princeps ENSOPRG00000000123
ailuropoda_melanoleuca ENSAMEG00000011764
ursus_maritimus ENSUMAG00000022917
mustela_putorius_furo ENSMPUG00000015340
neovison_vison ENSNVIG00000012799
canis_lupus_dingo ENSCAFG00020025664
canis_lupus_familiaris ENSCAFG00000017474
vulpes_vulpes ENSVVUG00000011957
panthera_pardus ENSPPRG00000007956
panthera_tigris_altaica ENSPTIG00000015814
felis_catus ENSFCAG00000012263
equus_caballus ENSECAG00000006662
equus_asinus_asinus ENSEASG00005002803
myotis_lucifugus ENSMLUG00000006092
pteropus_vampyrus ENSPVAG00000002318
vicugna_pacos ENSVPAG00000008387
vicugna_pacos ENSVPAG00000005022
sus_scrofa ENSSSCG00000017637
capra_hircus ENSCHIG00000017436
ovis_aries ENSOARG00000009287
bos_taurus ENSBTAG00000011616
bos_mutus ENSBMUG00000020570
bison_bison_bison ENSBBBG00000002163
tursiops_truncatus ENSTTRG00000006841
loxodonta_africana ENSLAFG00000002594
procavia_capensis ENSPCAG00000003005
erinaceus_europaeus ENSEEUG00000009042
dasypus_novemcinctus ENSDNOG00000000094
propithecus_coquereli ENSPCOG00000019700
prolemur_simus ENSPSMG00000004422
microcebus_murinus ENSMICG00000015974
otolemur_garnettii ENSOGAG00000002676
pan_paniscus ENSPPAG00000039416
pan_troglodytes ENSPTRG00000009449
homo_sapiens ENSG00000005381
gorilla_gorilla ENSGGOG00000016705
pongo_abelii ENSPPYG00000008235
nomascus_leucogenys ENSNLEG00000008150
rhinopithecus_bieti ENSRBIG00000039450
rhinopithecus_roxellana ENSRROG00000001873
piliocolobus_tephrosceles ENSPTEG00000039301
colobus_angolensis_palliatus ENSCANG00000035454
papio_anubis ENSPANG00000022275
theropithecus_gelada ENSTGEG00000022948
cercocebus_atys ENSCATG00000039696
mandrillus_leucophaeus ENSMLEG00000023783
macaca_fascicularis ENSMFAG00000030407
macaca_nemestrina ENSMNEG00000030387
macaca_mulatta ENSMMUG00000002266
chlorocebus_sabaeus ENSCSAG00000005701
saimiri_boliviensis_boliviensis ENSSBOG00000033166
cebus_capucinus ENSCCAG00000020442
callithrix_jacchus ENSCJAG00000017310
aotus_nancymaae ENSANAG00000022016
phascolarctos_cinereus ENSPCIG00000004112
notamacropus_eugenii ENSMEUG00000016388
sarcophilus_harrisii ENSSHAG00000011694
monodelphis_domestica ENSMODG00000014737
ornithorhynchus_anatinus ENSOANG00000004748
ornithorhynchus_anatinus ENSOANG00000013085
