mus_musculus ENSMUSG00000072968
mus_spicilegus ENSMSIG00000014212
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021961
mus_spicilegus ENSMSIG00000011024
mus_pahari MGP_PahariEiJ_G0022416
rattus_norvegicus ENSRNOG00000046174
meriones_unguiculatus ENSMUGG00000025243
meriones_unguiculatus ENSMUGG00000001209
cricetulus_griseus_chok1gshd ENSCGRG00001019515
castor_canadensis ENSCCNG00000013914
otolemur_garnettii ENSOGAG00000025123
panthera_tigris_altaica ENSPTIG00000011889
panthera_pardus ENSPPRG00000016664
felis_catus ENSFCAG00000042691
bos_taurus ENSBTAG00000050906
panthera_pardus ENSPPRG00000005466
meriones_unguiculatus ENSMUGG00000026614
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020097
astyanax_mexicanus ENSAMXG00000032726
