meriones_unguiculatus ENSMUGG00000000782
dipodomys_ordii ENSDORG00000012266
homo_sapiens ENSG00000241241
pan_paniscus ENSPPAG00000043333
chlorocebus_sabaeus ENSCSAG00000002862
cebus_capucinus ENSCCAG00000030292
macaca_mulatta ENSMMUG00000020305
papio_anubis ENSPANG00000021570
papio_anubis ENSPANG00000021571
nomascus_leucogenys ENSNLEG00000002385
nomascus_leucogenys ENSNLEG00000002384
colobus_angolensis_palliatus ENSCANG00000035089
macaca_fascicularis ENSMFAG00000002460
gorilla_gorilla ENSGGOG00000042774
homo_sapiens ENSG00000171396
rhinopithecus_roxellana ENSRROG00000004858
theropithecus_gelada ENSTGEG00000007698
cercocebus_atys ENSCATG00000042277
homo_sapiens ENSG00000204880
pan_paniscus ENSPPAG00000024926
gorilla_gorilla ENSGGOG00000036946
homo_sapiens ENSG00000212722
pongo_abelii ENSPPYG00000008438
pan_troglodytes ENSPTRG00000043038
pan_paniscus ENSPPAG00000034671
gorilla_gorilla ENSGGOG00000043862
homo_sapiens ENSG00000212721
rhinopithecus_bieti ENSRBIG00000040600
callithrix_jacchus ENSCJAG00000039279
cebus_capucinus ENSCCAG00000030861
saimiri_boliviensis_boliviensis ENSSBOG00000003071
propithecus_coquereli ENSPCOG00000021181
panthera_pardus ENSPPRG00000012545
panthera_pardus ENSPPRG00000021811
