microcebus_murinus ENSMICG00000043253
meriones_unguiculatus ENSMUGG00000010039
sus_scrofa ENSSSCG00000034537
sus_scrofa ENSSSCG00000040623
bos_mutus ENSBMUG00000022162
bison_bison_bison ENSBBBG00000015606
capra_hircus ENSCHIG00000023654
ursus_maritimus ENSUMAG00000010967
felis_catus ENSFCAG00000036659
felis_catus ENSFCAG00000033839
panthera_pardus ENSPPRG00000020317
ursus_americanus ENSUAMG00000002158
equus_asinus_asinus ENSEASG00005002368
salvator_merianae ENSSMRG00000017971
zonotrichia_albicollis ENSZALG00000005593
ictalurus_punctatus ENSIPUG00000002685
