cyanistes_caeruleus ENSCCEG00000007927
parus_major ENSPMJG00000007788
ficedula_albicollis ENSFALG00000008378
lonchura_striata_domestica ENSLSDG00000010049
taeniopygia_guttata ENSTGUG00000000679
serinus_canaria ENSSCAG00000012971
zonotrichia_albicollis ENSZALG00000010421
junco_hyemalis ENSJHYG00000001908
manacus_vitellinus ENSMVIG00005016588
calidris_pygmaea ENSCPGG00000015697
calidris_pugnax ENSCPUG00000001150
gallus_gallus ENSGALG00000003886
coturnix_japonica ENSCJPG00005007246
numida_meleagris ENSNMEG00000018049
anser_brachyrhynchus ENSABRG00000016926
anas_platyrhynchos_platyrhynchos ENSAPLG00000004614
dromaius_novaehollandiae ENSDNVG00000002041
crocodylus_porosus ENSCPRG00005013196
chelonoidis_abingdonii ENSCABG00000022073
gopherus_agassizii ENSGAGG00000000421
chrysemys_picta_bellii ENSCPBG00000002013
pelodiscus_sinensis ENSPSIG00000003964
anolis_carolinensis ENSACAG00000003864
pogona_vitticeps ENSPVIG00000023678
notechis_scutatus ENSNSUG00000019058
salvator_merianae ENSSMRG00000015115
sphenodon_punctatus ENSSPUG00000011944
ornithorhynchus_anatinus ENSOANG00000005090
ornithorhynchus_anatinus ENSOANG00000005089
phascolarctos_cinereus ENSPCIG00000005944
notamacropus_eugenii ENSMEUG00000011384
sarcophilus_harrisii ENSSHAG00000012936
monodelphis_domestica ENSMODG00000008547
oryctolagus_cuniculus ENSOCUG00000002000
carlito_syrichta ENSTSYG00000013872
vicugna_pacos ENSVPAG00000007828
erinaceus_europaeus ENSEEUG00000011554
ochotona_princeps ENSOPRG00000008403
dipodomys_ordii ENSDORG00000000348
fukomys_damarensis ENSFDAG00000008842
octodon_degus ENSODEG00000011784
cavia_aperea ENSCAPG00000017035
cavia_porcellus ENSCPOG00000003738
chinchilla_lanigera ENSCLAG00000014749
heterocephalus_glaber_female ENSHGLG00000014518
heterocephalus_glaber_male ENSHGLG00100012724
fukomys_damarensis ENSFDAG00000005826
ictidomys_tridecemlineatus ENSSTOG00000004356
spermophilus_dauricus ENSSDAG00000000655
urocitellus_parryii ENSUPAG00010017054
marmota_marmota_marmota ENSMMMG00000013502
nannospalax_galili ENSNGAG00000022742
jaculus_jaculus ENSJJAG00000001165
mus_musculus ENSMUSG00000020354
mus_spicilegus ENSMSIG00000000535
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017093
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016252
mus_pahari MGP_PahariEiJ_G0017388
rattus_norvegicus ENSRNOG00000002372
cricetulus_griseus_crigri-picr ENSCGRG00015001089
cricetulus_griseus_chok1gshd ENSCGRG00001013442
cricetulus_griseus_crigri ENSCGRG00000016369
microtus_ochrogaster ENSMOCG00000022475
peromyscus_maniculatus_bairdii ENSPEMG00000011649
meriones_unguiculatus ENSMUGG00000023792
castor_canadensis ENSCCNG00000026963
saimiri_boliviensis_boliviensis ENSSBOG00000000325
callithrix_jacchus ENSCJAG00000007288
cebus_capucinus ENSCCAG00000027396
aotus_nancymaae ENSANAG00000036924
pan_troglodytes ENSPTRG00000042231
pan_paniscus ENSPPAG00000027674
gorilla_gorilla ENSGGOG00000008121
homo_sapiens ENSG00000170624
pongo_abelii ENSPPYG00000015981
nomascus_leucogenys ENSNLEG00000035018
colobus_angolensis_palliatus ENSCANG00000016926
piliocolobus_tephrosceles ENSPTEG00000014581
rhinopithecus_bieti ENSRBIG00000043792
rhinopithecus_roxellana ENSRROG00000037085
macaca_mulatta ENSMMUG00000004581
macaca_fascicularis ENSMFAG00000032111
macaca_nemestrina ENSMNEG00000029859
papio_anubis ENSPANG00000003591
theropithecus_gelada ENSTGEG00000007176
mandrillus_leucophaeus ENSMLEG00000028143
cercocebus_atys ENSCATG00000045363
chlorocebus_sabaeus ENSCSAG00000010741
carlito_syrichta ENSTSYG00000028555
prolemur_simus ENSPSMG00000007233
microcebus_murinus ENSMICG00000003017
propithecus_coquereli ENSPCOG00000017069
otolemur_garnettii ENSOGAG00000014032
pteropus_vampyrus ENSPVAG00000008855
myotis_lucifugus ENSMLUG00000005733
ursus_maritimus ENSUMAG00000002712
ailuropoda_melanoleuca ENSAMEG00000005961
mustela_putorius_furo ENSMPUG00000013520
neovison_vison ENSNVIG00000004051
canis_lupus_familiaris ENSCAFG00000017592
canis_lupus_dingo ENSCAFG00020023945
vulpes_vulpes ENSVVUG00000004564
panthera_tigris_altaica ENSPTIG00000017200
panthera_pardus ENSPPRG00000003201
felis_catus ENSFCAG00000023950
bos_mutus ENSBMUG00000000126
bos_taurus ENSBTAG00000044046
bison_bison_bison ENSBBBG00000011671
ovis_aries ENSOARG00000010512
capra_hircus ENSCHIG00000019457
tursiops_truncatus ENSTTRG00000005061
sus_scrofa ENSSSCG00000017063
equus_asinus_asinus ENSEASG00005000999
equus_caballus ENSECAG00000016277
choloepus_hoffmanni ENSCHOG00000012313
echinops_telfairi ENSETEG00000005262
procavia_capensis ENSPCAG00000004172
loxodonta_africana ENSLAFG00000015083
tupaia_belangeri ENSTBEG00000011729
dasypus_novemcinctus ENSDNOG00000017957
nothoprocta_perdicaria ENSNPEG00000005772
melopsittacus_undulatus ENSMUNG00000000897
pogona_vitticeps ENSPVIG00000005156
apteryx_owenii ENSAOWG00000010129
apteryx_haastii ENSAHAG00000002443
apteryx_rowi ENSARWG00000005114
lepidothrix_coronata ENSLCOG00000007934
gopherus_agassizii ENSGAGG00000007670
sphenodon_punctatus ENSSPUG00000011958
castor_canadensis ENSCCNG00000026964
jaculus_jaculus ENSJJAG00000023400
ursus_americanus ENSUAMG00000012542
sarcophilus_harrisii ENSSHAG00000011931
latimeria_chalumnae ENSLACG00000011430
pygocentrus_nattereri ENSPNAG00000018054
astyanax_mexicanus ENSAMXG00000006747
danio_rerio ENSDARG00000098573
esox_lucius ENSELUG00000010976
paramormyrops_kingsleyae ENSPKIG00000016982
scleropages_formosus ENSSFOG00015010716
paramormyrops_kingsleyae ENSPKIG00000009791
poecilia_formosa ENSPFOG00000011011
poecilia_latipinna ENSPLAG00000015929
poecilia_reticulata ENSPREG00000013126
xiphophorus_maculatus ENSXMAG00000027998
xiphophorus_couchianus ENSXCOG00000018812
gambusia_affinis ENSGAFG00000011454
fundulus_heteroclitus ENSFHEG00000016373
cyprinodon_variegatus ENSCVAG00000022981
kryptolebias_marmoratus ENSKMAG00000003626
oryzias_latipes_asm223469v1 ENSORLG00015013711
oryzias_latipes ENSORLG00000027216
oryzias_melastigma ENSOMEG00000023147
maylandia_zebra ENSMZEG00005012024
pundamilia_nyererei ENSPNYG00000013412
neolamprologus_brichardi ENSNBRG00000015137
scophthalmus_maximus ENSSMAG00000013832
cynoglossus_semilaevis ENSCSEG00000020506
hippocampus_comes ENSHCOG00000019059
monopterus_albus ENSMALG00000021407
acanthochromis_polyacanthus ENSAPOG00000009874
amphiprion_ocellaris ENSAOCG00000015517
amphilophus_citrinellus ENSACIG00000018959
gasterosteus_aculeatus ENSGACG00000020815
tetraodon_nigroviridis ENSTNIG00000007622
periophthalmus_magnuspinnatus ENSPMGG00000007126
mastacembelus_armatus ENSMAMG00000021848
takifugu_rubripes ENSTRUG00000025659
tetraodon_nigroviridis ENSTNIG00000007623
mola_mola ENSMMOG00000013412
amphiprion_percula ENSAPEG00000006370
anabas_testudineus ENSATEG00000013965
seriola_lalandi_dorsalis ENSSLDG00000010850
seriola_dumerili ENSSDUG00000000130
astatotilapia_calliptera ENSACLG00000025055
haplochromis_burtoni ENSHBUG00000013681
stegastes_partitus ENSSPAG00000007663
tetraodon_nigroviridis ENSTNIG00000002068
acanthochromis_polyacanthus ENSAPOG00000020096
periophthalmus_magnuspinnatus ENSPMGG00000001429
poecilia_mexicana ENSPMEG00000001501
labrus_bergylta ENSLBEG00000019402
labrus_bergylta ENSLBEG00000000671
ictalurus_punctatus ENSIPUG00000006316
