tetraodon_nigroviridis ENSTNIG00000008829
takifugu_rubripes ENSTRUG00000007265
mola_mola ENSMMOG00000010752
labrus_bergylta ENSLBEG00000006397
gasterosteus_aculeatus ENSGACG00000000483
hippocampus_comes ENSHCOG00000007237
seriola_dumerili ENSSDUG00000003625
seriola_lalandi_dorsalis ENSSLDG00000004667
scophthalmus_maximus ENSSMAG00000000369
mastacembelus_armatus ENSMAMG00000012362
monopterus_albus ENSMALG00000010041
anabas_testudineus ENSATEG00000005977
cynoglossus_semilaevis ENSCSEG00000000340
fundulus_heteroclitus ENSFHEG00000009213
cyprinodon_variegatus ENSCVAG00000011167
xiphophorus_couchianus ENSXCOG00000006647
xiphophorus_couchianus ENSXCOG00000005515
xiphophorus_maculatus ENSXMAG00000011966
gambusia_affinis ENSGAFG00000006485
poecilia_formosa ENSPFOG00000012280
poecilia_latipinna ENSPLAG00000008183
poecilia_mexicana ENSPMEG00000020492
poecilia_reticulata ENSPREG00000000819
kryptolebias_marmoratus ENSKMAG00000021218
oryzias_latipes ENSORLG00000015570
oryzias_latipes_asm223469v1 ENSORLG00015002783
oryzias_latipes ENSORLG00020012439
oryzias_melastigma ENSOMEG00000020188
amphiprion_ocellaris ENSAOCG00000005464
amphiprion_percula ENSAPEG00000006014
acanthochromis_polyacanthus ENSAPOG00000007516
amphiprion_ocellaris ENSAOCG00000014781
acanthochromis_polyacanthus ENSAPOG00000006660
stegastes_partitus ENSSPAG00000011892
maylandia_zebra ENSMZEG00005000123
astatotilapia_calliptera ENSACLG00000000692
haplochromis_burtoni ENSHBUG00000018683
pundamilia_nyererei ENSPNYG00000007118
oreochromis_niloticus ENSONIG00000010726
neolamprologus_brichardi ENSNBRG00000016653
amphilophus_citrinellus ENSACIG00000015174
periophthalmus_magnuspinnatus ENSPMGG00000001986
gadus_morhua ENSGMOG00000004227
esox_lucius ENSELUG00000013508
astyanax_mexicanus ENSAMXG00000000982
pygocentrus_nattereri ENSPNAG00000021807
ictalurus_punctatus ENSIPUG00000006196
danio_rerio ENSDARG00000068763
scleropages_formosus ENSSFOG00015023087
scleropages_formosus ENSSFOG00015023185
paramormyrops_kingsleyae ENSPKIG00000004194
lepisosteus_oculatus ENSLOCG00000002618
anolis_carolinensis ENSACAG00000009200
pogona_vitticeps ENSPVIG00000013235
notechis_scutatus ENSNSUG00000010437
salvator_merianae ENSSMRG00000011598
sphenodon_punctatus ENSSPUG00000008391
apteryx_owenii ENSAOWG00000006070
apteryx_haastii ENSAHAG00000016933
apteryx_rowi ENSARWG00000015752
dromaius_novaehollandiae ENSDNVG00000012462
nothoprocta_perdicaria ENSNPEG00000000479
manacus_vitellinus ENSMVIG00005012860
lepidothrix_coronata ENSLCOG00000014634
zonotrichia_albicollis ENSZALG00000013399
junco_hyemalis ENSJHYG00000003834
serinus_canaria ENSSCAG00000006629
taeniopygia_guttata ENSTGUG00000004405
lonchura_striata_domestica ENSLSDG00000015993
ficedula_albicollis ENSFALG00000006754
parus_major ENSPMJG00000013982
cyanistes_caeruleus ENSCCEG00000007824
melopsittacus_undulatus ENSMUNG00000014703
calidris_pugnax ENSCPUG00000008674
calidris_pygmaea ENSCPGG00000017303
anser_brachyrhynchus ENSABRG00000014068
anas_platyrhynchos_platyrhynchos ENSAPLG00000010652
gallus_gallus ENSGALG00000033507
meleagris_gallopavo ENSMGAG00000006882
coturnix_japonica ENSCJPG00005014704
numida_meleagris ENSNMEG00000018755
crocodylus_porosus ENSCPRG00005006038
gopherus_agassizii ENSGAGG00000008520
chelonoidis_abingdonii ENSCABG00000016350
chrysemys_picta_bellii ENSCPBG00000023944
pelodiscus_sinensis ENSPSIG00000003341
phascolarctos_cinereus ENSPCIG00000015304
notamacropus_eugenii ENSMEUG00000006811
sarcophilus_harrisii ENSSHAG00000011637
monodelphis_domestica ENSMODG00000015196
ornithorhynchus_anatinus ENSOANG00000032009
loxodonta_africana ENSLAFG00000001815
procavia_capensis ENSPCAG00000014438
echinops_telfairi ENSETEG00000015351
dasypus_novemcinctus ENSDNOG00000001166
choloepus_hoffmanni ENSCHOG00000004282
capra_hircus ENSCHIG00000017356
ovis_aries ENSOARG00000008988
bos_taurus ENSBTAG00000002103
bos_mutus ENSBMUG00000020529
bison_bison_bison ENSBBBG00000004928
tursiops_truncatus ENSTTRG00000006798
sus_scrofa ENSSSCG00000002688
vicugna_pacos ENSVPAG00000000730
equus_caballus ENSECAG00000000291
equus_asinus_asinus ENSEASG00005013661
ursus_americanus ENSUAMG00000006714
ursus_maritimus ENSUMAG00000015261
ailuropoda_melanoleuca ENSAMEG00000014051
neovison_vison ENSNVIG00000020392
mustela_putorius_furo ENSMPUG00000009243
vulpes_vulpes ENSVVUG00000005673
vulpes_vulpes ENSVVUG00000026971
canis_lupus_familiaris ENSCAFG00000019989
canis_lupus_dingo ENSCAFG00020002593
panthera_tigris_altaica ENSPTIG00000006583
panthera_pardus ENSPPRG00000011326
felis_catus ENSFCAG00000004987
myotis_lucifugus ENSMLUG00000014908
pteropus_vampyrus ENSPVAG00000016194
erinaceus_europaeus ENSEEUG00000009326
pan_troglodytes ENSPTRG00000008395
pan_paniscus ENSPPAG00000039636
homo_sapiens ENSG00000197943
gorilla_gorilla ENSGGOG00000017132
pongo_abelii ENSPPYG00000007589
nomascus_leucogenys ENSNLEG00000010678
piliocolobus_tephrosceles ENSPTEG00000011365
colobus_angolensis_palliatus ENSCANG00000007665
rhinopithecus_roxellana ENSRROG00000045090
rhinopithecus_bieti ENSRBIG00000030632
macaca_fascicularis ENSMFAG00000042565
macaca_mulatta ENSMMUG00000005334
macaca_nemestrina ENSMNEG00000014560
mandrillus_leucophaeus ENSMLEG00000036172
cercocebus_atys ENSCATG00000033923
theropithecus_gelada ENSTGEG00000016961
papio_anubis ENSPANG00000021730
chlorocebus_sabaeus ENSCSAG00000003427
cebus_capucinus ENSCCAG00000020986
saimiri_boliviensis_boliviensis ENSSBOG00000026469
callithrix_jacchus ENSCJAG00000016515
aotus_nancymaae ENSANAG00000025033
carlito_syrichta ENSTSYG00000014024
prolemur_simus ENSPSMG00000006135
propithecus_coquereli ENSPCOG00000017491
microcebus_murinus ENSMICG00000015143
otolemur_garnettii ENSOGAG00000006986
tupaia_belangeri ENSTBEG00000012518
mus_spicilegus ENSMSIG00000021222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032728
mus_musculus ENSMUSG00000034330
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031610
mus_pahari MGP_PahariEiJ_G0023208
rattus_norvegicus ENSRNOG00000051986
meriones_unguiculatus ENSMUGG00000019386
cricetulus_griseus_chok1gshd ENSCGRG00001019941
cricetulus_griseus_crigri ENSCGRG00000014884
cricetulus_griseus_crigri-picr ENSCGRG00015023432
mesocricetus_auratus ENSMAUG00000007620
microtus_ochrogaster ENSMOCG00000014818
peromyscus_maniculatus_bairdii ENSPEMG00000018570
nannospalax_galili ENSNGAG00000008238
jaculus_jaculus ENSJJAG00000021562
castor_canadensis ENSCCNG00000029033
cavia_porcellus ENSCPOG00000002213
cavia_aperea ENSCAPG00000006075
chinchilla_lanigera ENSCLAG00000000592
octodon_degus ENSODEG00000014144
heterocephalus_glaber_female ENSHGLG00000014242
heterocephalus_glaber_male ENSHGLG00100009059
fukomys_damarensis ENSFDAG00000010425
urocitellus_parryii ENSUPAG00010008607
ictidomys_tridecemlineatus ENSSTOG00000005756
spermophilus_dauricus ENSSDAG00000002612
marmota_marmota_marmota ENSMMMG00000012131
oryctolagus_cuniculus ENSOCUG00000013105
ochotona_princeps ENSOPRG00000003571
dipodomys_ordii ENSDORG00000016026
ornithorhynchus_anatinus ENSOANG00000011330
latimeria_chalumnae ENSLACG00000000723
ornithorhynchus_anatinus ENSOANG00000029498
xenopus_tropicalis ENSXETG00000003578
eptatretus_burgeri ENSEBUG00000001982
danio_rerio ENSDARG00000092862
petromyzon_marinus ENSPMAG00000008568
