ciona_savignyi ENSCSAVG00000001638
ciona_intestinalis ENSCING00000021957
ciona_intestinalis ENSCING00000001994
apteryx_rowi ENSARWG00000004073
apteryx_haastii ENSAHAG00000014251
apteryx_owenii ENSAOWG00000001667
nothoprocta_perdicaria ENSNPEG00000008862
dromaius_novaehollandiae ENSDNVG00000007297
lepidothrix_coronata ENSLCOG00000013794
manacus_vitellinus ENSMVIG00005014271
taeniopygia_guttata ENSTGUG00000003686
lonchura_striata_domestica ENSLSDG00000008467
zonotrichia_albicollis ENSZALG00000001659
junco_hyemalis ENSJHYG00000008979
parus_major ENSPMJG00000007484
serinus_canaria ENSSCAG00000000378
cyanistes_caeruleus ENSCCEG00000008954
ficedula_albicollis ENSFALG00000009139
melopsittacus_undulatus ENSMUNG00000000745
calidris_pygmaea ENSCPGG00000000468
calidris_pugnax ENSCPUG00000010391
meleagris_gallopavo ENSMGAG00000011199
gallus_gallus ENSGALG00000011488
numida_meleagris ENSNMEG00000010118
coturnix_japonica ENSCJPG00005012829
anser_brachyrhynchus ENSABRG00000003857
anas_platyrhynchos_platyrhynchos ENSAPLG00000010014
crocodylus_porosus ENSCPRG00005004839
gopherus_agassizii ENSGAGG00000011803
chelonoidis_abingdonii ENSCABG00000016806
chrysemys_picta_bellii ENSCPBG00000022717
pelodiscus_sinensis ENSPSIG00000004739
pogona_vitticeps ENSPVIG00000005498
notechis_scutatus ENSNSUG00000001022
salvator_merianae ENSSMRG00000010459
sphenodon_punctatus ENSSPUG00000001950
phascolarctos_cinereus ENSPCIG00000026140
notamacropus_eugenii ENSMEUG00000013089
sarcophilus_harrisii ENSSHAG00000016837
monodelphis_domestica ENSMODG00000028857
pongo_abelii ENSPPYG00000014041
nomascus_leucogenys ENSNLEG00000027296
aotus_nancymaae ENSANAG00000027747
aotus_nancymaae ENSANAG00000031938
cebus_capucinus ENSCCAG00000021122
callithrix_jacchus ENSCJAG00000043564
pan_paniscus ENSPPAG00000034531
pan_troglodytes ENSPTRG00000014719
homo_sapiens ENSG00000153551
rhinopithecus_bieti ENSRBIG00000041380
rhinopithecus_roxellana ENSRROG00000040529
colobus_angolensis_palliatus ENSCANG00000029731
piliocolobus_tephrosceles ENSPTEG00000031460
macaca_fascicularis ENSMFAG00000031701
macaca_mulatta ENSMMUG00000009931
macaca_nemestrina ENSMNEG00000045324
papio_anubis ENSPANG00000006660
theropithecus_gelada ENSTGEG00000021114
cercocebus_atys ENSCATG00000014394
ochotona_princeps ENSOPRG00000004830
propithecus_coquereli ENSPCOG00000015871
prolemur_simus ENSPSMG00000024733
pteropus_vampyrus ENSPVAG00000013529
chinchilla_lanigera ENSCLAG00000015304
octodon_degus ENSODEG00000005718
cavia_porcellus ENSCPOG00000013148
cavia_aperea ENSCAPG00000017210
heterocephalus_glaber_male ENSHGLG00100009898
heterocephalus_glaber_female ENSHGLG00000001487
fukomys_damarensis ENSFDAG00000014115
ictidomys_tridecemlineatus ENSSTOG00000012595
marmota_marmota_marmota ENSMMMG00000013916
urocitellus_parryii ENSUPAG00010002624
dipodomys_ordii ENSDORG00000027216
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033923
mus_spicilegus ENSMSIG00000002432
mus_musculus ENSMUSG00000032436
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032776
mus_pahari MGP_PahariEiJ_G0015643
rattus_norvegicus ENSRNOG00000010986
meriones_unguiculatus ENSMUGG00000008793
cricetulus_griseus_chok1gshd ENSCGRG00001017140
cricetulus_griseus_crigri ENSCGRG00000012548
cricetulus_griseus_crigri-picr ENSCGRG00015007235
mesocricetus_auratus ENSMAUG00000021569
microtus_ochrogaster ENSMOCG00000008730
microtus_ochrogaster ENSMOCG00000001564
peromyscus_maniculatus_bairdii ENSPEMG00000019836
nannospalax_galili ENSNGAG00000021246
jaculus_jaculus ENSJJAG00000007568
tupaia_belangeri ENSTBEG00000016012
microcebus_murinus ENSMICG00000049542
equus_caballus ENSECAG00000036991
equus_asinus_asinus ENSEASG00005006180
myotis_lucifugus ENSMLUG00000012799
myotis_lucifugus ENSMLUG00000023412
canis_lupus_dingo ENSCAFG00020025204
canis_lupus_familiaris ENSCAFG00000005397
vulpes_vulpes ENSVVUG00000004948
ursus_maritimus ENSUMAG00000001673
ursus_americanus ENSUAMG00000027928
ailuropoda_melanoleuca ENSAMEG00000012381
mustela_putorius_furo ENSMPUG00000011905
neovison_vison ENSNVIG00000010791
panthera_pardus ENSPPRG00000006719
panthera_tigris_altaica ENSPTIG00000011721
felis_catus ENSFCAG00000007912
erinaceus_europaeus ENSEEUG00000014290
sorex_araneus ENSSARG00000007885
capra_hircus ENSCHIG00000022116
ovis_aries ENSOARG00000015080
bos_mutus ENSBMUG00000012264
bos_taurus ENSBTAG00000001712
bison_bison_bison ENSBBBG00000018392
tursiops_truncatus ENSTTRG00000012552
sus_scrofa ENSSSCG00000011234
sus_scrofa ENSSSCG00000040127
loxodonta_africana ENSLAFG00000016543
procavia_capensis ENSPCAG00000008559
echinops_telfairi ENSETEG00000005995
mandrillus_leucophaeus ENSMLEG00000044447
chlorocebus_sabaeus ENSCSAG00000009595
gorilla_gorilla ENSGGOG00000000777
saimiri_boliviensis_boliviensis ENSSBOG00000025858
carlito_syrichta ENSTSYG00000010189
otolemur_garnettii ENSOGAG00000005726
dasypus_novemcinctus ENSDNOG00000042517
ornithorhynchus_anatinus ENSOANG00000020078
xenopus_tropicalis ENSXETG00000024916
latimeria_chalumnae ENSLACG00000013467
astyanax_mexicanus ENSAMXG00000043958
pygocentrus_nattereri ENSPNAG00000021786
ictalurus_punctatus ENSIPUG00000008450
danio_rerio ENSDARG00000010032
paramormyrops_kingsleyae ENSPKIG00000023762
mola_mola ENSMMOG00000010812
tetraodon_nigroviridis ENSTNIG00000000085
cynoglossus_semilaevis ENSCSEG00000001212
monopterus_albus ENSMALG00000003739
mastacembelus_armatus ENSMAMG00000017778
anabas_testudineus ENSATEG00000018812
maylandia_zebra ENSMZEG00005017281
pundamilia_nyererei ENSPNYG00000015615
astatotilapia_calliptera ENSACLG00000013672
haplochromis_burtoni ENSHBUG00000014356
oreochromis_niloticus ENSONIG00000001989
neolamprologus_brichardi ENSNBRG00000007128
amphilophus_citrinellus ENSACIG00000017784
amphiprion_percula ENSAPEG00000020029
amphiprion_ocellaris ENSAOCG00000002734
acanthochromis_polyacanthus ENSAPOG00000005257
seriola_dumerili ENSSDUG00000020597
seriola_lalandi_dorsalis ENSSLDG00000016436
gasterosteus_aculeatus ENSGACG00000000919
fundulus_heteroclitus ENSFHEG00000018984
cyprinodon_variegatus ENSCVAG00000010708
xiphophorus_maculatus ENSXMAG00000023245
xiphophorus_couchianus ENSXCOG00000010631
poecilia_mexicana ENSPMEG00000014936
poecilia_formosa ENSPFOG00000019053
poecilia_latipinna ENSPLAG00000019313
poecilia_reticulata ENSPREG00000014382
gambusia_affinis ENSGAFG00000007474
oryzias_latipes_asm223469v1 ENSORLG00015015738
oryzias_latipes ENSORLG00020009724
oryzias_latipes ENSORLG00000028763
oryzias_melastigma ENSOMEG00000005687
labrus_bergylta ENSLBEG00000014233
kryptolebias_marmoratus ENSKMAG00000008888
scophthalmus_maximus ENSSMAG00000017944
hippocampus_comes ENSHCOG00000012654
