mustela_putorius_furo ENSMPUG00000008519
neovison_vison ENSNVIG00000004482
panthera_pardus ENSPPRG00000015158
panthera_tigris_altaica ENSPTIG00000017286
felis_catus ENSFCAG00000041116
sorex_araneus ENSSARG00000009258
tursiops_truncatus ENSTTRG00000015068
sus_scrofa ENSSSCG00000024634
bos_mutus ENSBMUG00000025399
bos_taurus ENSBTAG00000050197
bison_bison_bison ENSBBBG00000010463
canis_lupus_dingo ENSCAFG00020013845
vulpes_vulpes ENSVVUG00000025609
ailuropoda_melanoleuca ENSAMEG00000009790
ovis_aries ENSOARG00000010420
pteropus_vampyrus ENSPVAG00000004635
pan_paniscus ENSPPAG00000042583
pan_troglodytes ENSPTRG00000002692
homo_sapiens ENSG00000188373
gorilla_gorilla ENSGGOG00000012510
pongo_abelii ENSPPYG00000002279
nomascus_leucogenys ENSNLEG00000010905
macaca_nemestrina ENSMNEG00000042767
macaca_fascicularis ENSMFAG00000043609
cercocebus_atys ENSCATG00000013387
theropithecus_gelada ENSTGEG00000016230
chlorocebus_sabaeus ENSCSAG00000009520
papio_anubis ENSPANG00000022604
mandrillus_leucophaeus ENSMLEG00000029272
piliocolobus_tephrosceles ENSPTEG00000001119
colobus_angolensis_palliatus ENSCANG00000011614
rhinopithecus_roxellana ENSRROG00000007847
rhinopithecus_bieti ENSRBIG00000015067
cebus_capucinus ENSCCAG00000033683
saimiri_boliviensis_boliviensis ENSSBOG00000011068
callithrix_jacchus ENSCJAG00000042274
aotus_nancymaae ENSANAG00000032797
carlito_syrichta ENSTSYG00000008942
propithecus_coquereli ENSPCOG00000002691
microcebus_murinus ENSMICG00000043452
prolemur_simus ENSPSMG00000005352
castor_canadensis ENSCCNG00000007707
dipodomys_ordii ENSDORG00000001112
mus_musculus ENSMUSG00000096001
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020020
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019134
mus_pahari MGP_PahariEiJ_G0030150
rattus_norvegicus ENSRNOG00000043342
meriones_unguiculatus ENSMUGG00000021960
peromyscus_maniculatus_bairdii ENSPEMG00000031307
microtus_ochrogaster ENSMOCG00000022126
cricetulus_griseus_crigri-picr ENSCGRG00015017756
cricetulus_griseus_chok1gshd ENSCGRG00001000757
cricetulus_griseus_crigri ENSCGRG00000004812
mesocricetus_auratus ENSMAUG00000001766
nannospalax_galili ENSNGAG00000010680
marmota_marmota_marmota ENSMMMG00000011077
ictidomys_tridecemlineatus ENSSTOG00000034298
spermophilus_dauricus ENSSDAG00000013503
heterocephalus_glaber_male ENSHGLG00100014897
heterocephalus_glaber_female ENSHGLG00000011983
fukomys_damarensis ENSFDAG00000001330
