sus_scrofa ENSSSCG00000030832
mustela_putorius_furo ENSMPUG00000010894
nannospalax_galili ENSNGAG00000000671
saimiri_boliviensis_boliviensis ENSSBOG00000014336
heterocephalus_glaber_male ENSHGLG00100016674
marmota_marmota_marmota ENSMMMG00000022361
phascolarctos_cinereus ENSPCIG00000030933
canis_lupus_dingo ENSCAFG00020024586
canis_lupus_familiaris ENSCAFG00000031648
canis_lupus_familiaris ENSCAFG00000029777
canis_lupus_familiaris ENSCAFG00000010433
vulpes_vulpes ENSVVUG00000011255
canis_lupus_dingo ENSCAFG00020014666
ailuropoda_melanoleuca ENSAMEG00000014921
sorex_araneus ENSSARG00000000708
octodon_degus ENSODEG00000001762
jaculus_jaculus ENSJJAG00000011995
oryctolagus_cuniculus ENSOCUG00000026973
aotus_nancymaae ENSANAG00000020636
aotus_nancymaae ENSANAG00000020947
saimiri_boliviensis_boliviensis ENSSBOG00000031486
cebus_capucinus ENSCCAG00000021759
pan_troglodytes ENSPTRG00000044985
pan_paniscus ENSPPAG00000038276
gorilla_gorilla ENSGGOG00000015696
nomascus_leucogenys ENSNLEG00000027895
choloepus_hoffmanni ENSCHOG00000000848
procavia_capensis ENSPCAG00000010484
echinops_telfairi ENSETEG00000005212
monodelphis_domestica ENSMODG00000024451
vulpes_vulpes ENSVVUG00000030379
myotis_lucifugus ENSMLUG00000028790
sorex_araneus ENSSARG00000011792
colobus_angolensis_palliatus ENSCANG00000031478
piliocolobus_tephrosceles ENSPTEG00000034860
rhinopithecus_roxellana ENSRROG00000042563
rhinopithecus_bieti ENSRBIG00000018369
papio_anubis ENSPANG00000020605
theropithecus_gelada ENSTGEG00000018367
mandrillus_leucophaeus ENSMLEG00000038784
macaca_mulatta ENSMMUG00000040867
macaca_nemestrina ENSMNEG00000010693
macaca_fascicularis ENSMFAG00000009760
monodelphis_domestica ENSMODG00000013804
urocitellus_parryii ENSUPAG00010000549
urocitellus_parryii ENSUPAG00010009582
piliocolobus_tephrosceles ENSPTEG00000031953
canis_lupus_dingo ENSCAFG00020015115
poecilia_latipinna ENSPLAG00000014863
poecilia_mexicana ENSPMEG00000006092
pygocentrus_nattereri ENSPNAG00000025463
