propithecus_coquereli ENSPCOG00000017766
microcebus_murinus ENSMICG00000042503
colobus_angolensis ENSCANG00000034984
piliocolobus_tephrosceles ENSPTEG00000020957
macaca_mulatta ENSMMUG00000056983
macaca_nemestrina ENSMNEG00000036828
mandrillus_leucophaeus ENSMLEG00000037262
cercocebus_atys ENSCATG00000042940
pan_troglodytes ENSPTRG00000018896
homo_sapiens ENSG00000122543
pongo_abelii ENSPPYG00000017340
homo_sapiens ENSG00000135175
pan_troglodytes ENSPTRG00000019432
dasypus_novemcinctus ENSDNOG00000007139
echinops_telfairi ENSETEG00000011129
theropithecus_gelada ENSTGEG00000011189
papio_anubis ENSPANG00000033390
colobus_angolensis ENSCANG00000035526
gorilla_gorilla ENSGGOG00000009068
gorilla_gorilla ENSGGOG00000022595
aotus_nancymaae ENSANAG00000024814
carlito_syrichta ENSTSYG00000009390
otolemur_garnettii ENSOGAG00000007674
cebus_capucinus ENSCCAG00000027694
saimiri_boliviensis ENSSBOG00000021103
macaca_mulatta ENSMMUG00000049706
macaca_fascicularis ENSMFAG00000042673
castor_canadensis ENSCCNG00000003986
myotis_lucifugus ENSMLUG00000009432
erinaceus_europaeus ENSEEUG00000006188
jaculus_jaculus ENSJJAG00000018779
mesocricetus_auratus ENSMAUG00000016041
dipodomys_ordii ENSDORG00000012852
spermophilus_dauricus ENSSDAG00000019376
heterocephalus_glaber ENSHGLG00100005480
oryctolagus_cuniculus ENSOCUG00000007419
sorex_araneus ENSSARG00000001886
cavia_aperea ENSCAPG00000014233
octodon_degus ENSODEG00000011077
nannospalax_galili ENSNGAG00000008617
pan_troglodytes ENSPTRG00000049686
pan_troglodytes ENSPTRG00000043094
pongo_abelii ENSPPYG00000018277
theropithecus_gelada ENSTGEG00000011230
macaca_fascicularis ENSMFAG00000036278
callithrix_jacchus ENSCJAG00000015258
prolemur_simus ENSPSMG00000003348
capra_hircus ENSCHIG00000026637
ovis_aries ENSOARG00000001002
bos_taurus ENSBTAG00000046943
sus_scrofa ENSSSCG00000007596
canis_lupus ENSCAFG00020016892
ailuropoda_melanoleuca ENSAMEG00000008965
equus_asinus ENSEASG00005000807
pteropus_vampyrus ENSPVAG00000010917
fukomys_damarensis ENSFDAG00000002420
chinchilla_lanigera ENSCLAG00000007617
cavia_porcellus ENSCPOG00000011911
ictidomys_tridecemlineatus ENSSTOG00000010731
marmota_marmota ENSMMMG00000006340
urocitellus_parryii ENSUPAG00010006809
cricetulus_griseus ENSCGRG00015014792
cricetulus_griseus ENSCGRG00000010316
cricetulus_griseus ENSCGRG00001020230
microtus_ochrogaster ENSMOCG00000005057
peromyscus_maniculatus ENSPEMG00000023404
mus_musculus ENSMUSG00000029618
mus_spretus MGP_SPRETEiJ_G0028997
mus_spicilegus ENSMSIG00000029288
mus_caroli MGP_CAROLIEiJ_G0027994
mus_pahari MGP_PahariEiJ_G0024565
rattus_norvegicus ENSRNOG00000001031
meriones_unguiculatus ENSMUGG00000000442
ochotona_princeps ENSOPRG00000005230
heterocephalus_glaber ENSHGLG00000009254
panthera_tigris ENSPTIG00000009441
panthera_pardus ENSPPRG00000001866
felis_catus ENSFCAG00000000313
pteropus_vampyrus ENSPVAG00000010089
bos_indicus ENSBIXG00005015523
bos_indicus ENSBIXG00000014550
bos_mutus ENSBMUG00000014529
bison_bison ENSBBBG00000010109
tursiops_truncatus ENSTTRG00000005274
vicugna_pacos ENSVPAG00000011090
neovison_vison ENSNVIG00000006417
mustela_putorius ENSMPUG00000016568
vulpes_vulpes ENSVVUG00000015131
canis_lupus ENSCAFG00000015446
ursus_maritimus ENSUMAG00000009054
ursus_americanus ENSUAMG00000018834
equus_caballus ENSECAG00000000243
choloepus_hoffmanni ENSCHOG00000002573
loxodonta_africana ENSLAFG00000027808
papio_anubis ENSPANG00000009446
vombatus_ursinus ENSVURG00010017631
