heterocephalus_glaber_female ENSHGLG00000002335
heterocephalus_glaber_male ENSHGLG00100009272
fukomys_damarensis ENSFDAG00000016844
octodon_degus ENSODEG00000014014
chinchilla_lanigera ENSCLAG00000008936
ictidomys_tridecemlineatus ENSSTOG00000012551
urocitellus_parryii ENSUPAG00010020527
marmota_marmota_marmota ENSMMMG00000003555
spermophilus_dauricus ENSSDAG00000019814
castor_canadensis ENSCCNG00000009599
dipodomys_ordii ENSDORG00000023838
cricetulus_griseus_crigri ENSCGRG00000002934
cricetulus_griseus_chok1gshd ENSCGRG00001014315
cricetulus_griseus_crigri-picr ENSCGRG00015028679
mesocricetus_auratus ENSMAUG00000016196
microtus_ochrogaster ENSMOCG00000016249
peromyscus_maniculatus_bairdii ENSPEMG00000026440
mus_spicilegus ENSMSIG00000010506
mus_musculus ENSMUSG00000001657
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021261
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020368
mus_pahari MGP_PahariEiJ_G0020367
rattus_norvegicus ENSRNOG00000028619
meriones_unguiculatus ENSMUGG00000013005
nannospalax_galili ENSNGAG00000012817
jaculus_jaculus ENSJJAG00000011647
propithecus_coquereli ENSPCOG00000014957
microcebus_murinus ENSMICG00000046543
prolemur_simus ENSPSMG00000017050
otolemur_garnettii ENSOGAG00000003619
pan_paniscus ENSPPAG00000033394
pan_troglodytes ENSPTRG00000005030
homo_sapiens ENSG00000037965
gorilla_gorilla ENSGGOG00000006289
pongo_abelii ENSPPYG00000004593
nomascus_leucogenys ENSNLEG00000017677
macaca_nemestrina ENSMNEG00000039027
macaca_fascicularis ENSMFAG00000002443
papio_anubis ENSPANG00000003389
mandrillus_leucophaeus ENSMLEG00000001814
theropithecus_gelada ENSTGEG00000009807
cercocebus_atys ENSCATG00000043163
chlorocebus_sabaeus ENSCSAG00000005451
piliocolobus_tephrosceles ENSPTEG00000036000
colobus_angolensis_palliatus ENSCANG00000037939
rhinopithecus_bieti ENSRBIG00000035303
