mastacembelus_armatus ENSMAMG00000000116
monopterus_albus ENSMALG00000001895
anabas_testudineus ENSATEG00000019029
seriola_dumerili ENSSDUG00000003513
seriola_lalandi_dorsalis ENSSLDG00000009596
scophthalmus_maximus ENSSMAG00000008423
labrus_bergylta ENSLBEG00000003216
gasterosteus_aculeatus ENSGACG00000004987
tetraodon_nigroviridis ENSTNIG00000010539
takifugu_rubripes ENSTRUG00000009418
mola_mola ENSMMOG00000021384
poecilia_formosa ENSPFOG00000008206
poecilia_latipinna ENSPLAG00000018662
poecilia_mexicana ENSPMEG00000015680
poecilia_reticulata ENSPREG00000007400
xiphophorus_maculatus ENSXMAG00000014542
gambusia_affinis ENSGAFG00000017621
fundulus_heteroclitus ENSFHEG00000011286
cyprinodon_variegatus ENSCVAG00000006442
kryptolebias_marmoratus ENSKMAG00000006845
maylandia_zebra ENSMZEG00005012134
haplochromis_burtoni ENSHBUG00000018443
astatotilapia_calliptera ENSACLG00000001591
pundamilia_nyererei ENSPNYG00000009420
neolamprologus_brichardi ENSNBRG00000005911
oreochromis_niloticus ENSONIG00000000456
amphilophus_citrinellus ENSACIG00000010417
amphiprion_percula ENSAPEG00000005971
amphiprion_ocellaris ENSAOCG00000012019
acanthochromis_polyacanthus ENSAPOG00000004855
stegastes_partitus ENSSPAG00000022539
cynoglossus_semilaevis ENSCSEG00000010694
oryzias_latipes ENSORLG00020009079
oryzias_latipes ENSORLG00000018166
oryzias_latipes_asm223469v1 ENSORLG00015006365
oryzias_melastigma ENSOMEG00000008274
hippocampus_comes ENSHCOG00000011898
xiphophorus_couchianus ENSXCOG00000004339
periophthalmus_magnuspinnatus ENSPMGG00000020136
gadus_morhua ENSGMOG00000013024
esox_lucius ENSELUG00000023651
pygocentrus_nattereri ENSPNAG00000014611
astyanax_mexicanus ENSAMXG00000017071
ictalurus_punctatus ENSIPUG00000008555
danio_rerio ENSDARG00000008238
paramormyrops_kingsleyae ENSPKIG00000016493
scleropages_formosus ENSSFOG00015003322
lepisosteus_oculatus ENSLOCG00000012066
ornithorhynchus_anatinus ENSOANG00000020629
xenopus_tropicalis ENSXETG00000002247
phascolarctos_cinereus ENSPCIG00000012838
notamacropus_eugenii ENSMEUG00000003608
sarcophilus_harrisii ENSSHAG00000005018
monodelphis_domestica ENSMODG00000020669
castor_canadensis ENSCCNG00000015011
dipodomys_ordii ENSDORG00000006758
cricetulus_griseus_crigri-picr ENSCGRG00015007907
cricetulus_griseus_crigri ENSCGRG00000004633
cricetulus_griseus_chok1gshd ENSCGRG00001023079
mesocricetus_auratus ENSMAUG00000018036
peromyscus_maniculatus_bairdii ENSPEMG00000000324
microtus_ochrogaster ENSMOCG00000002981
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026614
mus_musculus ENSMUSG00000028164
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025660
mus_pahari MGP_PahariEiJ_G0027109
rattus_norvegicus ENSRNOG00000052247
meriones_unguiculatus ENSMUGG00000007867
nannospalax_galili ENSNGAG00000006379
jaculus_jaculus ENSJJAG00000012511
urocitellus_parryii ENSUPAG00010012416
ictidomys_tridecemlineatus ENSSTOG00000011457
spermophilus_dauricus ENSSDAG00000018114
marmota_marmota_marmota ENSMMMG00000008744
oryctolagus_cuniculus ENSOCUG00000010557
ochotona_princeps ENSOPRG00000000713
homo_sapiens ENSG00000109323
gorilla_gorilla ENSGGOG00000009746
pan_paniscus ENSPPAG00000029256
pan_troglodytes ENSPTRG00000016322
pongo_abelii ENSPPYG00000014966
nomascus_leucogenys ENSNLEG00000026731
rhinopithecus_bieti ENSRBIG00000032492
rhinopithecus_roxellana ENSRROG00000032191
colobus_angolensis_palliatus ENSCANG00000034692
mandrillus_leucophaeus ENSMLEG00000036247
cercocebus_atys ENSCATG00000039280
papio_anubis ENSPANG00000016697
macaca_fascicularis ENSMFAG00000036571
macaca_mulatta ENSMMUG00000003739
macaca_nemestrina ENSMNEG00000040770
chlorocebus_sabaeus ENSCSAG00000004046
theropithecus_gelada ENSTGEG00000026664
piliocolobus_tephrosceles ENSPTEG00000036157
cebus_capucinus ENSCCAG00000028818
saimiri_boliviensis_boliviensis ENSSBOG00000030527
callithrix_jacchus ENSCJAG00000015423
aotus_nancymaae ENSANAG00000036079
carlito_syrichta ENSTSYG00000013314
propithecus_coquereli ENSPCOG00000028090
microcebus_murinus ENSMICG00000000840
prolemur_simus ENSPSMG00000015042
otolemur_garnettii ENSOGAG00000012852
heterocephalus_glaber_female ENSHGLG00000001813
heterocephalus_glaber_male ENSHGLG00100015802
fukomys_damarensis ENSFDAG00000014045
chinchilla_lanigera ENSCLAG00000002028
octodon_degus ENSODEG00000004246
cavia_aperea ENSCAPG00000009727
cavia_porcellus ENSCPOG00000007804
tupaia_belangeri ENSTBEG00000004079
pteropus_vampyrus ENSPVAG00000002726
myotis_lucifugus ENSMLUG00000005998
capra_hircus ENSCHIG00000020841
ovis_aries ENSOARG00000012289
bos_taurus ENSBTAG00000019761
bos_mutus ENSBMUG00000019566
bison_bison_bison ENSBBBG00000023174
tursiops_truncatus ENSTTRG00000016146
sus_scrofa ENSSSCG00000009166
vicugna_pacos ENSVPAG00000000282
ursus_americanus ENSUAMG00000017171
ursus_maritimus ENSUMAG00000005245
ailuropoda_melanoleuca ENSAMEG00000008948
neovison_vison ENSNVIG00000004945
mustela_putorius_furo ENSMPUG00000009400
canis_lupus_familiaris ENSCAFG00000010769
canis_lupus_dingo ENSCAFG00020001847
vulpes_vulpes ENSVVUG00000009165
panthera_pardus ENSPPRG00000002000
panthera_tigris_altaica ENSPTIG00000010981
felis_catus ENSFCAG00000007558
equus_asinus_asinus ENSEASG00005018529
equus_caballus ENSECAG00000021588
loxodonta_africana ENSLAFG00000009347
procavia_capensis ENSPCAG00000001180
echinops_telfairi ENSETEG00000007198
choloepus_hoffmanni ENSCHOG00000006910
dasypus_novemcinctus ENSDNOG00000044494
ornithorhynchus_anatinus ENSOANG00000021920
ornithorhynchus_anatinus ENSOANG00000032256
pogona_vitticeps ENSPVIG00000006472
notechis_scutatus ENSNSUG00000012631
salvator_merianae ENSSMRG00000014608
sphenodon_punctatus ENSSPUG00000011102
anser_brachyrhynchus ENSABRG00000008313
anas_platyrhynchos_platyrhynchos ENSAPLG00000014676
gallus_gallus ENSGALG00000012308
coturnix_japonica ENSCJPG00005007007
meleagris_gallopavo ENSMGAG00000011325
numida_meleagris ENSNMEG00000007812
calidris_pygmaea ENSCPGG00000003493
calidris_pugnax ENSCPUG00000017067
melopsittacus_undulatus ENSMUNG00000002269
zonotrichia_albicollis ENSZALG00000005605
junco_hyemalis ENSJHYG00000003579
serinus_canaria ENSSCAG00000013500
lonchura_striata_domestica ENSLSDG00000008074
taeniopygia_guttata ENSTGUG00000003629
cyanistes_caeruleus ENSCCEG00000011798
parus_major ENSPMJG00000009731
ficedula_albicollis ENSFALG00000008167
lepidothrix_coronata ENSLCOG00000001446
lepidothrix_coronata ENSLCOG00000002584
manacus_vitellinus ENSMVIG00005000028
apteryx_owenii ENSAOWG00000004748
apteryx_rowi ENSARWG00000017814
apteryx_haastii ENSAHAG00000014202
dromaius_novaehollandiae ENSDNVG00000007633
nothoprocta_perdicaria ENSNPEG00000002794
crocodylus_porosus ENSCPRG00005012002
gopherus_agassizii ENSGAGG00000000259
chelonoidis_abingdonii ENSCABG00000019405
chrysemys_picta_bellii ENSCPBG00000003184
pelodiscus_sinensis ENSPSIG00000007711
ornithorhynchus_anatinus ENSOANG00000028641
latimeria_chalumnae ENSLACG00000000617
petromyzon_marinus ENSPMAG00000006497
eptatretus_burgeri ENSEBUG00000011820
ciona_savignyi ENSCSAVG00000005656
ciona_intestinalis ENSCING00000018007
ciona_intestinalis ENSCING00000006740
drosophila_melanogaster FBgn0037215
caenorhabditis_elegans_strain_n2 WBGene00007904
