macaca_fascicularis ENSMFAG00000002398
macaca_nemestrina ENSMNEG00000038136
macaca_mulatta ENSMMUG00000001557
papio_anubis ENSPANG00000029229
theropithecus_gelada ENSTGEG00000025144
mandrillus_leucophaeus ENSMLEG00000039712
cercocebus_atys ENSCATG00000004695
chlorocebus_sabaeus ENSCSAG00000019555
piliocolobus_tephrosceles ENSPTEG00000022833
colobus_angolensis_palliatus ENSCANG00000041123
rhinopithecus_roxellana ENSRROG00000000297
pan_troglodytes ENSPTRG00000028304
pan_paniscus ENSPPAG00000008487
gorilla_gorilla ENSGGOG00000001615
homo_sapiens ENSG00000189132
pongo_abelii ENSPPYG00000020225
