tursiops_truncatus ENSTTRG00000014468
sus_scrofa ENSSSCG00000000704
bos_taurus ENSBTAG00000014728
bos_mutus ENSBMUG00000006543
bison_bison_bison ENSBBBG00000002403
ovis_aries ENSOARG00000008253
capra_hircus ENSCHIG00000016665
equus_caballus ENSECAG00000012920
equus_asinus_asinus ENSEASG00005016162
myotis_lucifugus ENSMLUG00000014300
pteropus_vampyrus ENSPVAG00000012563
ursus_americanus ENSUAMG00000022541
ursus_maritimus ENSUMAG00000007397
ailuropoda_melanoleuca ENSAMEG00000014448
neovison_vison ENSNVIG00000024679
mustela_putorius_furo ENSMPUG00000016907
canis_lupus_dingo ENSCAFG00020002854
canis_lupus_familiaris ENSCAFG00000015143
vulpes_vulpes ENSVVUG00000012035
panthera_pardus ENSPPRG00000022848
panthera_tigris_altaica ENSPTIG00000019354
felis_catus ENSFCAG00000006871
cricetulus_griseus_chok1gshd ENSCGRG00001020124
cricetulus_griseus_crigri ENSCGRG00000017554
cricetulus_griseus_crigri-picr ENSCGRG00015003751
mesocricetus_auratus ENSMAUG00000014351
peromyscus_maniculatus_bairdii ENSPEMG00000003668
microtus_ochrogaster ENSMOCG00000000244
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029918
mus_spicilegus ENSMSIG00000006978
mus_musculus ENSMUSG00000038213
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028875
mus_pahari MGP_PahariEiJ_G0022636
rattus_norvegicus ENSRNOG00000027552
meriones_unguiculatus ENSMUGG00000011850
nannospalax_galili ENSNGAG00000023020
jaculus_jaculus ENSJJAG00000019548
castor_canadensis ENSCCNG00000025243
urocitellus_parryii ENSUPAG00010013043
ictidomys_tridecemlineatus ENSSTOG00000007459
spermophilus_dauricus ENSSDAG00000015456
marmota_marmota_marmota ENSMMMG00000017876
chinchilla_lanigera ENSCLAG00000016184
octodon_degus ENSODEG00000004477
cavia_porcellus ENSCPOG00000008460
cavia_aperea ENSCAPG00000006557
heterocephalus_glaber_female ENSHGLG00000001831
heterocephalus_glaber_male ENSHGLG00100008061
fukomys_damarensis ENSFDAG00000011229
oryctolagus_cuniculus ENSOCUG00000008163
ochotona_princeps ENSOPRG00000012454
pan_paniscus ENSPPAG00000039890
pan_troglodytes ENSPTRG00000004573
homo_sapiens ENSG00000139192
gorilla_gorilla ENSGGOG00000004655
pongo_abelii ENSPPYG00000004186
nomascus_leucogenys ENSNLEG00000003709
papio_anubis ENSPANG00000017797
theropithecus_gelada ENSTGEG00000010334
mandrillus_leucophaeus ENSMLEG00000029420
cercocebus_atys ENSCATG00000045104
macaca_nemestrina ENSMNEG00000013053
macaca_mulatta ENSMMUG00000043109
macaca_fascicularis ENSMFAG00000035334
chlorocebus_sabaeus ENSCSAG00000010603
colobus_angolensis_palliatus ENSCANG00000007498
piliocolobus_tephrosceles ENSPTEG00000038602
rhinopithecus_bieti ENSRBIG00000043531
rhinopithecus_roxellana ENSRROG00000045610
saimiri_boliviensis_boliviensis ENSSBOG00000025031
cebus_capucinus ENSCCAG00000019333
callithrix_jacchus ENSCJAG00000000722
aotus_nancymaae ENSANAG00000017857
carlito_syrichta ENSTSYG00000000279
propithecus_coquereli ENSPCOG00000022121
prolemur_simus ENSPSMG00000017569
microcebus_murinus ENSMICG00000006498
otolemur_garnettii ENSOGAG00000012086
tupaia_belangeri ENSTBEG00000000670
loxodonta_africana ENSLAFG00000016109
procavia_capensis ENSPCAG00000009847
dasypus_novemcinctus ENSDNOG00000035668
erinaceus_europaeus ENSEEUG00000003143
phascolarctos_cinereus ENSPCIG00000025598
notamacropus_eugenii ENSMEUG00000015225
sarcophilus_harrisii ENSSHAG00000002996
ornithorhynchus_anatinus ENSOANG00000007602
chelonoidis_abingdonii ENSCABG00000015682
gopherus_agassizii ENSGAGG00000011429
chrysemys_picta_bellii ENSCPBG00000010960
pelodiscus_sinensis ENSPSIG00000006398
crocodylus_porosus ENSCPRG00005008048
apteryx_owenii ENSAOWG00000005685
apteryx_rowi ENSARWG00000008764
apteryx_haastii ENSAHAG00000011662
dromaius_novaehollandiae ENSDNVG00000015917
nothoprocta_perdicaria ENSNPEG00000008741
anser_brachyrhynchus ENSABRG00000012770
anas_platyrhynchos_platyrhynchos ENSAPLG00000013511
gallus_gallus ENSGALG00000014428
coturnix_japonica ENSCJPG00005016712
meleagris_gallopavo ENSMGAG00000014002
numida_meleagris ENSNMEG00000016911
calidris_pygmaea ENSCPGG00000006311
calidris_pugnax ENSCPUG00000005997
xenopus_tropicalis ENSXETG00000018958
latimeria_chalumnae ENSLACG00000005520
takifugu_rubripes ENSTRUG00000022920
tetraodon_nigroviridis ENSTNIG00000008037
mola_mola ENSMMOG00000015993
cynoglossus_semilaevis ENSCSEG00000019863
seriola_dumerili ENSSDUG00000011795
seriola_lalandi_dorsalis ENSSLDG00000023650
scophthalmus_maximus ENSSMAG00000011433
gasterosteus_aculeatus ENSGACG00000010169
labrus_bergylta ENSLBEG00000006703
monopterus_albus ENSMALG00000022488
mastacembelus_armatus ENSMAMG00000002334
anabas_testudineus ENSATEG00000021461
xiphophorus_couchianus ENSXCOG00000019282
xiphophorus_maculatus ENSXMAG00000011401
gambusia_affinis ENSGAFG00000014290
poecilia_formosa ENSPFOG00000013728
poecilia_latipinna ENSPLAG00000005683
poecilia_mexicana ENSPMEG00000016483
poecilia_reticulata ENSPREG00000011079
fundulus_heteroclitus ENSFHEG00000012942
cyprinodon_variegatus ENSCVAG00000001136
kryptolebias_marmoratus ENSKMAG00000007746
oryzias_latipes ENSORLG00020005075
oryzias_latipes ENSORLG00000012315
oryzias_latipes_asm223469v1 ENSORLG00015010951
oryzias_melastigma ENSOMEG00000013100
amphiprion_ocellaris ENSAOCG00000007853
amphiprion_ocellaris ENSAOCG00000017987
amphiprion_percula ENSAPEG00000006589
acanthochromis_polyacanthus ENSAPOG00000010358
stegastes_partitus ENSSPAG00000003857
haplochromis_burtoni ENSHBUG00000015520
maylandia_zebra ENSMZEG00005017663
pundamilia_nyererei ENSPNYG00000023086
astatotilapia_calliptera ENSACLG00000024298
neolamprologus_brichardi ENSNBRG00000000257
oreochromis_niloticus ENSONIG00000012935
amphilophus_citrinellus ENSACIG00000012186
hippocampus_comes ENSHCOG00000017616
periophthalmus_magnuspinnatus ENSPMGG00000004373
gadus_morhua ENSGMOG00000010280
esox_lucius ENSELUG00000017787
pygocentrus_nattereri ENSPNAG00000020557
astyanax_mexicanus ENSAMXG00000000229
ictalurus_punctatus ENSIPUG00000009128
danio_rerio ENSDARG00000058351
scleropages_formosus ENSSFOG00015002753
paramormyrops_kingsleyae ENSPKIG00000007806
lepisosteus_oculatus ENSLOCG00000006844
