kryptolebias_marmoratus ENSKMAG00000021150
poecilia_latipinna ENSPLAG00000017982
amphilophus_citrinellus ENSACIG00000020312
hippocampus_comes ENSHCOG00000013607
periophthalmus_magnuspinnatus ENSPMGG00000021453
seriola_lalandi_dorsalis ENSSLDG00000014539
seriola_dumerili ENSSDUG00000012537
gasterosteus_aculeatus ENSGACG00000006118
mola_mola ENSMMOG00000007764
gasterosteus_aculeatus ENSGACG00000013268
poecilia_formosa ENSPFOG00000022172
gadus_morhua ENSGMOG00000007321
esox_lucius ENSELUG00000001588
