theropithecus_gelada ENSTGEG00000018736
papio_anubis ENSPANG00000033845
piliocolobus_tephrosceles ENSPTEG00000018832
nomascus_leucogenys ENSNLEG00000031118
gorilla_gorilla ENSGGOG00000041576
cebus_capucinus ENSCCAG00000019543
saimiri_boliviensis_boliviensis ENSSBOG00000034168
aotus_nancymaae ENSANAG00000027808
aotus_nancymaae ENSANAG00000023712
marmota_marmota_marmota ENSMMMG00000023350
marmota_marmota_marmota ENSMMMG00000010117
spermophilus_dauricus ENSSDAG00000006048
ursus_maritimus ENSUMAG00000019974
ursus_americanus ENSUAMG00000022475
ursus_maritimus ENSUMAG00000008237
vulpes_vulpes ENSVVUG00000005360
canis_lupus_dingo ENSCAFG00020021143
panthera_tigris_altaica ENSPTIG00000005429
sus_scrofa ENSSSCG00000037482
