cricetulus_griseus_crigri ENSCGRG00000015110
microtus_ochrogaster ENSMOCG00000012320
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023106
mus_musculus ENSMUSG00000102742
mus_spicilegus ENSMSIG00000002846
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022197
mus_pahari MGP_PahariEiJ_G0018930
rattus_norvegicus ENSRNOG00000027232
nannospalax_galili ENSNGAG00000011680
jaculus_jaculus ENSJJAG00000002948
heterocephalus_glaber_female ENSHGLG00000020216
heterocephalus_glaber_female ENSHGLG00000019692
heterocephalus_glaber_male ENSHGLG00100007021
octodon_degus ENSODEG00000012695
mandrillus_leucophaeus ENSMLEG00000027581
rhinopithecus_bieti ENSRBIG00000035110
homo_sapiens ENSG00000253873
pan_paniscus ENSPPAG00000039602
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023107
mus_musculus ENSMUSG00000102428
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022198
mus_pahari MGP_PahariEiJ_G0018931
homo_sapiens ENSG00000253159
ursus_maritimus ENSUMAG00000012663
canis_lupus_dingo ENSCAFG00020021088
equus_caballus ENSECAG00000016123
vicugna_pacos ENSVPAG00000002492
bos_taurus ENSBTAG00000055200
choloepus_hoffmanni ENSCHOG00000001390
procavia_capensis ENSPCAG00000010529
