otolemur_garnettii ENSOGAG00000025452
prolemur_simus ENSPSMG00000016326
pan_paniscus ENSPPAG00000003965
pan_troglodytes ENSPTRG00000034499
homo_sapiens ENSG00000214029
gorilla_gorilla ENSGGOG00000022474
pongo_abelii ENSPPYG00000005154
cercocebus_atys ENSCATG00000030852
theropithecus_gelada ENSTGEG00000001298
macaca_mulatta ENSMMUG00000031445
chlorocebus_sabaeus ENSCSAG00000001813
piliocolobus_tephrosceles ENSPTEG00000030811
callithrix_jacchus ENSCJAG00000023027
cebus_capucinus ENSCCAG00000033250
aotus_nancymaae ENSANAG00000028090
cavia_porcellus ENSCPOG00000035408
equus_asinus_asinus ENSEASG00005016753
equus_caballus ENSECAG00000012025
vulpes_vulpes ENSVVUG00000007825
pteropus_vampyrus ENSPVAG00000014538
bos_mutus ENSBMUG00000015487
bison_bison_bison ENSBBBG00000017315
capra_hircus ENSCHIG00000018258
tursiops_truncatus ENSTTRG00000004369
sus_scrofa ENSSSCG00000037951
dasypus_novemcinctus ENSDNOG00000042667
procavia_capensis ENSPCAG00000011436
