mus_musculus ENSMUSG00000079579
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034267
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033114
mus_pahari MGP_PahariEiJ_G0031655
rattus_norvegicus ENSRNOG00000046097
meriones_unguiculatus ENSMUGG00000017324
cricetulus_griseus_crigri-picr ENSCGRG00015011571
cricetulus_griseus_crigri ENSCGRG00000001130
cricetulus_griseus_chok1gshd ENSCGRG00001016891
mesocricetus_auratus ENSMAUG00000017240
peromyscus_maniculatus_bairdii ENSPEMG00000013903
urocitellus_parryii ENSUPAG00010014179
