coturnix_japonica ENSCJPG00005006999
meleagris_gallopavo ENSMGAG00000001469
numida_meleagris ENSNMEG00000003425
anser_brachyrhynchus ENSABRG00000006679
parus_major ENSPMJG00000003895
ficedula_albicollis ENSFALG00000014087
taeniopygia_guttata ENSTGUG00000017107
lonchura_striata_domestica ENSLSDG00000013385
junco_hyemalis ENSJHYG00000008666
lepidothrix_coronata ENSLCOG00000003866
calidris_pygmaea ENSCPGG00000014225
apteryx_haastii ENSAHAG00000004486
apteryx_rowi ENSARWG00000008153
apteryx_owenii ENSAOWG00000015020
dromaius_novaehollandiae ENSDNVG00000008736
gopherus_agassizii ENSGAGG00000019254
chelonoidis_abingdonii ENSCABG00000016667
chrysemys_picta_bellii ENSCPBG00000012217
salvator_merianae ENSSMRG00000001352
pogona_vitticeps ENSPVIG00000021518
anolis_carolinensis ENSACAG00000003018
ursus_americanus ENSUAMG00000022751
ursus_maritimus ENSUMAG00000016278
ailuropoda_melanoleuca ENSAMEG00000013691
neovison_vison ENSNVIG00000001393
mustela_putorius_furo ENSMPUG00000008775
canis_lupus_dingo ENSCAFG00020006304
canis_lupus_familiaris ENSCAFG00000004748
vulpes_vulpes ENSVVUG00000008395
panthera_tigris_altaica ENSPTIG00000012977
panthera_pardus ENSPPRG00000002433
felis_catus ENSFCAG00000022328
equus_caballus ENSECAG00000020832
equus_asinus_asinus ENSEASG00005002699
ovis_aries ENSOARG00000003170
capra_hircus ENSCHIG00000024956
bos_mutus ENSBMUG00000003897
bos_taurus ENSBTAG00000011229
bison_bison_bison ENSBBBG00000003766
tursiops_truncatus ENSTTRG00000000854
sus_scrofa ENSSSCG00000028266
myotis_lucifugus ENSMLUG00000030300
pan_troglodytes ENSPTRG00000028352
pan_paniscus ENSPPAG00000035054
homo_sapiens ENSG00000164897
gorilla_gorilla ENSGGOG00000016913
pongo_abelii ENSPPYG00000018186
nomascus_leucogenys ENSNLEG00000004237
macaca_fascicularis ENSMFAG00000045212
macaca_nemestrina ENSMNEG00000040761
