nothoprocta_perdicaria ENSNPEG00000008252
apteryx_rowi ENSARWG00000016735
crocodylus_porosus ENSCPRG00005015603
chrysemys_picta_bellii ENSCPBG00000007013
sphenodon_punctatus ENSSPUG00000001752
bos_mutus ENSBMUG00000007625
bos_taurus ENSBTAG00000054181
bison_bison_bison ENSBBBG00000020842
capra_hircus ENSCHIG00000009712
sus_scrofa ENSSSCG00000037129
equus_asinus_asinus ENSEASG00005013010
ursus_maritimus ENSUMAG00000020671
ursus_americanus ENSUAMG00000021716
neovison_vison ENSNVIG00000011057
panthera_tigris_altaica ENSPTIG00000009235
panthera_pardus ENSPPRG00000021179
felis_catus ENSFCAG00000035867
meriones_unguiculatus ENSMUGG00000001017
mus_spicilegus ENSMSIG00000009489
castor_canadensis ENSCCNG00000000426
urocitellus_parryii ENSUPAG00010016888
marmota_marmota_marmota ENSMMMG00000019295
spermophilus_dauricus ENSSDAG00000009513
piliocolobus_tephrosceles ENSPTEG00000028186
theropithecus_gelada ENSTGEG00000003312
prolemur_simus ENSPSMG00000022995
