xiphophorus_maculatus ENSXMAG00000023372
gambusia_affinis ENSGAFG00000001835
poecilia_formosa ENSPFOG00000003081
poecilia_latipinna ENSPLAG00000013371
poecilia_reticulata ENSPREG00000021982
xiphophorus_couchianus ENSXCOG00000011705
fundulus_heteroclitus ENSFHEG00000015245
cyprinodon_variegatus ENSCVAG00000006677
kryptolebias_marmoratus ENSKMAG00000015530
cynoglossus_semilaevis ENSCSEG00000018204
mola_mola ENSMMOG00000009582
monopterus_albus ENSMALG00000010509
mastacembelus_armatus ENSMAMG00000014706
anabas_testudineus ENSATEG00000019437
labrus_bergylta ENSLBEG00000015715
seriola_dumerili ENSSDUG00000011823
seriola_lalandi_dorsalis ENSSLDG00000023919
scophthalmus_maximus ENSSMAG00000011740
amphiprion_percula ENSAPEG00000009606
amphiprion_ocellaris ENSAOCG00000018641
acanthochromis_polyacanthus ENSAPOG00000018712
stegastes_partitus ENSSPAG00000020775
stegastes_partitus ENSSPAG00000011619
pundamilia_nyererei ENSPNYG00000000114
maylandia_zebra ENSMZEG00005006713
neolamprologus_brichardi ENSNBRG00000020119
oryzias_latipes ENSORLG00000010380
oryzias_latipes_asm223469v1 ENSORLG00015013106
oryzias_melastigma ENSOMEG00000014761
poecilia_mexicana ENSPMEG00000009195
tetraodon_nigroviridis ENSTNIG00000016870
oryzias_latipes ENSORLG00020018368
hippocampus_comes ENSHCOG00000003323
periophthalmus_magnuspinnatus ENSPMGG00000015202
esox_lucius ENSELUG00000005210
astyanax_mexicanus ENSAMXG00000013612
pygocentrus_nattereri ENSPNAG00000001458
ictalurus_punctatus ENSIPUG00000014534
paramormyrops_kingsleyae ENSPKIG00000021685
scleropages_formosus ENSSFOG00015011756
lepisosteus_oculatus ENSLOCG00000014991
calidris_pygmaea ENSCPGG00000010268
calidris_pugnax ENSCPUG00000017726
cyanistes_caeruleus ENSCCEG00000009749
zonotrichia_albicollis ENSZALG00000014646
lonchura_striata_domestica ENSLSDG00000014195
serinus_canaria ENSSCAG00000002292
taeniopygia_guttata ENSTGUG00000002573
parus_major ENSPMJG00000007845
junco_hyemalis ENSJHYG00000002649
ficedula_albicollis ENSFALG00000004082
lepidothrix_coronata ENSLCOG00000004785
manacus_vitellinus ENSMVIG00005011537
melopsittacus_undulatus ENSMUNG00000008230
anas_platyrhynchos_platyrhynchos ENSAPLG00000010929
gallus_gallus ENSGALG00000004093
coturnix_japonica ENSCJPG00005003586
meleagris_gallopavo ENSMGAG00000001700
numida_meleagris ENSNMEG00000011031
anser_brachyrhynchus ENSABRG00000007170
nothoprocta_perdicaria ENSNPEG00000013964
apteryx_haastii ENSAHAG00000007841
apteryx_rowi ENSARWG00000006842
apteryx_owenii ENSAOWG00000011563
dromaius_novaehollandiae ENSDNVG00000005423
crocodylus_porosus ENSCPRG00005009370
chrysemys_picta_bellii ENSCPBG00000014494
chelonoidis_abingdonii ENSCABG00000005620
pelodiscus_sinensis ENSPSIG00000005286
anolis_carolinensis ENSACAG00000001024
pogona_vitticeps ENSPVIG00000007313
