tetraodon_nigroviridis ENSTNIG00000018253
takifugu_rubripes ENSTRUG00000018458
mola_mola ENSMMOG00000000331
cynoglossus_semilaevis ENSCSEG00000004176
scophthalmus_maximus ENSSMAG00000004376
labrus_bergylta ENSLBEG00000023188
cottoperca_gobio ENSCGOG00000023971
gasterosteus_aculeatus ENSGACG00000000524
larimichthys_crocea ENSLCRG00005022718
labrus_bergylta ENSLBEG00000015958
mastacembelus_armatus ENSMAMG00000005721
monopterus_albus ENSMALG00000017468
anabas_testudineus ENSATEG00000024526
seriola_dumerili ENSSDUG00000004064
seriola_lalandi ENSSLDG00000004689
lates_calcarifer ENSLCAG00010026008
lates_calcarifer ENSLCAG00010022085
cyprinodon_variegatus ENSCVAG00000007526
fundulus_heteroclitus ENSFHEG00000007778
poecilia_mexicana ENSPMEG00000004880
poecilia_latipinna ENSPLAG00000018903
poecilia_formosa ENSPFOG00000015080
poecilia_reticulata ENSPREG00000014204
poecilia_formosa ENSPFOG00000021977
gambusia_affinis ENSGAFG00000003445
xiphophorus_maculatus ENSXMAG00000027063
xiphophorus_couchianus ENSXCOG00000018549
kryptolebias_marmoratus ENSKMAG00000016323
oryzias_latipes ENSORLG00000014837
oryzias_latipes ENSORLG00020018076
oryzias_latipes ENSORLG00015013536
oryzias_melastigma ENSOMEG00000022791
maylandia_zebra ENSMZEG00005022833
astatotilapia_calliptera ENSACLG00000003939
haplochromis_burtoni ENSHBUG00000004730
pundamilia_nyererei ENSPNYG00000019857
neolamprologus_brichardi ENSNBRG00000011011
oreochromis_niloticus ENSONIG00000019215
amphilophus_citrinellus ENSACIG00000002771
gouania_willdenowi ENSGWIG00000024637
amphiprion_percula ENSAPEG00000009073
amphiprion_ocellaris ENSAOCG00000017753
acanthochromis_polyacanthus ENSAPOG00000007597
stegastes_partitus ENSSPAG00000002312
parambassis_ranga ENSPRNG00000026652
hippocampus_comes ENSHCOG00000019109
betta_splendens ENSBSLG00000001276
periophthalmus_magnuspinnatus ENSPMGG00000020132
gadus_morhua ENSGMOG00000014504
hucho_hucho ENSHHUG00000025209
hucho_hucho ENSHHUG00000018806
esox_lucius ENSELUG00000021000
clupea_harengus ENSCHAG00000018985
denticeps_clupeoides ENSDCDG00000033236
astyanax_mexicanus ENSAMXG00005010227
astyanax_mexicanus ENSAMXG00000039058
pygocentrus_nattereri ENSPNAG00000008415
ictalurus_punctatus ENSIPUG00000012483
electrophorus_electricus ENSEEEG00000002648
danio_rerio ENSDARG00000044924
scleropages_formosus ENSSFOG00015017323
paramormyrops_kingsleyae ENSPKIG00000004913
lepisosteus_oculatus ENSLOCG00000003644
erpetoichthys_calabaricus ENSECRG00000010489
latimeria_chalumnae ENSLACG00000018739
callorhinchus_milii ENSCMIG00000003966
callorhinchus_milii ENSCMIG00000015213
eptatretus_burgeri ENSEBUG00000004072
