latimeria_chalumnae ENSLACG00000013214
xenopus_tropicalis ENSXETG00000021839
paramormyrops_kingsleyae ENSPKIG00000019418
scleropages_formosus ENSSFOG00015007852
scleropages_formosus ENSSFOG00015001284
paramormyrops_kingsleyae ENSPKIG00000019884
seriola_dumerili ENSSDUG00000010556
seriola_lalandi_dorsalis ENSSLDG00000018974
scophthalmus_maximus ENSSMAG00000014306
mastacembelus_armatus ENSMAMG00000016092
monopterus_albus ENSMALG00000017604
anabas_testudineus ENSATEG00000015622
labrus_bergylta ENSLBEG00000025045
gasterosteus_aculeatus ENSGACG00000020418
takifugu_rubripes ENSTRUG00000016569
tetraodon_nigroviridis ENSTNIG00000011753
mola_mola ENSMMOG00000016575
amphiprion_ocellaris ENSAOCG00000013792
amphiprion_percula ENSAPEG00000002339
acanthochromis_polyacanthus ENSAPOG00000001589
stegastes_partitus ENSSPAG00000015882
astatotilapia_calliptera ENSACLG00000014690
maylandia_zebra ENSMZEG00005016494
pundamilia_nyererei ENSPNYG00000017696
haplochromis_burtoni ENSHBUG00000023613
neolamprologus_brichardi ENSNBRG00000020510
oreochromis_niloticus ENSONIG00000005413
amphilophus_citrinellus ENSACIG00000010110
poecilia_formosa ENSPFOG00000009419
poecilia_latipinna ENSPLAG00000009786
poecilia_mexicana ENSPMEG00000009074
poecilia_reticulata ENSPREG00000022892
xiphophorus_maculatus ENSXMAG00000012321
xiphophorus_couchianus ENSXCOG00000006892
gambusia_affinis ENSGAFG00000004461
fundulus_heteroclitus ENSFHEG00000003357
cyprinodon_variegatus ENSCVAG00000012885
kryptolebias_marmoratus ENSKMAG00000008572
oryzias_latipes ENSORLG00000007584
oryzias_latipes ENSORLG00020004114
oryzias_latipes_asm223469v1 ENSORLG00015009293
oryzias_melastigma ENSOMEG00000002503
periophthalmus_magnuspinnatus ENSPMGG00000003195
hippocampus_comes ENSHCOG00000004446
gadus_morhua ENSGMOG00000005622
esox_lucius ENSELUG00000009038
pygocentrus_nattereri ENSPNAG00000012096
astyanax_mexicanus ENSAMXG00000029685
ictalurus_punctatus ENSIPUG00000009309
danio_rerio ENSDARG00000029124
labrus_bergylta ENSLBEG00000003586
mola_mola ENSMMOG00000019139
mastacembelus_armatus ENSMAMG00000000420
monopterus_albus ENSMALG00000015841
anabas_testudineus ENSATEG00000001073
scophthalmus_maximus ENSSMAG00000016185
cynoglossus_semilaevis ENSCSEG00000004951
seriola_dumerili ENSSDUG00000012499
seriola_lalandi_dorsalis ENSSLDG00000001299
amphiprion_ocellaris ENSAOCG00000023714
amphiprion_percula ENSAPEG00000004759
acanthochromis_polyacanthus ENSAPOG00000020165
stegastes_partitus ENSSPAG00000019692
astatotilapia_calliptera ENSACLG00000018987
maylandia_zebra ENSMZEG00005019268
pundamilia_nyererei ENSPNYG00000023821
haplochromis_burtoni ENSHBUG00000019193
oreochromis_niloticus ENSONIG00000014756
neolamprologus_brichardi ENSNBRG00000001305
amphilophus_citrinellus ENSACIG00000006579
fundulus_heteroclitus ENSFHEG00000005583
cyprinodon_variegatus ENSCVAG00000006017
poecilia_mexicana ENSPMEG00000017286
poecilia_latipinna ENSPLAG00000016711
poecilia_formosa ENSPFOG00000015892
xiphophorus_couchianus ENSXCOG00000004172
xiphophorus_maculatus ENSXMAG00000027257
xiphophorus_maculatus ENSXMAG00000025930
xiphophorus_couchianus ENSXCOG00000000486
poecilia_latipinna ENSPLAG00000011895
kryptolebias_marmoratus ENSKMAG00000006923
oryzias_latipes_asm223469v1 ENSORLG00015013024
oryzias_latipes ENSORLG00000015202
oryzias_latipes ENSORLG00020007319
oryzias_melastigma ENSOMEG00000008150
hippocampus_comes ENSHCOG00000014289
takifugu_rubripes ENSTRUG00000011992
tetraodon_nigroviridis ENSTNIG00000014373
gasterosteus_aculeatus ENSGACG00000000032
periophthalmus_magnuspinnatus ENSPMGG00000010241
gadus_morhua ENSGMOG00000011414
esox_lucius ENSELUG00000023478
pygocentrus_nattereri ENSPNAG00000025324
astyanax_mexicanus ENSAMXG00000029165
ictalurus_punctatus ENSIPUG00000015253
danio_rerio ENSDARG00000033544
lepisosteus_oculatus ENSLOCG00000004241
pogona_vitticeps ENSPVIG00000025059
anolis_carolinensis ENSACAG00000017722
notechis_scutatus ENSNSUG00000008113
salvator_merianae ENSSMRG00000022520
sphenodon_punctatus ENSSPUG00000001422
gopherus_agassizii ENSGAGG00000010112
chelonoidis_abingdonii ENSCABG00000005117
chrysemys_picta_bellii ENSCPBG00000026857
pelodiscus_sinensis ENSPSIG00000011769
apteryx_rowi ENSARWG00000016861
apteryx_owenii ENSAOWG00000014405
apteryx_haastii ENSAHAG00000006729
dromaius_novaehollandiae ENSDNVG00000012252
nothoprocta_perdicaria ENSNPEG00000010195
anas_platyrhynchos_platyrhynchos ENSAPLG00000018470
anas_platyrhynchos_platyrhynchos ENSAPLG00000006340
anser_brachyrhynchus ENSABRG00000001790
gallus_gallus ENSGALG00000001407
meleagris_gallopavo ENSMGAG00000001282
coturnix_japonica ENSCJPG00005006583
numida_meleagris ENSNMEG00000012175
parus_major ENSPMJG00000008702
