lonchura_striata_domestica ENSLSDG00000016365
manacus_vitellinus ENSMVIG00005016783
calidris_pugnax ENSCPUG00000000032
anser_brachyrhynchus ENSABRG00000016767
dromaius_novaehollandiae ENSDNVG00000004777
calidris_pugnax ENSCPUG00000000018
calidris_pygmaea ENSCPGG00000015408
melopsittacus_undulatus ENSMUNG00000005724
coturnix_japonica ENSCJPG00005011230
numida_meleagris ENSNMEG00000018021
cyanistes_caeruleus ENSCCEG00000007388
apteryx_haastii ENSAHAG00000019708
apteryx_owenii ENSAOWG00000010510
apteryx_rowi ENSARWG00000005048
nothoprocta_perdicaria ENSNPEG00000004913
zonotrichia_albicollis ENSZALG00000010528
junco_hyemalis ENSJHYG00000002672
parus_major ENSPMJG00000007614
anas_platyrhynchos_platyrhynchos ENSAPLG00000022398
chrysemys_picta_bellii ENSCPBG00000001194
