chrysemys_picta ENSCPBG00000008711
chelonoidis_abingdonii ENSCABG00000022646
pelodiscus_sinensis ENSPSIG00000011293
apteryx_owenii ENSAOWG00000017316
apteryx_haastii ENSAHAG00000001516
apteryx_rowi ENSARWG00000014450
dromaius_novaehollandiae ENSDNVG00000018122
nothoprocta_perdicaria ENSNPEG00000012499
calidris_pugnax ENSCPUG00000001752
calidris_pygmaea ENSCPGG00000000229
melopsittacus_undulatus ENSMUNG00000012678
manacus_vitellinus ENSMVIG00005013607
lepidothrix_coronata ENSLCOG00000015540
taeniopygia_guttata ENSTGUG00000004051
lonchura_striata ENSLSDG00000006256
serinus_canaria ENSSCAG00000016609
junco_hyemalis ENSJHYG00000014418
parus_major ENSPMJG00000007581
ficedula_albicollis ENSFALG00000014320
anas_platyrhynchos ENSAPLG00000024884
anser_brachyrhynchus ENSABRG00000000197
gallus_gallus ENSGALG00000021525
coturnix_japonica ENSCJPG00005007774
numida_meleagris ENSNMEG00000011629
pogona_vitticeps ENSPVIG00000009208
notechis_scutatus ENSNSUG00000019611
salvator_merianae ENSSMRG00000022670
sphenodon_punctatus ENSSPUG00000006423
urocitellus_parryii ENSUPAG00010005217
ictidomys_tridecemlineatus ENSSTOG00000026138
marmota_marmota ENSMMMG00000003275
cavia_aperea ENSCAPG00000011255
cavia_porcellus ENSCPOG00000014271
octodon_degus ENSODEG00000020309
fukomys_damarensis ENSFDAG00000007418
castor_canadensis ENSCCNG00000027672
dipodomys_ordii ENSDORG00000013609
mus_spretus MGP_SPRETEiJ_G0033428
mus_spicilegus ENSMSIG00000007355
mus_musculus ENSMUSG00000037206
mus_caroli MGP_CAROLIEiJ_G0032288
mus_pahari MGP_PahariEiJ_G0015154
rattus_norvegicus ENSRNOG00000048924
meriones_unguiculatus ENSMUGG00000003318
meriones_unguiculatus ENSMUGG00000003203
cricetulus_griseus ENSCGRG00000017425
cricetulus_griseus ENSCGRG00001001132
cricetulus_griseus ENSCGRG00015024619
mesocricetus_auratus ENSMAUG00000015328
microtus_ochrogaster ENSMOCG00000011305
peromyscus_maniculatus ENSPEMG00000000056
nannospalax_galili ENSNGAG00000022922
jaculus_jaculus ENSJJAG00000014393
