saimiri_boliviensis_boliviensis ENSSBOG00000034490
oryctolagus_cuniculus ENSOCUG00000008886
mesocricetus_auratus ENSMAUG00000008484
mus_pahari MGP_PahariEiJ_G0023167
jaculus_jaculus ENSJJAG00000014394
heterocephalus_glaber_male ENSHGLG00100009881
cebus_capucinus ENSCCAG00000031082
macaca_nemestrina ENSMNEG00000040748
vicugna_pacos ENSVPAG00000003194
mustela_putorius_furo ENSMPUG00000010211
erinaceus_europaeus ENSEEUG00000004407
pteropus_vampyrus ENSPVAG00000000676
prolemur_simus ENSPSMG00000015200
bison_bison_bison ENSBBBG00000007089
mandrillus_leucophaeus ENSMLEG00000042907
papio_anubis ENSPANG00000018646
prolemur_simus ENSPSMG00000015198
ailuropoda_melanoleuca ENSAMEG00000004879
oryctolagus_cuniculus ENSOCUG00000021833
procavia_capensis ENSPCAG00000012996
echinops_telfairi ENSETEG00000002459
choloepus_hoffmanni ENSCHOG00000000350
notamacropus_eugenii ENSMEUG00000012215
ornithorhynchus_anatinus ENSOANG00000029993
anas_platyrhynchos_platyrhynchos ENSAPLG00000017035
