ursus_americanus ENSUAMG00000009471
ursus_maritimus ENSUMAG00000018526
ailuropoda_melanoleuca ENSAMEG00000014185
neovison_vison ENSNVIG00000000249
mustela_putorius_furo ENSMPUG00000020004
canis_lupus_dingo ENSCAFG00020001338
canis_lupus_familiaris ENSCAFG00000029808
vulpes_vulpes ENSVVUG00000016923
equus_caballus ENSECAG00000029137
equus_asinus_asinus ENSEASG00005007934
sus_scrofa ENSSSCG00000033932
sus_scrofa ENSSSCG00000034409
sus_scrofa ENSSSCG00000034640
chlorocebus_sabaeus ENSCSAG00000019179
theropithecus_gelada ENSTGEG00000020344
piliocolobus_tephrosceles ENSPTEG00000029253
rhinopithecus_roxellana ENSRROG00000041895
pan_paniscus ENSPPAG00000004006
pan_troglodytes ENSPTRG00000003695
homo_sapiens ENSG00000172742
gorilla_gorilla ENSGGOG00000027826
callithrix_jacchus ENSCJAG00000022509
carlito_syrichta ENSTSYG00000029592
prolemur_simus ENSPSMG00000004574
spermophilus_dauricus ENSSDAG00000020960
marmota_marmota_marmota ENSMMMG00000000080
oryctolagus_cuniculus ENSOCUG00000002146
fukomys_damarensis ENSFDAG00000018061
fukomys_damarensis ENSFDAG00000019898
chinchilla_lanigera ENSCLAG00000017648
bison_bison_bison ENSBBBG00000020355
bos_taurus ENSBTAG00000033509
capra_hircus ENSCHIG00000015035
dasypus_novemcinctus ENSDNOG00000043016
