esox_lucius ENSELUG00000000966
gadus_morhua ENSGMOG00000016091
takifugu_rubripes ENSTRUG00000023899
tetraodon_nigroviridis ENSTNIG00000007506
mola_mola ENSMMOG00000004592
gasterosteus_aculeatus ENSGACG00000016008
scophthalmus_maximus ENSSMAG00000009772
cynoglossus_semilaevis ENSCSEG00000015225
amphiprion_ocellaris ENSAOCG00000015895
amphiprion_percula ENSAPEG00000022379
acanthochromis_polyacanthus ENSAPOG00000021084
stegastes_partitus ENSSPAG00000005810
fundulus_heteroclitus ENSFHEG00000002314
cyprinodon_variegatus ENSCVAG00000015687
poecilia_formosa ENSPFOG00000007184
poecilia_mexicana ENSPMEG00000010111
poecilia_formosa ENSPFOG00000022445
poecilia_mexicana ENSPMEG00000009230
poecilia_latipinna ENSPLAG00000021852
poecilia_reticulata ENSPREG00000022011
xiphophorus_couchianus ENSXCOG00000001370
xiphophorus_maculatus ENSXMAG00000023588
gambusia_affinis ENSGAFG00000013570
kryptolebias_marmoratus ENSKMAG00000010011
oryzias_latipes ENSORLG00000024633
oryzias_latipes_asm223469v1 ENSORLG00015016163
oryzias_latipes ENSORLG00020009254
oryzias_melastigma ENSOMEG00000011708
pundamilia_nyererei ENSPNYG00000003481
haplochromis_burtoni ENSHBUG00000008728
astatotilapia_calliptera ENSACLG00000027838
maylandia_zebra ENSMZEG00005003126
neolamprologus_brichardi ENSNBRG00000007711
amphilophus_citrinellus ENSACIG00000001622
mastacembelus_armatus ENSMAMG00000018235
monopterus_albus ENSMALG00000012397
anabas_testudineus ENSATEG00000012711
seriola_dumerili ENSSDUG00000007888
seriola_lalandi_dorsalis ENSSLDG00000014928
labrus_bergylta ENSLBEG00000024190
periophthalmus_magnuspinnatus ENSPMGG00000004780
hippocampus_comes ENSHCOG00000001611
pygocentrus_nattereri ENSPNAG00000016281
astyanax_mexicanus ENSAMXG00000014345
ictalurus_punctatus ENSIPUG00000006510
danio_rerio ENSDARG00000036913
scleropages_formosus ENSSFOG00015002859
paramormyrops_kingsleyae ENSPKIG00000025105
lepisosteus_oculatus ENSLOCG00000004212
apteryx_owenii ENSAOWG00000010904
apteryx_haastii ENSAHAG00000018490
apteryx_rowi ENSARWG00000018537
dromaius_novaehollandiae ENSDNVG00000019094
nothoprocta_perdicaria ENSNPEG00000002502
gallus_gallus ENSGALG00000005298
coturnix_japonica ENSCJPG00005019934
meleagris_gallopavo ENSMGAG00000003642
numida_meleagris ENSNMEG00000006673
anser_brachyrhynchus ENSABRG00000000627
