manacus_vitellinus ENSMVIG00005012450
lepidothrix_coronata ENSLCOG00000003370
zonotrichia_albicollis ENSZALG00000012326
junco_hyemalis ENSJHYG00000015368
serinus_canaria ENSSCAG00000001541
taeniopygia_guttata ENSTGUG00000008129
lonchura_striata_domestica ENSLSDG00000005052
ficedula_albicollis ENSFALG00000006842
cyanistes_caeruleus ENSCCEG00000018415
parus_major ENSPMJG00000017205
calidris_pygmaea ENSCPGG00000006091
calidris_pugnax ENSCPUG00000014157
melopsittacus_undulatus ENSMUNG00000014227
anser_brachyrhynchus ENSABRG00000017230
anas_platyrhynchos_platyrhynchos ENSAPLG00000008664
gallus_gallus ENSGALG00000004966
meleagris_gallopavo ENSMGAG00000005186
coturnix_japonica ENSCJPG00005008087
numida_meleagris ENSNMEG00000013263
dromaius_novaehollandiae ENSDNVG00000002189
nothoprocta_perdicaria ENSNPEG00000013007
apteryx_owenii ENSAOWG00000016715
apteryx_rowi ENSARWG00000006551
apteryx_haastii ENSAHAG00000009197
crocodylus_porosus ENSCPRG00005004292
gopherus_agassizii ENSGAGG00000010829
chelonoidis_abingdonii ENSCABG00000003369
chrysemys_picta_bellii ENSCPBG00000019422
pelodiscus_sinensis ENSPSIG00000012764
anolis_carolinensis ENSACAG00000003843
pogona_vitticeps ENSPVIG00000015361
notechis_scutatus ENSNSUG00000014632
salvator_merianae ENSSMRG00000008930
sphenodon_punctatus ENSSPUG00000015417
notamacropus_eugenii ENSMEUG00000012008
phascolarctos_cinereus ENSPCIG00000011184
sarcophilus_harrisii ENSSHAG00000017548
monodelphis_domestica ENSMODG00000021206
loxodonta_africana ENSLAFG00000020793
procavia_capensis ENSPCAG00000016250
dasypus_novemcinctus ENSDNOG00000011833
tupaia_belangeri ENSTBEG00000010509
equus_caballus ENSECAG00000005099
equus_asinus_asinus ENSEASG00005011138
pteropus_vampyrus ENSPVAG00000005733
bos_taurus ENSBTAG00000019152
bison_bison_bison ENSBBBG00000006164
ovis_aries ENSOARG00000020452
capra_hircus ENSCHIG00000009026
sus_scrofa ENSSSCG00000016239
tursiops_truncatus ENSTTRG00000000123
ursus_americanus ENSUAMG00000020591
ailuropoda_melanoleuca ENSAMEG00000011512
mustela_putorius_furo ENSMPUG00000001171
neovison_vison ENSNVIG00000000901
canis_lupus_familiaris ENSCAFG00000010328
canis_lupus_dingo ENSCAFG00020018625
vulpes_vulpes ENSVVUG00000025863
panthera_pardus ENSPPRG00000024090
panthera_tigris_altaica ENSPTIG00000005837
felis_catus ENSFCAG00000014636
sorex_araneus ENSSARG00000003414
gorilla_gorilla ENSGGOG00000002537
homo_sapiens ENSG00000144460
pan_paniscus ENSPPAG00000034987
pan_troglodytes ENSPTRG00000012988
pongo_abelii ENSPPYG00000013233
nomascus_leucogenys ENSNLEG00000009817
mandrillus_leucophaeus ENSMLEG00000032095
theropithecus_gelada ENSTGEG00000015070
cercocebus_atys ENSCATG00000030114
papio_anubis ENSPANG00000019040
macaca_nemestrina ENSMNEG00000010592
macaca_mulatta ENSMMUG00000045544
macaca_fascicularis ENSMFAG00000036988
chlorocebus_sabaeus ENSCSAG00000007681
colobus_angolensis_palliatus ENSCANG00000000010
piliocolobus_tephrosceles ENSPTEG00000039689
rhinopithecus_roxellana ENSRROG00000031457
cebus_capucinus ENSCCAG00000029882
callithrix_jacchus ENSCJAG00000012708
saimiri_boliviensis_boliviensis ENSSBOG00000031529
aotus_nancymaae ENSANAG00000023314
carlito_syrichta ENSTSYG00000014734
propithecus_coquereli ENSPCOG00000020156
prolemur_simus ENSPSMG00000007580
microcebus_murinus ENSMICG00000013414
mus_spicilegus ENSMSIG00000017916
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015129
mus_musculus ENSMUSG00000054976
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014323
mus_pahari MGP_PahariEiJ_G0027561
rattus_norvegicus ENSRNOG00000023765
meriones_unguiculatus ENSMUGG00000021191
cricetulus_griseus_chok1gshd ENSCGRG00001022725
cricetulus_griseus_crigri ENSCGRG00000000817
cricetulus_griseus_crigri-picr ENSCGRG00015007180
mesocricetus_auratus ENSMAUG00000019117
microtus_ochrogaster ENSMOCG00000022661
peromyscus_maniculatus_bairdii ENSPEMG00000010633
nannospalax_galili ENSNGAG00000020595
castor_canadensis ENSCCNG00000010029
jaculus_jaculus ENSJJAG00000014467
dipodomys_ordii ENSDORG00000015062
spermophilus_dauricus ENSSDAG00000018942
ictidomys_tridecemlineatus ENSSTOG00000022770
