microtus_ochrogaster ENSMOCG00000013162
mesocricetus_auratus ENSMAUG00000002359
mus_musculus ENSMUSG00000091228
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017817
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016971
mus_pahari MGP_PahariEiJ_G0018102
nannospalax_galili ENSNGAG00000021569
ochotona_princeps ENSOPRG00000013625
pan_paniscus ENSPPAG00000034626
pan_troglodytes ENSPTRG00000039502
homo_sapiens ENSG00000011052
nomascus_leucogenys ENSNLEG00000031150
macaca_fascicularis ENSMFAG00000007607
macaca_nemestrina ENSMNEG00000040888
macaca_mulatta ENSMMUG00000001940
mandrillus_leucophaeus ENSMLEG00000017846
papio_anubis ENSPANG00000022445
rhinopithecus_roxellana ENSRROG00000010557
rhinopithecus_bieti ENSRBIG00000044790
callithrix_jacchus ENSCJAG00000018395
saimiri_boliviensis_boliviensis ENSSBOG00000031272
aotus_nancymaae ENSANAG00000020987
prolemur_simus ENSPSMG00000008885
propithecus_coquereli ENSPCOG00000019950
choloepus_hoffmanni ENSCHOG00000002187
sarcophilus_harrisii ENSSHAG00000014470
anser_brachyrhynchus ENSABRG00000022865
anas_platyrhynchos_platyrhynchos ENSAPLG00000030133
numida_meleagris ENSNMEG00000021390
dromaius_novaehollandiae ENSDNVG00000006050
taeniopygia_guttata ENSTGUG00000003794
ficedula_albicollis ENSFALG00000004430
canis_lupus_familiaris ENSCAFG00000023628
vulpes_vulpes ENSVVUG00000011331
ailuropoda_melanoleuca ENSAMEG00000008022
ovis_aries ENSOARG00000003026
pteropus_vampyrus ENSPVAG00000013901
rhinopithecus_bieti ENSRBIG00000036372
procavia_capensis ENSPCAG00000007000
echinops_telfairi ENSETEG00000005563
ficedula_albicollis ENSFALG00000001403
taeniopygia_guttata ENSTGUG00000009349
meleagris_gallopavo ENSMGAG00000008528
calidris_pygmaea ENSCPGG00000001180
pelodiscus_sinensis ENSPSIG00000013988
anolis_carolinensis ENSACAG00000002188
