urocitellus_parryii ENSUPAG00010011314
spermophilus_dauricus ENSSDAG00000004822
ictidomys_tridecemlineatus ENSSTOG00000031431
marmota_marmota_marmota ENSMMMG00000003948
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030576
mus_musculus ENSMUSG00000030587
mus_spicilegus ENSMSIG00000023718
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029479
mus_pahari MGP_PahariEiJ_G0012713
rattus_norvegicus ENSRNOG00000020628
rattus_norvegicus ENSRNOG00000056651
microtus_ochrogaster ENSMOCG00000013688
propithecus_coquereli ENSPCOG00000014762
prolemur_simus ENSPSMG00000018203
tupaia_belangeri ENSTBEG00000004075
homo_sapiens ENSG00000167644
homo_sapiens ENSG00000267748
pan_troglodytes ENSPTRG00000010921
pan_paniscus ENSPPAG00000029278
gorilla_gorilla ENSGGOG00000023437
pongo_abelii ENSPPYG00000009927
nomascus_leucogenys ENSNLEG00000016912
macaca_fascicularis ENSMFAG00000042648
macaca_nemestrina ENSMNEG00000029662
papio_anubis ENSPANG00000010968
theropithecus_gelada ENSTGEG00000005754
mandrillus_leucophaeus ENSMLEG00000002310
chlorocebus_sabaeus ENSCSAG00000004105
cercocebus_atys ENSCATG00000036689
rhinopithecus_roxellana ENSRROG00000038967
rhinopithecus_bieti ENSRBIG00000020296
colobus_angolensis_palliatus ENSCANG00000035063
piliocolobus_tephrosceles ENSPTEG00000004788
cebus_capucinus ENSCCAG00000031736
saimiri_boliviensis_boliviensis ENSSBOG00000036020
aotus_nancymaae ENSANAG00000032276
ursus_americanus ENSUAMG00000013958
ursus_maritimus ENSUMAG00000018394
ailuropoda_melanoleuca ENSAMEG00000010479
mustela_putorius_furo ENSMPUG00000017843
neovison_vison ENSNVIG00000008466
panthera_tigris_altaica ENSPTIG00000014397
felis_catus ENSFCAG00000038406
equus_asinus_asinus ENSEASG00005002517
equus_caballus ENSECAG00000013303
tursiops_truncatus ENSTTRG00000009686
ovis_aries ENSOARG00000005556
