canis_lupus_familiaris ENSCAFG00000006605
ailuropoda_melanoleuca ENSAMEG00000000984
neovison_vison ENSNVIG00000016269
mustela_putorius_furo ENSMPUG00000005742
panthera_tigris_altaica ENSPTIG00000018389
panthera_pardus ENSPPRG00000007403
felis_catus ENSFCAG00000041350
bos_mutus ENSBMUG00000018773
bos_taurus ENSBTAG00000015001
bison_bison_bison ENSBBBG00000022270
ovis_aries ENSOARG00000005260
carlito_syrichta ENSTSYG00000030934
erinaceus_europaeus ENSEEUG00000002098
procavia_capensis ENSPCAG00000003431
mus_spicilegus ENSMSIG00000004503
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030604
mus_musculus ENSMUSG00000100512
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029508
mus_pahari MGP_PahariEiJ_G0012742
rattus_norvegicus ENSRNOG00000024880
rattus_norvegicus ENSRNOG00000047959
meriones_unguiculatus ENSMUGG00000012295
cricetulus_griseus_chok1gshd ENSCGRG00001015922
cricetulus_griseus_crigri ENSCGRG00000004884
cricetulus_griseus_crigri-picr ENSCGRG00015016810
mesocricetus_auratus ENSMAUG00000021212
microtus_ochrogaster ENSMOCG00000006367
peromyscus_maniculatus_bairdii ENSPEMG00000008647
nannospalax_galili ENSNGAG00000013832
jaculus_jaculus ENSJJAG00000014739
castor_canadensis ENSCCNG00000009216
cavia_aperea ENSCAPG00000014314
cavia_porcellus ENSCPOG00000012093
chinchilla_lanigera ENSCLAG00000012345
octodon_degus ENSODEG00000015130
heterocephalus_glaber_female ENSHGLG00000006677
heterocephalus_glaber_male ENSHGLG00100018309
fukomys_damarensis ENSFDAG00000013092
spermophilus_dauricus ENSSDAG00000009876
ictidomys_tridecemlineatus ENSSTOG00000025626
marmota_marmota_marmota ENSMMMG00000004592
urocitellus_parryii ENSUPAG00010014215
ochotona_princeps ENSOPRG00000001768
microcebus_murinus ENSMICG00000010233
propithecus_coquereli ENSPCOG00000013130
otolemur_garnettii ENSOGAG00000028548
pan_troglodytes ENSPTRG00000010884
pan_paniscus ENSPPAG00000029510
gorilla_gorilla ENSGGOG00000015431
homo_sapiens ENSG00000105261
pongo_abelii ENSPPYG00000009896
nomascus_leucogenys ENSNLEG00000011690
rhinopithecus_roxellana ENSRROG00000032093
rhinopithecus_bieti ENSRBIG00000012008
piliocolobus_tephrosceles ENSPTEG00000011093
colobus_angolensis_palliatus ENSCANG00000017105
macaca_mulatta ENSMMUG00000000520
macaca_fascicularis ENSMFAG00000038638
macaca_nemestrina ENSMNEG00000044151
papio_anubis ENSPANG00000013573
cercocebus_atys ENSCATG00000043037
mandrillus_leucophaeus ENSMLEG00000038854
chlorocebus_sabaeus ENSCSAG00000004257
callithrix_jacchus ENSCJAG00000009682
cebus_capucinus ENSCCAG00000021899
saimiri_boliviensis_boliviensis ENSSBOG00000029657
aotus_nancymaae ENSANAG00000037345
pteropus_vampyrus ENSPVAG00000012881
tursiops_truncatus ENSTTRG00000003918
sorex_araneus ENSSARG00000009310
echinops_telfairi ENSETEG00000012675
dasypus_novemcinctus ENSDNOG00000015840
loxodonta_africana ENSLAFG00000022459
notamacropus_eugenii ENSMEUG00000003923
monodelphis_domestica ENSMODG00000014166
