bison_bison_bison ENSBBBG00000021404
bos_mutus ENSBMUG00000008633
panthera_tigris_altaica ENSPTIG00000007911
felis_catus ENSFCAG00000032713
microcebus_murinus ENSMICG00000012407
propithecus_coquereli ENSPCOG00000012462
prolemur_simus ENSPSMG00000004226
homo_sapiens ENSG00000176782
homo_sapiens ENSG00000177023
pan_troglodytes ENSPTRG00000019962
gorilla_gorilla ENSGGOG00000041561
gorilla_gorilla ENSGGOG00000016372
pongo_abelii ENSPPYG00000018335
nomascus_leucogenys ENSNLEG00000000410
nomascus_leucogenys ENSNLEG00000029746
macaca_nemestrina ENSMNEG00000039537
macaca_fascicularis ENSMFAG00000043275
chlorocebus_sabaeus ENSCSAG00000016973
theropithecus_gelada ENSTGEG00000014472
mandrillus_leucophaeus ENSMLEG00000038217
cercocebus_atys ENSCATG00000002047
papio_anubis ENSPANG00000014092
rhinopithecus_roxellana ENSRROG00000037401
rhinopithecus_bieti ENSRBIG00000030260
piliocolobus_tephrosceles ENSPTEG00000033606
colobus_angolensis_palliatus ENSCANG00000040934
saimiri_boliviensis_boliviensis ENSSBOG00000017482
cebus_capucinus ENSCCAG00000028281
callithrix_jacchus ENSCJAG00000003907
aotus_nancymaae ENSANAG00000021065
