gasterosteus_aculeatus ENSGACG00000015777
labrus_bergylta ENSLBEG00000001561
mola_mola ENSMMOG00000008473
takifugu_rubripes ENSTRUG00000003979
seriola_dumerili ENSSDUG00000009692
seriola_lalandi_dorsalis ENSSLDG00000014440
scophthalmus_maximus ENSSMAG00000010584
mastacembelus_armatus ENSMAMG00000003893
monopterus_albus ENSMALG00000002777
anabas_testudineus ENSATEG00000008607
amphiprion_ocellaris ENSAOCG00000018587
amphiprion_percula ENSAPEG00000003462
acanthochromis_polyacanthus ENSAPOG00000006693
stegastes_partitus ENSSPAG00000008435
astatotilapia_calliptera ENSACLG00000026324
maylandia_zebra ENSMZEG00005006121
pundamilia_nyererei ENSPNYG00000006358
haplochromis_burtoni ENSHBUG00000006495
neolamprologus_brichardi ENSNBRG00000011481
oreochromis_niloticus ENSONIG00000007381
amphilophus_citrinellus ENSACIG00000016447
xiphophorus_maculatus ENSXMAG00000018724
xiphophorus_couchianus ENSXCOG00000017688
gambusia_affinis ENSGAFG00000002369
poecilia_formosa ENSPFOG00000007360
poecilia_mexicana ENSPMEG00000013333
poecilia_latipinna ENSPLAG00000012870
poecilia_reticulata ENSPREG00000019090
fundulus_heteroclitus ENSFHEG00000012286
cyprinodon_variegatus ENSCVAG00000013445
kryptolebias_marmoratus ENSKMAG00000018978
oryzias_latipes ENSORLG00000002405
oryzias_latipes ENSORLG00020013351
oryzias_latipes_asm223469v1 ENSORLG00015021107
oryzias_melastigma ENSOMEG00000016612
periophthalmus_magnuspinnatus ENSPMGG00000017109
cynoglossus_semilaevis ENSCSEG00000013250
hippocampus_comes ENSHCOG00000005714
gadus_morhua ENSGMOG00000008408
esox_lucius ENSELUG00000006530
pygocentrus_nattereri ENSPNAG00000000119
astyanax_mexicanus ENSAMXG00000016019
ictalurus_punctatus ENSIPUG00000014172
danio_rerio ENSDARG00000025703
paramormyrops_kingsleyae ENSPKIG00000017764
scleropages_formosus ENSSFOG00015016787
lepisosteus_oculatus ENSLOCG00000005858
oryzias_melastigma ENSOMEG00000010324
calidris_pygmaea ENSCPGG00000004546
calidris_pugnax ENSCPUG00000014597
melopsittacus_undulatus ENSMUNG00000016528
lonchura_striata_domestica ENSLSDG00000001140
taeniopygia_guttata ENSTGUG00000003802
serinus_canaria ENSSCAG00000006600
zonotrichia_albicollis ENSZALG00000002821
parus_major ENSPMJG00000016136
cyanistes_caeruleus ENSCCEG00000016829
ficedula_albicollis ENSFALG00000009949
lepidothrix_coronata ENSLCOG00000000636
manacus_vitellinus ENSMVIG00005014588
anas_platyrhynchos_platyrhynchos ENSAPLG00000008567
anser_brachyrhynchus ENSABRG00000022591
gallus_gallus ENSGALG00000004491
meleagris_gallopavo ENSMGAG00000009290
coturnix_japonica ENSCJPG00005007984
numida_meleagris ENSNMEG00000008263
apteryx_owenii ENSAOWG00000006362
apteryx_haastii ENSAHAG00000007365
apteryx_rowi ENSARWG00000009004
dromaius_novaehollandiae ENSDNVG00000013742
nothoprocta_perdicaria ENSNPEG00000016018
crocodylus_porosus ENSCPRG00005017362
gopherus_agassizii ENSGAGG00000000011
chelonoidis_abingdonii ENSCABG00000011756
chrysemys_picta_bellii ENSCPBG00000027638
pelodiscus_sinensis ENSPSIG00000006338
pogona_vitticeps ENSPVIG00000011575
anolis_carolinensis ENSACAG00000016799
notechis_scutatus ENSNSUG00000007356
salvator_merianae ENSSMRG00000002569
phascolarctos_cinereus ENSPCIG00000013849
notamacropus_eugenii ENSMEUG00000009546
sarcophilus_harrisii ENSSHAG00000014992
monodelphis_domestica ENSMODG00000019727
bos_mutus ENSBMUG00000017674
bos_taurus ENSBTAG00000002110
bison_bison_bison ENSBBBG00000006372
ovis_aries ENSOARG00000017209
capra_hircus ENSCHIG00000021924
tursiops_truncatus ENSTTRG00000012962
sus_scrofa ENSSSCG00000014110
vicugna_pacos ENSVPAG00000009397
pteropus_vampyrus ENSPVAG00000000621
ursus_maritimus ENSUMAG00000001972
ursus_americanus ENSUAMG00000024639
ailuropoda_melanoleuca ENSAMEG00000005739
mustela_putorius_furo ENSMPUG00000005093
neovison_vison ENSNVIG00000002369
canis_lupus_dingo ENSCAFG00020026278
canis_lupus_familiaris ENSCAFG00000009138
vulpes_vulpes ENSVVUG00000025013
panthera_pardus ENSPPRG00000002973
panthera_tigris_altaica ENSPTIG00000021430
felis_catus ENSFCAG00000011882
myotis_lucifugus ENSMLUG00000009128
equus_asinus_asinus ENSEASG00005001920
equus_caballus ENSECAG00000019851
sorex_araneus ENSSARG00000010376
erinaceus_europaeus ENSEEUG00000000092
microcebus_murinus ENSMICG00000005462
propithecus_coquereli ENSPCOG00000014759
prolemur_simus ENSPSMG00000022423
otolemur_garnettii ENSOGAG00000008622
pan_paniscus ENSPPAG00000022080
pan_troglodytes ENSPTRG00000017020
gorilla_gorilla ENSGGOG00000003203
homo_sapiens ENSG00000132837
pongo_abelii ENSPPYG00000015584
nomascus_leucogenys ENSNLEG00000012801
macaca_fascicularis ENSMFAG00000024245
macaca_nemestrina ENSMNEG00000026178
macaca_mulatta ENSMMUG00000006795
papio_anubis ENSPANG00000016060
cercocebus_atys ENSCATG00000043134
mandrillus_leucophaeus ENSMLEG00000031952
theropithecus_gelada ENSTGEG00000024374
chlorocebus_sabaeus ENSCSAG00000015255
piliocolobus_tephrosceles ENSPTEG00000035384
colobus_angolensis_palliatus ENSCANG00000027799
rhinopithecus_roxellana ENSRROG00000037133
rhinopithecus_bieti ENSRBIG00000040935
callithrix_jacchus ENSCJAG00000019768
saimiri_boliviensis_boliviensis ENSSBOG00000035140
cebus_capucinus ENSCCAG00000029570
aotus_nancymaae ENSANAG00000019881
carlito_syrichta ENSTSYG00000011138
castor_canadensis ENSCCNG00000018504
dipodomys_ordii ENSDORG00000000991
mus_spicilegus ENSMSIG00000011670
mus_musculus ENSMUSG00000042102
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019667
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018782
mus_pahari MGP_PahariEiJ_G0015861
rattus_norvegicus ENSRNOG00000023588
meriones_unguiculatus ENSMUGG00000026183
peromyscus_maniculatus_bairdii ENSPEMG00000021307
microtus_ochrogaster ENSMOCG00000004222
cricetulus_griseus_crigri ENSCGRG00000016561
cricetulus_griseus_crigri-picr ENSCGRG00015012586
cricetulus_griseus_chok1gshd ENSCGRG00001014647
mesocricetus_auratus ENSMAUG00000011337
nannospalax_galili ENSNGAG00000016798
jaculus_jaculus ENSJJAG00000011285
heterocephalus_glaber_male ENSHGLG00100003091
heterocephalus_glaber_female ENSHGLG00000000837
fukomys_damarensis ENSFDAG00000004353
cavia_porcellus ENSCPOG00000001913
cavia_aperea ENSCAPG00000011702
chinchilla_lanigera ENSCLAG00000014854
octodon_degus ENSODEG00000003394
ochotona_princeps ENSOPRG00000001578
oryctolagus_cuniculus ENSOCUG00000013960
ictidomys_tridecemlineatus ENSSTOG00000005837
marmota_marmota_marmota ENSMMMG00000006902
urocitellus_parryii ENSUPAG00010013523
spermophilus_dauricus ENSSDAG00000011157
tupaia_belangeri ENSTBEG00000008994
choloepus_hoffmanni ENSCHOG00000014002
loxodonta_africana ENSLAFG00000018061
procavia_capensis ENSPCAG00000008700
echinops_telfairi ENSETEG00000010421
dasypus_novemcinctus ENSDNOG00000004448
ornithorhynchus_anatinus ENSOANG00000007898
chelonoidis_abingdonii ENSCABG00000011962
phascolarctos_cinereus ENSPCIG00000031429
xenopus_tropicalis ENSXETG00000000527
latimeria_chalumnae ENSLACG00000018080
sphenodon_punctatus ENSSPUG00000002413
petromyzon_marinus ENSPMAG00000002573
eptatretus_burgeri ENSEBUG00000013490
caenorhabditis_elegans_strain_n2 WBGene00021355
