seriola_dumerili ENSSDUG00000001192
seriola_lalandi_dorsalis ENSSLDG00000007860
cynoglossus_semilaevis ENSCSEG00000015939
neolamprologus_brichardi ENSNBRG00000014137
pundamilia_nyererei ENSPNYG00000015226
amphilophus_citrinellus ENSACIG00000019231
xiphophorus_maculatus ENSXMAG00000022119
fundulus_heteroclitus ENSFHEG00000015045
cyprinodon_variegatus ENSCVAG00000017676
stegastes_partitus ENSSPAG00000014698
mola_mola ENSMMOG00000015137
periophthalmus_magnuspinnatus ENSPMGG00000019526
spermophilus_dauricus ENSSDAG00000011776
marmota_marmota_marmota ENSMMMG00000016039
jaculus_jaculus ENSJJAG00000008541
macaca_mulatta ENSMMUG00000008525
nomascus_leucogenys ENSNLEG00000036236
ursus_americanus ENSUAMG00000006790
notechis_scutatus ENSNSUG00000004017
