pundamilia_nyererei ENSPNYG00000000491
maylandia_zebra ENSMZEG00005027005
haplochromis_burtoni ENSHBUG00000016463
astatotilapia_calliptera ENSACLG00000002384
neolamprologus_brichardi ENSNBRG00000001636
oreochromis_niloticus ENSONIG00000012135
amphilophus_citrinellus ENSACIG00000014014
oryzias_latipes ENSORLG00000023206
oryzias_latipes ENSORLG00020000076
oryzias_latipes_asm223469v1 ENSORLG00015018804
poecilia_latipinna ENSPLAG00000021645
xiphophorus_couchianus ENSXCOG00000011213
cyprinodon_variegatus ENSCVAG00000012556
periophthalmus_magnuspinnatus ENSPMGG00000019657
mola_mola ENSMMOG00000002008
takifugu_rubripes ENSTRUG00000020867
esox_lucius ENSELUG00000005256
astyanax_mexicanus ENSAMXG00000032706
pygocentrus_nattereri ENSPNAG00000019481
