rattus_norvegicus ENSRNOG00000032132
mus_spicilegus ENSMSIG00000018438
microtus_ochrogaster ENSMOCG00000012967
cercocebus_atys ENSCATG00000040456
theropithecus_gelada ENSTGEG00000008865
macaca_fascicularis ENSMFAG00000004349
macaca_mulatta ENSMMUG00000004807
piliocolobus_tephrosceles ENSPTEG00000009859
colobus_angolensis_palliatus ENSCANG00000033266
sorex_araneus ENSSARG00000004533
sus_scrofa ENSSSCG00000037861
ailuropoda_melanoleuca ENSAMEG00000004505
pogona_vitticeps ENSPVIG00000016722
calidris_pugnax ENSCPUG00000017791
bos_taurus ENSBTAG00000015473
ursus_maritimus ENSUMAG00000016807
piliocolobus_tephrosceles ENSPTEG00000013017
cavia_aperea ENSCAPG00000014837
chrysemys_picta_bellii ENSCPBG00000020897
xenopus_tropicalis ENSXETG00000004519
