scophthalmus_maximus ENSSMAG00000014769
cynoglossus_semilaevis ENSCSEG00000017256
seriola_dumerili ENSSDUG00000015857
seriola_lalandi_dorsalis ENSSLDG00000007751
hippocampus_comes ENSHCOG00000002896
periophthalmus_magnuspinnatus ENSPMGG00000006120
mastacembelus_armatus ENSMAMG00000012015
monopterus_albus ENSMALG00000007878
anabas_testudineus ENSATEG00000011858
takifugu_rubripes ENSTRUG00000003527
tetraodon_nigroviridis ENSTNIG00000007421
mola_mola ENSMMOG00000021476
labrus_bergylta ENSLBEG00000002692
gasterosteus_aculeatus ENSGACG00000018916
fundulus_heteroclitus ENSFHEG00000003492
cyprinodon_variegatus ENSCVAG00000002949
poecilia_latipinna ENSPLAG00000021748
poecilia_formosa ENSPFOG00000015262
poecilia_mexicana ENSPMEG00000009248
poecilia_reticulata ENSPREG00000021024
xiphophorus_maculatus ENSXMAG00000016633
xiphophorus_couchianus ENSXCOG00000006540
gambusia_affinis ENSGAFG00000020472
kryptolebias_marmoratus ENSKMAG00000010261
oryzias_latipes ENSORLG00020018008
oryzias_latipes ENSORLG00000028264
oryzias_latipes_asm223469v1 ENSORLG00015019638
oryzias_melastigma ENSOMEG00000021411
amphiprion_ocellaris ENSAOCG00000000129
amphiprion_percula ENSAPEG00000000678
acanthochromis_polyacanthus ENSAPOG00000015877
stegastes_partitus ENSSPAG00000003322
haplochromis_burtoni ENSHBUG00000013885
pundamilia_nyererei ENSPNYG00000021110
maylandia_zebra ENSMZEG00005020385
astatotilapia_calliptera ENSACLG00000000792
oreochromis_niloticus ENSONIG00000007849
amphilophus_citrinellus ENSACIG00000001678
gadus_morhua ENSGMOG00000019429
esox_lucius ENSELUG00000008260
pygocentrus_nattereri ENSPNAG00000004893
astyanax_mexicanus ENSAMXG00000018215
ictalurus_punctatus ENSIPUG00000009145
danio_rerio ENSDARG00000078979
paramormyrops_kingsleyae ENSPKIG00000022983
scleropages_formosus ENSSFOG00015013102
lepisosteus_oculatus ENSLOCG00000002497
