cebus_capucinus ENSCCAG00000023342
saimiri_boliviensis_boliviensis ENSSBOG00000028926
aotus_nancymaae ENSANAG00000034512
pan_troglodytes ENSPTRG00000028903
pan_paniscus ENSPPAG00000040118
gorilla_gorilla ENSGGOG00000039577
homo_sapiens ENSG00000204611
pongo_abelii ENSPPYG00000010334
nomascus_leucogenys ENSNLEG00000005988
macaca_mulatta ENSMMUG00000001768
macaca_nemestrina ENSMNEG00000040790
macaca_fascicularis ENSMFAG00000038818
papio_anubis ENSPANG00000035748
theropithecus_gelada ENSTGEG00000004634
mandrillus_leucophaeus ENSMLEG00000029096
cercocebus_atys ENSCATG00000043946
chlorocebus_sabaeus ENSCSAG00000001993
rhinopithecus_roxellana ENSRROG00000035628
rhinopithecus_bieti ENSRBIG00000042374
piliocolobus_tephrosceles ENSPTEG00000024880
colobus_angolensis_palliatus ENSCANG00000004696
