cyprinodon_variegatus ENSCVAG00000012065
fundulus_heteroclitus ENSFHEG00000017131
xiphophorus_couchianus ENSXCOG00000002733
xiphophorus_maculatus ENSXMAG00000005167
poecilia_mexicana ENSPMEG00000019402
poecilia_mexicana ENSPMEG00000007319
poecilia_formosa ENSPFOG00000002280
poecilia_latipinna ENSPLAG00000021479
poecilia_latipinna ENSPLAG00000008123
poecilia_reticulata ENSPREG00000010784
gambusia_affinis ENSGAFG00000015771
kryptolebias_marmoratus ENSKMAG00000003497
oryzias_latipes ENSORLG00000022460
oryzias_latipes_asm223469v1 ENSORLG00015021463
oryzias_latipes ENSORLG00020007315
oryzias_melastigma ENSOMEG00000016913
takifugu_rubripes ENSTRUG00000022047
monopterus_albus ENSMALG00000008941
hippocampus_comes ENSHCOG00000006321
stegastes_partitus ENSSPAG00000005096
labrus_bergylta ENSLBEG00000019686
gasterosteus_aculeatus ENSGACG00000005525
mola_mola ENSMMOG00000017013
scophthalmus_maximus ENSSMAG00000009409
cynoglossus_semilaevis ENSCSEG00000006259
periophthalmus_magnuspinnatus ENSPMGG00000022470
gadus_morhua ENSGMOG00000013272
esox_lucius ENSELUG00000017449
astyanax_mexicanus ENSAMXG00000030760
pygocentrus_nattereri ENSPNAG00000017964
ictalurus_punctatus ENSIPUG00000007281
paramormyrops_kingsleyae ENSPKIG00000012207
scleropages_formosus ENSSFOG00015011861
