bos_mutus ENSBMUG00000002564
bison_bison_bison ENSBBBG00000009364
capra_hircus ENSCHIG00000001374
ovis_aries ENSOARG00000020045
sus_scrofa ENSSSCG00000003655
myotis_lucifugus ENSMLUG00000025473
equus_caballus ENSECAG00000011635
ursus_americanus ENSUAMG00000011463
neovison_vison ENSNVIG00000014522
panthera_tigris_altaica ENSPTIG00000017391
castor_canadensis ENSCCNG00000010690
peromyscus_maniculatus_bairdii ENSPEMG00000025195
spermophilus_dauricus ENSSDAG00000014980
marmota_marmota_marmota ENSMMMG00000003276
urocitellus_parryii ENSUPAG00010016776
oryctolagus_cuniculus ENSOCUG00000022318
gorilla_gorilla ENSGGOG00000039286
pan_paniscus ENSPPAG00000037863
cercocebus_atys ENSCATG00000043856
mandrillus_leucophaeus ENSMLEG00000040128
macaca_nemestrina ENSMNEG00000038372
rhinopithecus_bieti ENSRBIG00000042011
cebus_capucinus ENSCCAG00000035166
saimiri_boliviensis_boliviensis ENSSBOG00000026836
aotus_nancymaae ENSANAG00000034250
prolemur_simus ENSPSMG00000013691
loxodonta_africana ENSLAFG00000030249
monodelphis_domestica ENSMODG00000017699
chelonoidis_abingdonii ENSCABG00000002104
