lonchura_striata_domestica ENSLSDG00000016515
taeniopygia_guttata ENSTGUG00000003831
ficedula_albicollis ENSFALG00000000164
parus_major ENSPMJG00000015601
cyanistes_caeruleus ENSCCEG00000012153
junco_hyemalis ENSJHYG00000009142
zonotrichia_albicollis ENSZALG00000008006
lepidothrix_coronata ENSLCOG00000003870
manacus_vitellinus ENSMVIG00005009724
melopsittacus_undulatus ENSMUNG00000002508
calidris_pygmaea ENSCPGG00000017749
calidris_pugnax ENSCPUG00000011903
anas_platyrhynchos_platyrhynchos ENSAPLG00000002094
anser_brachyrhynchus ENSABRG00000010826
gallus_gallus ENSGALG00000041911
meleagris_gallopavo ENSMGAG00000000645
coturnix_japonica ENSCJPG00005011953
numida_meleagris ENSNMEG00000018102
apteryx_haastii ENSAHAG00000005942
apteryx_owenii ENSAOWG00000015736
apteryx_rowi ENSARWG00000011909
dromaius_novaehollandiae ENSDNVG00000008036
nothoprocta_perdicaria ENSNPEG00000009881
crocodylus_porosus ENSCPRG00005016287
gopherus_agassizii ENSGAGG00000012535
chelonoidis_abingdonii ENSCABG00000022687
pelodiscus_sinensis ENSPSIG00000008507
sphenodon_punctatus ENSSPUG00000008073
salvator_merianae ENSSMRG00000015487
pogona_vitticeps ENSPVIG00000016730
anolis_carolinensis ENSACAG00000009656
ornithorhynchus_anatinus ENSOANG00000006829
notechis_scutatus ENSNSUG00000001595
notamacropus_eugenii ENSMEUG00000010694
phascolarctos_cinereus ENSPCIG00000019051
sarcophilus_harrisii ENSSHAG00000015125
monodelphis_domestica ENSMODG00000011819
castor_canadensis ENSCCNG00000015975
dipodomys_ordii ENSDORG00000003113
cricetulus_griseus_crigri-picr ENSCGRG00015018986
cricetulus_griseus_crigri ENSCGRG00000005084
cricetulus_griseus_chok1gshd ENSCGRG00001013936
mesocricetus_auratus ENSMAUG00000013799
peromyscus_maniculatus_bairdii ENSPEMG00000015474
microtus_ochrogaster ENSMOCG00000019688
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029615
mus_spicilegus ENSMSIG00000014567
mus_musculus ENSMUSG00000057230
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028604
mus_pahari MGP_PahariEiJ_G0022341
rattus_norvegicus ENSRNOG00000018317
nannospalax_galili ENSNGAG00000001916
jaculus_jaculus ENSJJAG00000011646
heterocephalus_glaber_female ENSHGLG00000019132
heterocephalus_glaber_male ENSHGLG00100006948
fukomys_damarensis ENSFDAG00000010578
chinchilla_lanigera ENSCLAG00000006331
octodon_degus ENSODEG00000008676
cavia_porcellus ENSCPOG00000004711
cavia_aperea ENSCAPG00000009809
urocitellus_parryii ENSUPAG00010010415
marmota_marmota_marmota ENSMMMG00000005105
ictidomys_tridecemlineatus ENSSTOG00000024865
spermophilus_dauricus ENSSDAG00000006565
oryctolagus_cuniculus ENSOCUG00000009550
ochotona_princeps ENSOPRG00000016778
tupaia_belangeri ENSTBEG00000008892
propithecus_coquereli ENSPCOG00000016596
microcebus_murinus ENSMICG00000003788
otolemur_garnettii ENSOGAG00000008952
pan_troglodytes ENSPTRG00000012018
pan_paniscus ENSPPAG00000040621
homo_sapiens ENSG00000115977
gorilla_gorilla ENSGGOG00000004861
nomascus_leucogenys ENSNLEG00000010108
papio_anubis ENSPANG00000021878
mandrillus_leucophaeus ENSMLEG00000042585
cercocebus_atys ENSCATG00000029002
macaca_fascicularis ENSMFAG00000032641
macaca_nemestrina ENSMNEG00000032158
theropithecus_gelada ENSTGEG00000011767
chlorocebus_sabaeus ENSCSAG00000015041
rhinopithecus_bieti ENSRBIG00000015990
rhinopithecus_roxellana ENSRROG00000034594
colobus_angolensis_palliatus ENSCANG00000025692
pongo_abelii ENSPPYG00000012336
piliocolobus_tephrosceles ENSPTEG00000018633
