choloepus_hoffmanni ENSCHOG00000006706
dasypus_novemcinctus ENSDNOG00000039466
loxodonta_africana ENSLAFG00000012569
procavia_capensis ENSPCAG00000008836
homo_sapiens ENSG00000163431
gorilla_gorilla ENSGGOG00000028449
pan_paniscus ENSPPAG00000035452
pan_troglodytes ENSPTRG00000001841
pongo_abelii ENSPPYG00000000357
nomascus_leucogenys ENSNLEG00000018088
macaca_nemestrina ENSMNEG00000039137
macaca_fascicularis ENSMFAG00000039790
cercocebus_atys ENSCATG00000039243
theropithecus_gelada ENSTGEG00000020217
macaca_mulatta ENSMMUG00000001923
mandrillus_leucophaeus ENSMLEG00000043462
papio_anubis ENSPANG00000011450
chlorocebus_sabaeus ENSCSAG00000014056
colobus_angolensis ENSCANG00000023390
colobus_angolensis ENSCANG00000029030
piliocolobus_tephrosceles ENSPTEG00000027439
rhinopithecus_roxellana ENSRROG00000026084
rhinopithecus_bieti ENSRBIG00000012326
saimiri_boliviensis ENSSBOG00000030087
cebus_capucinus ENSCCAG00000020253
callithrix_jacchus ENSCJAG00000062096
aotus_nancymaae ENSANAG00000033606
carlito_syrichta ENSTSYG00000029478
prolemur_simus ENSPSMG00000000493
microcebus_murinus ENSMICG00000001547
propithecus_coquereli ENSPCOG00000025793
otolemur_garnettii ENSOGAG00000006170
ursus_americanus ENSUAMG00000020098
ursus_maritimus ENSUMAG00000004144
ailuropoda_melanoleuca ENSAMEG00000012044
neovison_vison ENSNVIG00000014488
mustela_putorius ENSMPUG00000010900
panthera_pardus ENSPPRG00000004818
panthera_tigris ENSPTIG00000013474
felis_catus ENSFCAG00000000446
equus_asinus ENSEASG00005019905
equus_caballus ENSECAG00000021583
heterocephalus_glaber ENSHGLG00100016452
heterocephalus_glaber ENSHGLG00000008255
fukomys_damarensis ENSFDAG00000018290
chinchilla_lanigera ENSCLAG00000011784
octodon_degus ENSODEG00000010832
cavia_porcellus ENSCPOG00000035527
cavia_aperea ENSCAPG00000000861
ictidomys_tridecemlineatus ENSSTOG00000022103
spermophilus_dauricus ENSSDAG00000004917
urocitellus_parryii ENSUPAG00010008800
marmota_marmota ENSMMMG00000012662
mus_musculus ENSMUSG00000048096
mus_spretus MGP_SPRETEiJ_G0015444
mus_spicilegus ENSMSIG00000016771
mus_caroli MGP_CAROLIEiJ_G0014637
mus_pahari MGP_PahariEiJ_G0027873
rattus_norvegicus ENSRNOG00000051548
meriones_unguiculatus ENSMUGG00000008119
microtus_ochrogaster ENSMOCG00000021948
peromyscus_maniculatus ENSPEMG00000015971
cricetulus_griseus ENSCGRG00001013273
cricetulus_griseus ENSCGRG00015024702
cricetulus_griseus ENSCGRG00000008820
mesocricetus_auratus ENSMAUG00000009299
nannospalax_galili ENSNGAG00000004559
jaculus_jaculus ENSJJAG00000015762
dipodomys_ordii ENSDORG00000013465
vombatus_ursinus ENSVURG00010003452
phascolarctos_cinereus ENSPCIG00000025393
notamacropus_eugenii ENSMEUG00000002711
sarcophilus_harrisii ENSSHAG00000010819
monodelphis_domestica ENSMODG00000000505
sorex_araneus ENSSARG00000008813
pteropus_vampyrus ENSPVAG00000016206
erinaceus_europaeus ENSEEUG00000008218
canis_lupus ENSCAFG00020016200
vulpes_vulpes ENSVVUG00000006318
bos_indicus ENSBIXG00000012746
bos_indicus ENSBIXG00005019224
bos_taurus ENSBTAG00000021576
bison_bison ENSBBBG00000009259
bos_mutus ENSBMUG00000018309
capra_hircus ENSCHIG00000007211
ovis_aries ENSOARG00000000119
tursiops_truncatus ENSTTRG00000005971
sus_scrofa ENSSSCG00000031201
oryctolagus_cuniculus ENSOCUG00000007492
ochotona_princeps ENSOPRG00000007799
echinops_telfairi ENSETEG00000006335
ornithorhynchus_anatinus ENSOANG00000009361
dromaius_novaehollandiae ENSDNVG00000000332
apteryx_owenii ENSAOWG00000011249
zonotrichia_albicollis ENSZALG00000014906
junco_hyemalis ENSJHYG00000011348
serinus_canaria ENSSCAG00000007161
parus_major ENSPMJG00000004582
cyanistes_caeruleus ENSCCEG00000021174
ficedula_albicollis ENSFALG00000002397
lonchura_striata ENSLSDG00000010883
manacus_vitellinus ENSMVIG00005012142
lepidothrix_coronata ENSLCOG00000014900
calidris_pygmaea ENSCPGG00000007257
calidris_pugnax ENSCPUG00000014693
melopsittacus_undulatus ENSMUNG00000004153
gallus_gallus ENSGALG00000028721
coturnix_japonica ENSCJPG00005009065
meleagris_gallopavo ENSMGAG00000005415
numida_meleagris ENSNMEG00000009027
anser_brachyrhynchus ENSABRG00000011029
apteryx_rowi ENSARWG00000006255
apteryx_haastii ENSAHAG00000007819
anas_platyrhynchos ENSAPLG00000016125
chelonoidis_abingdonii ENSCABG00000020702
gopherus_agassizii ENSGAGG00000001204
chrysemys_picta ENSCPBG00000012608
pelodiscus_sinensis ENSPSIG00000013772
crocodylus_porosus ENSCPRG00005006546
anolis_carolinensis ENSACAG00000005019
pogona_vitticeps ENSPVIG00000007441
notechis_scutatus ENSNSUG00000002844
sphenodon_punctatus ENSSPUG00000007766
xenopus_tropicalis ENSXETG00000003705
latimeria_chalumnae ENSLACG00000011525
denticeps_clupeoides ENSDCDG00000028438
clupea_harengus ENSCHAG00000004275
ictalurus_punctatus ENSIPUG00000005077
electrophorus_electricus ENSEEEG00000002163
astyanax_mexicanus ENSAMXG00000037455
astyanax_mexicanus ENSAMXG00005001164
astyanax_mexicanus ENSAMXG00005001539
pygocentrus_nattereri ENSPNAG00000018254
danio_rerio ENSDARG00000056111
hucho_hucho ENSHHUG00000009257
hucho_hucho ENSHHUG00000030429
hucho_hucho ENSHHUG00000030433
esox_lucius ENSELUG00000023673
paramormyrops_kingsleyae ENSPKIG00000020255
denticeps_clupeoides ENSDCDG00000016777
clupea_harengus ENSCHAG00000018881
astyanax_mexicanus ENSAMXG00005022601
astyanax_mexicanus ENSAMXG00000024729
pygocentrus_nattereri ENSPNAG00000014980
ictalurus_punctatus ENSIPUG00000014866
electrophorus_electricus ENSEEEG00000009586
danio_rerio ENSDARG00000077261
anabas_testudineus ENSATEG00000025040
betta_splendens ENSBSLG00000025851
gouania_willdenowi ENSGWIG00000025557
gasterosteus_aculeatus ENSGACG00000006223
periophthalmus_magnuspinnatus ENSPMGG00000008549
seriola_dumerili ENSSDUG00000019745
seriola_lalandi ENSSLDG00000017136
scophthalmus_maximus ENSSMAG00000011649
lates_calcarifer ENSLCAG00010003452
monopterus_albus ENSMALG00000010798
mastacembelus_armatus ENSMAMG00000008764
cottoperca_gobio ENSCGOG00000015366
larimichthys_crocea ENSLCRG00005021298
takifugu_rubripes ENSTRUG00000012878
tetraodon_nigroviridis ENSTNIG00000007042
labrus_bergylta ENSLBEG00000012408
poecilia_formosa ENSPFOG00000004029
poecilia_latipinna ENSPLAG00000012883
poecilia_mexicana ENSPMEG00000021465
poecilia_reticulata ENSPREG00000009093
xiphophorus_maculatus ENSXMAG00000006007
xiphophorus_couchianus ENSXCOG00000013889
gambusia_affinis ENSGAFG00000014106
fundulus_heteroclitus ENSFHEG00000016560
cyprinodon_variegatus ENSCVAG00000008675
kryptolebias_marmoratus ENSKMAG00000013439
maylandia_zebra ENSMZEG00005005597
astatotilapia_calliptera ENSACLG00000019895
haplochromis_burtoni ENSHBUG00000000221
pundamilia_nyererei ENSPNYG00000013146
neolamprologus_brichardi ENSNBRG00000005705
oreochromis_niloticus ENSONIG00000011499
amphilophus_citrinellus ENSACIG00000015796
amphiprion_ocellaris ENSAOCG00000006878
amphiprion_percula ENSAPEG00000009800
acanthochromis_polyacanthus ENSAPOG00000020896
stegastes_partitus ENSSPAG00000015118
parambassis_ranga ENSPRNG00000000728
oryzias_latipes ENSORLG00015012152
oryzias_latipes ENSORLG00000005777
oryzias_latipes ENSORLG00020016421
oryzias_melastigma ENSOMEG00000017498
hippocampus_comes ENSHCOG00000020858
hucho_hucho ENSHHUG00000033205
hucho_hucho ENSHHUG00000037205
esox_lucius ENSELUG00000022143
scleropages_formosus ENSSFOG00015018515
paramormyrops_kingsleyae ENSPKIG00000017225
lepisosteus_oculatus ENSLOCG00000010089
erpetoichthys_calabaricus ENSECRG00000005963
oreochromis_niloticus ENSONIG00000011778
amphilophus_citrinellus ENSACIG00000017295
cottoperca_gobio ENSCGOG00000009020
betta_splendens ENSBSLG00000013985
pygocentrus_nattereri ENSPNAG00000016152
callorhinchus_milii ENSCMIG00000001528
